yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2013;abruzzo_1707;abruzzo;1707;2;1707;PESCOCOSTANZO;1180;41.88805556;14.05888889;1371
2013;abruzzo_1999;abruzzo;1999;2;1999;CAMPOTOSTO;190;42.53611111;13.40638889;1392
2013;abruzzo_2135;abruzzo;2135;2;2135;MONTEREALE;470;42.52611111;13.24138889;825
2013;abruzzo_2159;abruzzo;2159;2;2159;L'AQUILA;550;42.33416667;13.42861111;618
2013;abruzzo_2168;abruzzo;2168;2;2168;ATERNO A FAGNANO;5750;42.24805556;13.56722222;620
2013;abruzzo_2213;abruzzo;2213;2;2213;GORIANO SICOLI;670;42.08222222;13.79888889;904
2013;aeronautica_6686;aeronautica;6686;2;6686;S. VALENTINO ALLA M;160080;46.75;10.533;1461
2013;aeronautica_6687;aeronautica;6687;2;6687;RESIA PASS;160083;46.833;10.5;1800
2013;aeronautica_6693;aeronautica;6693;2;6693;DOBBIACO;160330;46.733;12.217;1226
2013;aeronautica_6697;aeronautica;6697;2;6697;TARVISIO;160400;46.5;13.583;778
2013;aeronautica_6711;aeronautica;6711;2;6711;MILANO/MALPENSA;160660;45.617;8.733;211
2013;aeronautica_6865;aeronautica;6865;2;6865;MONTE SCURO;163440;39.333;16.4;1720
2013;bolzano_129;bolzano;129;2;129;Brunico;59700MS;46.8042795;11.93148052;824
2013;bolzano_149;bolzano;149;2;149;Terento;65600MS;46.83445756;11.78557637;1437
2013;bolzano_150;bolzano;150;2;150;Fundres;66500MS;46.88718005;11.7029428;1151
2013;bolzano_176;bolzano;176;2;176;Fi� allo Sciliar;75600MS;46.51340578;11.50595194;804
2013;bolzano_18;bolzano;18;2;18;Silandro;09700MS;46.62375473;10.78026981;684
2013;bolzano_197;bolzano;197;2;197;Sarentino;82200MS;46.64063165;11.3550613;976
2013;bolzano_206;bolzano;206;2;206;Nova Ponente;85120MS;46.42048615;11.42685821;1416
2013;bolzano_30;bolzano;30;2;30;Naturno;19300MS;46.64766321;10.99117805;561
2013;bolzano_39;bolzano;39;2;39;Plata;20900MS;46.82249293;11.17808117;1118
2013;bolzano_49;bolzano;49;2;49;Merano - Quarazze;23200MS;46.68805798;11.13656021;369
2013;bolzano_5;bolzano;5;2;5;Monte Maria;02500MS;46.70568911;10.5212676;1256
2013;bolzano_58;bolzano;58;2;58;Diga di Zoccolo-S.Valburga;25900MS;46.54187189;10.99013577;1282
2013;calabria_14;calabria;14;2;14;Camigliatello - Monte Curcio;1092;39.31611111;16.42305556;1711
2013;calabria_164;calabria;164;2;164;Serra San Bruno;1980;38.56527778;16.31972222;926
2013;calabria_184;calabria;184;2;184;Mongiana;2086;38.51630556;16.31672222;885
2013;calabria_85;calabria;85;2;85;Nocelle - Arvo;1500;39.24333333;16.545;1307
2013;campania_43;campania;43;2;43;Montella;NA;40.84777778;15.05027778;499.6351928710938
2013;lazio_281;lazio;281;2;281;Leonessa;200600;42.5786;12.9536;929
2013;lazio_388;lazio;388;2;388;Monte Terminillo;481000;42.4556;12.9928;1594
2013;liguria_5816;liguria;5816;2;5816;Diga del Brugneto;01662;44.53055;9.208333;777
2013;liguria_5818;liguria;5818;2;5818;S. Stefano d'Aveto;01681;44.54958;9.451944;1014
2013;liguria_5849;liguria;5849;2;5849;Colle Belenda;00060;43.98;7.7;1357
2013;liguria_5868;liguria;5868;2;5868;Giacopiane;00900;44.46268;9.39525;1009
2013;lombardia_5963;lombardia;5963;2;5963;Sondrio;00107;46.165556;9.848611;301
2013;lombardia_5970;lombardia;5970;2;5970;Cornalita;00119;45.882222;9.646944;481
2013;marche_703;marche;703;2;703;Amatrice;703;42.625565;13.296259;954
2013;piemonte_5607;piemonte;5607;2;5607;CHIUSA PESIO;00307;44.234;7.661;924
