yy;aeronautica_6803;aeronautica_6817;aeronautica_6893;lazio_240;lazio_289;marche_701;sicilia_11883;sicilia_11933;toscana_55;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_176;bolzano_39;lazio_388;marche_703;trentino_6511;trentino_6564;trentino_6639;trentino_6640;aeronautica_6769;aeronautica_6773;aeronautica_6782;aeronautica_6794;aeronautica_6826;aeronautica_6827;aeronautica_6834;aeronautica_6851;emiliaromagna_12702;emiliaromagna_14246;marche_104;marche_110;marche_123;marche_25;toscana_72;toscana_78;aeronautica_6707;aeronautica_6709;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6779;aeronautica_6797;bolzano_203;marche_108;marche_109;marche_605;marche_608;toscana_25;toscana_76;trentino_6509;aeronautica_6691;aeronautica_6692;bolzano_223;bolzano_94;aeronautica_6771;aeronautica_6856;aeronautica_6869;lazio_276;aeronautica_6919;aeronautica_6923
1961;4;21;NA;NA;1;3;0;0;17;NA;125;NA;98;80;100;88;NA;103;121;113;35;7;32;11;27;NA;21;28;35;35;19;17;25;15;4;18;NA;45;NA;60;53;61;NA;NA;NA;NA;12;78;34;28;44;30;46;45;NA;164;169;175;148;NA;3;3;2;NA;1
1962;18;36;NA;NA;3;10;10;8;34;NA;158;NA;133;NA;138;111;136;146;149;143;54;32;NA;36;50;NA;31;33;40;60;33;32;47;30;16;34;NA;69;NA;105;83;82;NA;71;NA;NA;NA;91;55;50;56;53;83;56;108;213;217;206;187;NA;1;0;3;6;3
1963;23;27;NA;NA;11;33;NA;9;40;NA;112;NA;115;NA;119;94;115;126;NA;142;61;36;60;30;40;NA;31;36;52;52;62;39;NA;32;32;45;NA;79;NA;85;66;78;73;67;NA;NA;34;91;56;60;61;58;75;43;84;171;182;167;164;NA;6;4;13;14;9
1964;12;37;NA;NA;2;18;0;6;41;NA;124;92;114;93;94;91;103;109;NA;141;51;32;28;24;NA;10;28;34;34;51;39;37;35;26;7;20;NA;50;NA;71;64;69;71;57;NA;51;NA;78;48;36;52;24;58;18;71;180;195;159;NA;0;1;0;2;13;4
1965;NA;32;4;10;5;3;NA;12;28;163;NA;115;134;127;127;83;122;124;NA;137;32;32;30;16;NA;13;29;33;22;40;47;37;NA;31;5;29;103;NA;72;90;75;77;NA;59;45;NA;NA;102;60;42;50;41;71;32;NA;196;NA;188;NA;0;4;2;7;16;3
1966;8;23;1;5;4;7;NA;NA;22;144;117;108;135;119;143;69;123;123;148;125;43;35;28;19;28;11;14;47;37;NA;23;54;NA;18;11;24;91;37;66;74;77;78;64;60;42;59;24;NA;56;39;46;33;65;33;NA;175;198;157;NA;1;2;2;7;7;1
1967;19;22;5;11;8;17;2;0;27;155;120;96;139;NA;128;56;116;113;150;127;42;35;35;22;41;9;30;54;39;37;36;57;NA;28;16;26;81;42;55;67;67;59;61;59;48;56;30;84;57;37;55;37;65;46;107;167;185;175;180;2;2;0;6;9;1
1968;16;17;2;10;7;8;7;4;25;151;124;90;149;119;146;84;115;123;117;148;38;29;32;26;38;14;20;31;32;35;39;51;32;27;20;26;87;59;57;72;78;66;71;67;52;57;24;94;50;40;39;32;64;57;112;178;184;165;174;1;2;2;8;1;0
1969;9;15;2;8;2;5;0;1;NA;160;121;118;153;130;148;88;133;121;146;155;36;31;45;11;46;6;7;13;36;41;58;58;47;18;NA;NA;101;75;78;84;83;63;67;62;46;56;27;101;72;60;48;42;NA;NA;128;175;183;162;181;0;1;0;4;7;1
1970;9;15;1;4;3;7;0;0;27;169;139;107;158;144;148;57;114;NA;141;176;39;29;32;15;NA;8;7;11;20;25;58;41;40;20;19;26;98;68;60;84;77;61;67;62;38;68;45;103;80;38;51;33;67;32;143;197;201;178;188;2;0;0;2;1;0
1971;12;22;NA;4;6;19;1;1;21;155;127;113;149;115;156;116;104;83;127;155;44;39;29;17;43;7;8;14;31;42;52;42;34;22;16;33;NA;55;NA;80;86;71;78;67;NA;64;46;95;84;36;57;33;75;26;118;181;186;176;176;3;1;0;12;6;0
1972;1;7;NA;0;0;0;0;0;13;157;NA;80;105;103;140;109;97;83;157;123;6;11;8;7;NA;1;5;14;10;13;18;17;11;2;1;15;NA;53;NA;29;38;24;45;36;NA;34;NA;78;33;18;17;6;44;11;101;211;215;190;174;0;0;NA;0;4;0
1973;13;29;3;9;5;10;0;2;32;NA;156;103;95;124;153;120;148;104;148;142;53;60;38;37;NA;7;17;30;26;37;35;51;48;29;0;34;81;49;71;86;93;80;85;72;49;77;62;117;81;47;62;26;79;28;151;191;186;185;181;2;0;0;1;13;1
1974;0;7;0;2;0;0;0;0;8;162;137;94;73;101;146;100;127;76;145;125;19;25;2;12;14;1;7;20;12;10;9;23;2;1;1;9;50;13;23;42;38;44;57;43;20;57;46;85;49;8;39;1;46;23;90;226;231;178;NA;0;0;0;0;4;0
1975;2;13;5;0;1;0;0;2;15;157;131;92;NA;106;89;99;115;100;158;114;43;35;18;14;29;13;23;43;21;29;5;46;17;0;2;17;62;27;41;56;70;72;71;58;38;54;45;97;61;26;35;12;46;16;103;191;193;170;166;0;0;0;0;9;1
1976;NA;12;0;NA;3;5;0;0;15;155;147;NA;93;108;100;90;117;108;132;122;49;27;41;14;37;14;21;39;38;26;34;30;35;7;9;14;71;46;51;68;71;75;NA;58;43;49;NA;95;63;35;45;29;57;25;NA;189;201;176;167;0;4;0;4;1;1
1977;0;10;2;3;0;0;0;NA;NA;158;124;81;88;105;74;56;NA;109;142;118;29;22;10;6;18;16;15;19;27;NA;28;30;8;0;8;NA;72;43;48;56;58;51;52;44;26;50;35;88;40;NA;27;7;58;NA;72;187;179;154;155;0;0;0;0;3;1
1978;1;13;2;1;2;NA;1;0;22;165;144;85;NA;107;NA;99;143;96;141;138;42;19;33;15;30;9;16;11;34;NA;47;42;39;2;3;NA;70;65;56;73;68;69;67;58;49;64;40;98;61;33;45;23;73;46;72;202;197;168;172;1;1;0;0;7;1
1979;10;15;2;10;9;13;2;5;16;181;130;90;NA;112;115;82;144;102;161;122;30;22;26;16;27;14;17;28;33;28;55;35;36;10;14;0;66;65;47;64;58;49;55;51;26;56;32;NA;30;26;35;19;66;30;79;199;192;179;166;5;3;2;2;9;6
1980;8;18;0;4;8;5;1;1;23;183;159;NA;127;121;163;113;195;91;164;144;47;29;41;22;42;20;17;NA;34;29;61;16;40;20;10;2;72;68;50;76;72;57;68;59;46;68;39;103;40;36;34;22;88;40;86;219;206;186;174;0;0;0;1;4;4
