SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;regione
2168;ATERNO A FAGNANO;5750;42.24805556;13.56722222;620;abruzzo
2177;aterno sagittario a allogg.idr;5900;42.15638889;13.82972222;248;abruzzo
2;TERAMO;100;42.65472222;13.71722222;264;abruzzo
606;CHIETI;1060;42.37694444;14.18305556;244;abruzzo
1112;CATIGNANO;1110;42.34611111;13.94527778;323;abruzzo
1707;PESCOCOSTANZO;1180;41.88805556;14.05888889;1371;abruzzo
1940;LANCIANO;1330;42.22583333;14.38444444;273;abruzzo
1966;CASOLI DIGA;1610;42.09555556;14.25805556;302;abruzzo
1975;MONTAZZOLI;1680;41.94222222;14.42805556;792;abruzzo
1982;VASTO;1740;42.09972222;14.69833333;187;abruzzo
1999;CAMPOTOSTO;190;42.53611111;13.40638889;1392;abruzzo
2073;PONTE VOMANO;310;42.60888889;13.76861111;136;abruzzo
2094;ARSITA;410;42.50000000;13.79805556;510;abruzzo
2135;MONTEREALE;470;42.52611111;13.24138889;825;abruzzo
2137;GIULIANOVA;50;42.74805556;13.95277778;55;abruzzo
2142;TORNIMPARTE;520;42.28861111;13.30166667;880;abruzzo
2159;L'AQUILA;550;42.33416667;13.42861111;618;abruzzo
2176;ASSERGI;590;42.41972222;13.51805556;1038;abruzzo
2213;GORIANO SICOLI;670;42.08222222;13.79888889;904;abruzzo
2256;SANTO STEFANO;80;42.64750000;13.60277778;734;abruzzo
2258;SULMONA;810;42.06861111;13.91444444;365;abruzzo
2263;VILLA S.LUCIA;870;42.33361111;13.77944444;1119;abruzzo
2274;BARISCIANO;920;42.32361111;13.57388889;932;abruzzo
2280;CARAMANICO METEO;980;42.15083333;14.01916667;785;abruzzo
6694;AVIANO;160360;46.033;12.600;128;aeronautica
6828;MONTE S. ANGELO;162580;41.700;15.950;844;aeronautica
6891;CATANIA/SIGONELLA;164590;37.400;14.917;22;aeronautica
6686;S. VALENTINO ALLA M;160080;46.750;10.533;1461;aeronautica
6687;RESIA PASS;160083;46.833;10.500;1800;aeronautica
6690;BOLZANO;160200;46.467;11.333;241;aeronautica
6691;PASSO ROLLE;160210;46.300;11.783;2006;aeronautica
6692;PAGANELLA;160220;46.150;11.033;2129;aeronautica
6693;DOBBIACO;160330;46.733;12.217;1226;aeronautica
6697;TARVISIO;160400;46.500;13.583;778;aeronautica
6700;UDINE/RIVOLTO;160450;45.983;13.033;53;aeronautica
6703;PIAN ROSA;160520;45.933;7.700;3488;aeronautica
6707;TORINO/CASELLE;160590;45.217;7.650;287;aeronautica
6709;TORINO/BRIC DELLA C;160610;45.033;7.733;710;aeronautica
6710;NOVARA/CAMERI;160640;45.517;8.667;169;aeronautica
6711;MILANO/MALPENSA;160660;45.617;8.733;211;aeronautica
6717;BERGAMO/ORIO AL SER;160760;45.667;9.700;237;aeronautica
6718;MILANO/LINATE;160800;45.433;9.283;103;aeronautica
6720;PIACENZA;160840;44.917;9.733;138;aeronautica
6721;BRESCIA/GHEDI;160880;45.417;10.283;97;aeronautica
6723;VERONA/VILLAFRANCA;160900;45.383;10.867;68;aeronautica
6729;TREVISO/ISTRANA;160980;45.683;12.100;46;aeronautica
6730;TREVISO/S. ANGELO;160990;45.650;12.183;23;aeronautica
6733;VENEZIA/TESSERA;161050;45.500;12.333;6;aeronautica
6735;RONCHI DEI LEGIONAR;161080;45.817;13.483;12;aeronautica
6736;TRIESTE;161100;45.650;13.750;20;aeronautica
6747;ALBENGA;161220;44.050;8.117;49;aeronautica
6750;SARZANA/LUNI;161250;44.083;9.983;10;aeronautica
6762;FERRARA;161380;44.833;11.617;10;aeronautica
6763;BOLOGNA/BORGO PANIG;161400;44.533;11.300;49;aeronautica
6766;PUNTA MARINA;161460;44.450;12.300;6;aeronautica
6768;CERVIA;161480;44.217;12.300;10;aeronautica
6769;RIMINI;161490;44.033;12.617;13;aeronautica
6771;CAPO MELE;161530;43.950;8.167;221;aeronautica
6773;PISA/S. GIUSTO;161580;43.683;10.383;6;aeronautica
6776;MONTE ARGENTARIO;161680;42.383;11.167;631;aeronautica
6777;FIRENZE/PERETOLA;161700;43.800;11.200;38;aeronautica
6779;AREZZO;161720;43.467;11.850;249;aeronautica
6782;FRONTONE;161790;43.517;12.733;574;aeronautica
6784;PERUGIA;161810;43.083;12.500;205;aeronautica
6787;FALCONARA;161910;43.617;13.367;10;aeronautica
6790;M. CALAMITA;161970;42.733;10.400;397;aeronautica
6794;GROSSETO;162060;42.750;11.067;7;aeronautica
6795;CIVITAVECCHIA;162140;42.033;11.833;4;aeronautica
6797;VITERBO;162160;42.433;12.050;308;aeronautica
6803;VIGNA DI VALLE;162240;42.083;12.217;266;aeronautica
6810;PESCARA;162300;42.433;14.200;11;aeronautica
6812;TERMOLI;162320;42.000;15.000;44;aeronautica
6814;GUIDONIA;162340;42.000;12.733;89;aeronautica
6815;ROMA/URBE;162350;41.950;12.500;24;aeronautica
