yy;anom.originale;anom
1961;-3.54;-3.54
1962;7.19;7.19
1963;11.07;11.07
1964;-5.49;-5.49
1965;0.22;0.22
1966;-2.98;-2.98
1967;-1.56;-1.56
1968;-3.87;-3.87
1969;2.28;2.28
1970;-2.61;-2.61
1971;4.11;4.11
1972;1.37;1.37
1973;0.68;0.68
1974;5.95;5.95
1975;-3.37;-3.37
1976;2.78;2.78
1977;0.13;0.13
1978;0.7;0.7
1979;-0.48;-0.48
1980;2.39;2.39
1981;4.4;4.4
1982;-4.91;-4.91
1983;-2.58;-2.58
1984;-2.35;-2.35
1985;0.81;0.81
1986;-2.35;-2.35
1987;5.22;5.22
1988;-4.23;-4.23
1989;-3.88;-3.88
1990;-4.63;-4.63
1991;13.35;13.35
1992;-2.67;-2.67
1993;2.39;2.39
1994;-2.51;-2.51
1995;-1.33;-1.33
1996;1.38;1.38
1997;-4.18;-4.18
1998;2.3;2.3
1999;1;1
2000;-2.33;-2.33
2001;-2.35;-2.35
2002;-1.5;-1.5
2003;-2.83;-2.83
2004;-2.82;-2.82
2005;6.08;6.08
2006;-3.51;-3.51
2007;-0.15;-0.15
2008;-2.68;-2.68
2009;4.25;4.25
2010;-1.74;-1.74
2011;-5.17;-5.17
2012;3.62;3.62
2013;-2.74;-2.74
2014;-6.03;-6.03
2015;-5.47;-5.47
2016;-2.5;-2.5
2017;1.92;1.92
2018;2.09;2.09
2019;1.62;1.62
2020;-4.45;-4.45
