yy;anom
1961;-2.93
1962;7.67
1963;10.38
1964;-2.05
1965;-0.04
1966;-2.4
1967;-1.38
1968;-2.66
1969;-0.11
1970;-1.81
1971;2.51
1972;-0.56
1973;0.12
1974;1.96
1975;-2.96
1976;2.86
1977;-0.79
1978;1.03
1979;-1.02
1980;1.64
1981;2.89
1982;-3.24
1983;-3.16
1984;-2.36
1985;1.84
1986;-2.04
1987;4.32
1988;-2.96
1989;-1.83
1990;-2
1991;13.43
1992;-2.57
1993;1.99
1994;-2.21
1995;-0.79
1996;0.64
1997;-2.15
1998;1.68
1999;0.55
2000;-0.93
2001;0.09
2002;-1.53
2003;0.73
2004;-3.18
2005;4.93
2006;-2.62
2007;-1.6
2008;-2.4
2009;2.43
2010;-0.14
2011;-2.84
2012;4.25
2013;-2.9
2014;-3.96
2015;-3.83
2016;-3.42
2017;-2.2
2018;-2.86
2019;-3.71
2020;-3.67
