yy;anom
1961;-3.45
1962;7.79
1963;10.92
1964;-1.91
1965;-0.03
1966;-2.74
1967;-1.1
1968;-1.61
1969;0.14
1970;-1.95
1971;3.39
1972;-0.74
1973;-0.38
1974;1.61
1975;-2.88
1976;3.03
1977;-1.39
1978;2.17
1979;-0.81
1980;3.18
1981;2.27
1982;-2.79
1983;-3.33
1984;-1.74
1985;0.59
1986;-2.35
1987;3.74
1988;-3.55
1989;-2.61
1990;-1.95
1991;12.62
1992;-2.12
1993;2.26
1994;-3.05
1995;-0.65
1996;-0.91
1997;-2.76
1998;-0.44
1999;-1.71
2000;-1.61
2001;-1.87
2002;-1.25
2003;-1.13
2004;-3.43
2005;1.92
2006;-2.2
2007;-2
2008;-3.1
2009;1.77
2010;-0.73
2011;-3.53
2012;1.56
2013;-2.66
2014;-4.12
2015;-3.94
2016;-3.76
2017;-2.65
2018;-2.96
2019;-4.05
2020;-3.61
