yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919;aeronautica_6922
1961;NA;0;0;0;0;0;0;0;6;NA;6;NA;0;6;0;NA;NA;NA;0;0;NA;0;0;0;0;0;7;0;NA;0;0;NA;0;0;NA;0;6;7;0;6;0;0;0;0;6;0;7;NA;0;0;0;NA;0
1962;NA;NA;6;6;12;6;15;14;13;NA;6;NA;NA;12;18;15;NA;NA;0;14;NA;11;6;16;9;NA;24;9;14;23;15;NA;6;7;NA;14;16;21;6;20;0;14;NA;0;0;17;7;19;NA;22;16;0;24
1963;NA;14;14;7;13;6;13;22;17;NA;35;NA;NA;13;9;31;NA;NA;27;15;NA;24;14;34;27;23;13;24;26;30;25;NA;12;10;NA;8;15;12;6;11;11;6;10;9;10;10;22;16;11;24;26;0;6
1964;0;NA;0;0;10;7;9;7;0;NA;0;6;0;0;0;0;NA;NA;0;0;NA;10;0;8;0;0;NA;0;0;0;0;0;0;6;8;0;0;0;0;0;0;6;0;0;8;0;11;6;0;0;0;6;0
1965;NA;NA;NA;7;0;0;0;0;7;0;NA;6;0;6;0;0;0;0;0;0;0;0;8;6;NA;0;NA;8;NA;0;0;0;0;0;6;0;13;9;6;12;0;NA;16;0;0;7;80;7;0;6;NA;0;6
1966;0;0;0;6;0;7;6;0;0;0;0;0;11;0;0;0;6;0;0;0;0;0;0;0;7;0;0;0;NA;7;0;15;0;0;0;0;0;0;0;8;0;0;NA;0;0;0;0;0;0;8;7;0;0
1967;0;7;7;7;0;8;12;0;7;7;0;8;NA;7;0;6;0;0;0;0;0;0;6;0;0;6;0;0;8;0;0;0;0;0;7;7;0;7;6;0;0;6;6;0;6;0;0;0;8;0;0;0;7
1968;0;0;0;0;0;0;0;0;27;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;6;0;7;0;0;0;0;0;0;0;0;0;0;0;6;7;0;0
1969;0;0;7;0;0;6;0;0;NA;6;0;6;6;6;NA;0;12;0;6;6;0;0;0;6;9;0;14;0;14;0;0;6;6;0;6;0;6;0;0;0;7;8;0;7;0;9;7;6;7;13;6;10;0
1970;0;7;7;0;0;0;0;8;7;0;0;0;0;6;6;0;8;0;0;0;6;0;0;0;6;0;NA;0;0;NA;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;6;6;0;0
1971;0;0;10;6;0;0;11;12;0;0;0;6;8;15;12;0;NA;NA;13;6;NA;8;10;NA;15;8;10;30;0;23;8;9;0;7;6;25;8;8;6;21;0;8;0;0;12;11;0;0;14;9;9;0;6
1972;0;NA;8;7;0;0;0;0;0;7;NA;7;6;6;0;0;NA;NA;0;0;NA;6;0;8;7;0;NA;0;0;13;0;6;0;0;0;6;0;6;0;NA;NA;6;0;NA;0;0;0;7;12;6;6;7;7
1973;6;0;7;0;8;0;0;10;0;NA;6;0;0;7;8;6;0;6;6;6;8;0;NA;0;0;8;NA;8;7;6;0;8;25;6;0;0;6;7;0;0;0;0;0;0;0;0;0;0;NA;7;7;0;6
1974;0;6;12;0;7;6;0;7;6;13;6;6;7;6;6;14;27;6;6;0;6;13;NA;0;20;0;0;0;0;26;0;20;0;0;0;0;15;8;0;0;0;9;0;8;0;0;0;0;6;26;19;0;12
1975;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;6;6;0;0;6;6;0;0;6;0;0;6;0;0;0;0;8;0;0;6;0
1976;0;NA;NA;12;0;0;15;13;6;6;12;NA;6;0;6;6;0;0;7;13;6;7;NA;15;0;28;12;7;NA;8;0;0;6;6;0;6;0;9;0;31;6;0;0;18;6;0;6;20;14;12;7;8;9
1977;7;6;13;0;0;0;0;0;9;0;0;0;0;0;0;NA;6;0;0;0;8;9;6;0;7;10;0;9;0;8;0;13;0;9;0;0;0;10;0;0;0;0;0;0;6;7;0;0;12;8;7;0;NA
1978;14;0;0;0;9;8;9;NA;0;8;7;0;0;NA;14;7;0;6;7;13;0;0;0;27;0;6;0;6;0;12;6;14;0;13;15;0;7;7;0;0;0;0;0;0;7;0;0;7;0;19;6;0;0
1979;0;0;0;0;0;0;0;6;0;0;8;0;0;0;0;0;0;6;6;7;0;0;0;0;6;0;7;0;0;0;0;0;0;6;8;0;6;6;0;6;7;8;0;6;0;0;0;42;7;6;0;6;0
1980;0;0;37;NA;0;0;0;10;6;0;0;NA;6;33;7;40;0;0;0;0;13;0;0;NA;7;0;14;7;0;0;0;15;7;0;7;0;26;0;0;8;27;9;0;8;7;9;0;0;NA;0;7;12;0
1981;0;7;9;0;0;0;0;0;25;0;0;18;0;NA;6;10;0;0;6;0;6;7;0;0;6;7;12;13;12;8;6;NA;NA;12;14;0;0;18;6;0;NA;15;7;0;18;15;NA;NA;49;0;7;15;7
1982;NA;0;0;0;7;9;0;7;0;0;0;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;10;0;7;0;0;0;0
1983;0;0;0;0;0;0;NA;NA;0;0;8;0;0;NA;0;0;0;0;14;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0
1984;0;6;0;0;0;0;0;6;0;0;0;0;0;NA;6;0;0;7;0;0;0;0;NA;0;21;0;0;0;0;0;0;29;0;0;0;0;6;NA;0;6;0;0;0;0;0;0;6;0;7;0;0;0;17
1985;0;7;NA;0;7;19;8;NA;11;6;0;0;6;13;13;15;0;8;9;11;6;9;7;8;11;10;0;7;0;10;8;13;NA;NA;0;8;6;0;6;0;0;0;6;0;7;7;0;0;0;10;11;0;NA
1986;0;0;6;0;0;0;7;0;0;0;0;7;12;0;0;0;0;0;0;0;0;0;NA;NA;6;0;6;9;NA;0;12;6;0;0;0;0;0;0;0;6;7;0;0;7;12;0;0;0;6;0;0;0;0
1987;6;15;10;9;6;0;15;0;7;6;7;17;NA;10;10;24;0;0;NA;14;14;12;15;NA;0;14;11;15;0;15;6;0;15;15;10;0;15;9;13;10;9;10;7;8;9;6;0;14;25;0;NA;0;0
1988;NA;NA;NA;NA;0;0;0;6;0;0;NA;NA;NA;0;0;10;0;6;NA;NA;0;0;8;0;NA;0;NA;0;0;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;8;NA;0;NA;NA
1989;6;6;0;0;0;0;0;0;0;7;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;12;0;0;0;0;0;8;0;0;12;0;0;6;0
1990;0;6;0;0;0;0;0;NA;0;6;0;0;13;0;0;0;0;0;NA;0;0;0;0;0;0;6;0;0;0;7;13;0;0;6;0;0;0;0;0;0;0;0;0;0;6;0;6;0;NA;0;0;0;0
1991;6;19;22;6;7;NA;7;NA;12;16;11;22;18;NA;14;15;14;42;22;8;11;48;8;30;26;16;14;23;8;NA;NA;22;6;17;21;20;12;14;6;29;0;41;NA;15;29;7;15;0;15;10;NA;0;36
1992;0;0;0;0;7;NA;0;0;6;0;7;6;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;9;6;0;0;6;0;0;0;9;0;6;0;0;0;0;0;6;NA;0;0;0;12
1993;9;6;6;0;13;0;0;0;6;0;6;0;6;7;6;NA;6;6;6;0;6;6;0;NA;6;6;12;6;0;NA;NA;0;6;0;0;0;0;6;6;12;0;13;0;6;25;6;0;25;18;6;6;0;6
1994;0;0;0;0;6;0;0;0;0;0;7;0;0;20;0;0;0;0;0;0;0;12;7;NA;6;7;6;13;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;19;0;0;0;0
1995;6;12;0;0;6;7;0;0;0;0;0;6;0;6;0;NA;0;0;0;0;0;0;6;0;0;NA;6;6;NA;0;0;0;0;0;0;7;0;15;0;19;0;0;0;0;NA;0;7;20;NA;0;0;0;0
1996;6;6;0;6;6;0;12;6;NA;0;0;6;0;0;7;NA;0;0;0;6;6;20;NA;6;0;6;6;12;0;6;0;8;0;0;0;6;0;0;6;6;0;0;0;0;NA;0;12;0;0;NA;12;0;6
1997;0;0;0;0;6;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;NA;0;7;0;0;0;0;0;0;6;0;0;0;7;6;0;6;0;0;NA;0;8;12;7;NA;0;NA;0
1998;0;0;6;0;0;0;0;0;NA;0;NA;16;6;14;6;0;0;0;6;NA;0;0;8;0;0;6;13;13;6;6;6;26;0;0;0;0;7;8;0;NA;7;8;0;0;NA;NA;7;16;9;NA;NA;0;0
1999;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;0;6;0;0;0;12;NA;NA;0;7;0;7;NA;NA;NA;7;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;15;6;NA;NA;NA;NA
