yy;anom.originale;anom
1961;-7.43;-7.53
1962;11.71;11.78
1963;7.23;7.23
1964;-1.3;-1.3
1965;4.96;4.95
1966;-1.84;-1.84
1967;-0.62;-0.61
1968;0.23;0.24
1969;4.84;4.9
1970;2.36;2.4
1971;2.54;2.57
1972;-13.85;-13.99
1973;7.95;8.04
1974;-9.03;-9.11
1975;-5.12;-5.15
1976;-1.06;-1.06
1977;-11.53;-11.63
1978;-1.21;-1.22
1979;-3.97;-4.02
1980;5.62;5.68
1981;10.8;10.91
1982;-1.89;-1.9
1983;3.02;3.05
1984;0.31;0.32
1985;2.86;2.9
1986;3.72;3.73
1987;3.85;3.84
1988;-3.29;-3.35
1989;-3.7;-3.73
1990;-4.74;-4.78
1991;7.04;7.11
1992;-5.44;-5.49
1993;3.85;3.89
1994;-16.15;-16.3
1995;-1.59;-1.59
1996;-1.75;-1.75
1997;-11.73;-11.84
1998;-1.31;-1.32
1999;1.46;1.43
2000;-11.35;-11.47
2001;-8.62;-8.7
2002;-12.93;-13.06
2003;3.01;3.01
2004;-2.82;-2.82
2005;10.29;10.29
2006;-4.12;-4.12
2007;-14.82;-14.82
2008;-11.84;-11.97
2009;-6.63;-6.69
2010;-1.79;-1.79
2011;-9.71;-9.81
2012;-0.28;-0.27
2013;-9.7;-9.79
2014;-30.68;-31.04
2015;-16.84;-16.84
2016;-16.97;-15.78
2017;-7.56;-6.48
2018;-16.46;-15.52
2019;-11.48;-10.7
2020;-15.39;-15.39
