yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6856,aeronautica_6869,aeronautica_6893,lazio_289,marche_25,sicilia_11812,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919
1961,NA,-8.75,-2.73,0.28999999999999915,-11.07,-3.700000000000003,-3.240000000000002,-5.73,-5.029999999999999,NA,1.8499999999999943,NA,-15.760000000000005,-23.650000000000006,-19.97,NA,NA,NA,-6.07,-7.969999999999999,NA,5.329999999999998,-29.21,-1.879999999999999,3.729999999999997,-5.289999999999999,1.4800000000000004,-7.460000000000001,-12.43,NA,-27.17,-28.169999999999987,NA,-9.590000000000003,-4.109999999999999,-3.25,NA,4.859999999999999,1.41,0.45999999999999996,NA,-1.0999999999999996,-8,0.69,2,-23.379999999999995,-16.180000000000007,NA
1962,NA,NA,-0.73,9.29,11.93,9.299999999999997,21.759999999999998,1.2699999999999996,7.970000000000001,NA,31.849999999999994,NA,NA,12.349999999999994,17.03,15.25,NA,NA,14.93,14.030000000000001,NA,10.329999999999998,14.79,11.120000000000001,17.729999999999997,16.71,NA,15.54,1.5700000000000003,27.120000000000005,19.83,0.8300000000000125,NA,22.409999999999997,17.89,12.75,NA,21.86,2.41,-0.54,NA,2.9000000000000004,16,-0.31,NA,18.620000000000005,19.819999999999993,0.5599999999999996
1963,NA,11.25,11.27,6.289999999999999,23.93,0.29999999999999716,21.759999999999998,18.27,22.97,NA,-4.150000000000006,NA,NA,-11.650000000000006,9.030000000000001,-5.75,NA,NA,18.93,13.030000000000001,NA,22.33,8.79,31.12,12.729999999999997,24.71,29.48,5.539999999999999,28.57,3.1200000000000045,-12.170000000000002,-0.1699999999999875,NA,15.409999999999997,14.89,4.75,NA,17.86,5.41,2.46,NA,7.9,15,1.69,3,-16.379999999999995,-7.180000000000007,6.56
1964,-4.039999999999999,NA,-1.73,11.29,11.93,0.29999999999999716,18.759999999999998,5.27,2.9700000000000006,NA,-7.150000000000006,-14.75,-2.760000000000005,-28.650000000000006,-7.969999999999999,-17.75,NA,NA,-3.0700000000000003,-0.9699999999999989,NA,4.329999999999998,9.79,16.12,6.729999999999997,-1.2899999999999991,-2.5199999999999996,NA,4.57,-12.879999999999995,-13.170000000000002,-1.1699999999999875,-0.84,0.4099999999999966,7.890000000000001,14.75,4.62,11.86,0.4099999999999999,-0.54,NA,1.9000000000000004,13,2.69,-1,-2.3799999999999955,4.819999999999993,3.5599999999999996
1965,NA,NA,NA,15.29,-0.07000000000000028,5.299999999999997,12.759999999999998,-4.73,-2.0299999999999994,7.800000000000011,NA,13.25,19.239999999999995,3.3499999999999943,4.030000000000001,1.25,22.459999999999994,12.420000000000002,18.93,11.030000000000001,-1.3800000000000026,-7.670000000000002,3.789999999999999,-3.879999999999999,8.729999999999997,NA,-0.5199999999999996,NA,13.57,NA,13.829999999999998,-5.1699999999999875,-0.84,3.4099999999999966,-2.1099999999999994,7.75,6.62,18.86,2.41,1.46,1.12,-1.0999999999999996,18,-0.31,-1,13.620000000000005,NA,8.559999999999999
1966,-2.039999999999999,2.25,-0.73,23.29,0.9299999999999997,9.299999999999997,15.759999999999998,-1.7300000000000004,3.9700000000000006,-8.199999999999989,-8.150000000000006,-1.75,5.239999999999995,12.349999999999994,-0.9699999999999989,2.25,10.459999999999994,6.420000000000002,8.93,4.030000000000001,-4.380000000000003,7.329999999999998,-2.210000000000001,6.120000000000001,5.729999999999997,-17.29,-2.5199999999999996,-6.460000000000001,-8.43,NA,-4.170000000000002,-17.169999999999987,-0.84,4.409999999999997,-1.1099999999999994,-2.25,5.62,7.859999999999999,0.4099999999999999,1.46,-3.88,0.9000000000000004,7,-0.31,-1,-3.3799999999999955,3.819999999999993,0.5599999999999996
1967,-3.039999999999999,9.25,4.27,27.29,1.9299999999999997,3.299999999999997,18.759999999999998,3.2699999999999996,4.970000000000001,-3.1999999999999886,-11.150000000000006,1.25,NA,-3.6500000000000057,-0.9699999999999989,-4.75,0.45999999999999375,-4.579999999999998,-0.07000000000000028,-6.969999999999999,1.6199999999999974,9.329999999999998,-6.210000000000001,17.12,7.729999999999997,-11.29,4.48,6.539999999999999,3.5700000000000003,-5.8799999999999955,-10.170000000000002,-20.169999999999987,0.16000000000000003,2.4099999999999966,4.890000000000001,2.75,3.62,19.86,1.41,-0.54,4.12,1.9000000000000004,11,-0.31,-1,-11.379999999999995,-8.180000000000007,1.5599999999999996
1968,-4.039999999999999,3.25,5.27,-0.7100000000000009,5.93,1.2999999999999972,13.759999999999998,1.2699999999999996,7.970000000000001,0.8000000000000114,1.8499999999999943,-11.75,9.239999999999995,9.349999999999994,-1.9699999999999989,-5.75,6.459999999999994,-2.5799999999999983,3.9299999999999997,-1.9699999999999989,5.6199999999999974,2.3299999999999983,6.789999999999999,14.120000000000001,-0.2700000000000031,-3.289999999999999,1.4800000000000004,3.539999999999999,6.57,9.120000000000005,2.8299999999999983,-13.169999999999987,0.16000000000000003,-1.5900000000000034,6.890000000000001,-2.25,8.620000000000001,19.86,0.4099999999999999,1.46,-2.88,0.9000000000000004,6,-0.31,0,-1.3799999999999955,-5.180000000000007,-4.44
1969,-9.04,-4.75,-0.73,-15.71,-4.07,19.299999999999997,30.759999999999998,-3.7300000000000004,NA,4.800000000000011,-10.150000000000006,11.25,29.239999999999995,14.349999999999994,NA,12.25,20.459999999999994,18.42,15.93,-2.969999999999999,-0.38000000000000256,6.329999999999998,0.7899999999999991,15.120000000000001,7.729999999999997,12.71,14.48,11.54,15.57,23.120000000000005,-0.1700000000000017,-4.1699999999999875,-0.84,3.4099999999999966,-0.10999999999999943,-5.25,0.6200000000000001,8.86,-0.5900000000000001,-0.54,-0.8799999999999999,-2.0999999999999996,1,-0.31,-1,-13.379999999999995,-12.180000000000007,-3.4400000000000004
1970,-0.03999999999999915,-3.75,-1.73,-18.71,-11.07,10.299999999999997,16.759999999999998,-2.7300000000000004,17.97,10.800000000000011,6.849999999999994,7.25,30.239999999999995,13.349999999999994,1.0300000000000011,-6.75,17.459999999999994,0.4200000000000017,-1.0700000000000003,-3.969999999999999,-8.380000000000003,-9.670000000000002,-9.21,5.120000000000001,8.729999999999997,18.71,1.4800000000000004,NA,8.57,22.120000000000005,NA,15.830000000000013,1.1600000000000001,-2.5900000000000034,-2.1099999999999994,-4.25,-1.38,17.86,-1.59,-0.54,-4.88,-3.0999999999999996,3,-0.31,-1,11.620000000000005,1.8199999999999932,-5.44
