yy;anom
1961;-6.94
1962;12.87
1963;9.15
1964;0.83
1965;5.35
1966;0.42
1967;1.07
1968;1.71
1969;4.05
1970;2.3
1971;2.41
1972;-12.61
1973;6.8
1974;-11.3
1975;-5.73
1976;-2.45
1977;-10.44
1978;-1.01
1979;-3.66
1980;4.07
1981;12.22
1982;-2.59
1983;2.65
1984;-1.43
1985;1.98
1986;2.79
1987;2.7
1988;-4.39
1989;-5.12
1990;-5.64
1991;7.55
1992;-4.75
1993;4.61
1994;-14.83
1995;-0.69
1996;-0.01
1997;-9.87
1998;-1.44
1999;4.31
2000;-11.01
2001;-5.33
2002;-11.83
2003;5.26
2004;-0.17
2005;12.78
2006;-1.84
2007;-13.4
2008;-10.57
2009;-4.43
2010;1.18
2011;-7.79
2012;1.69
2013;-8.74
2014;-28.39
2015;-14.67
2016;-14.16
2017;-5.03
2018;-12.75
2019;-11.38
2020;-14.99
