yy;anom
1961;-8.8
1962;11.54
1963;8.91
1964;0.14
1965;5.01
1966;0.96
1967;1.67
1968;1.76
1969;4.26
1970;4.24
1971;3.2
1972;-11.76
1973;8.05
1974;-8.77
1975;-5.79
1976;-1.96
1977;-9.9
1978;-1.43
1979;-3.02
1980;4.75
1981;12.29
1982;-2.86
1983;2.92
1984;-1.41
1985;1.51
1986;2.18
1987;2.72
1988;-4.87
1989;-7.28
1990;-6.68
1991;6.37
1992;-5.1
1993;2.72
1994;-17.13
1995;-1.94
1996;-2.09
1997;-12.03
1998;-2.02
1999;3.94
2000;-9.82
2001;-6.76
2002;-11.37
2003;2.65
2004;-2.02
2005;9.86
2006;-3.26
2007;-13.7
2008;-10.49
2009;-6.03
2010;-0.24
2011;-9.51
2012;0.83
2013;-9.06
2014;-29.27
2015;-15.8
2016;-15.25
2017;-5.8
2018;-13.82
2019;-13.01
2020;-15.85
