yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6856;aeronautica_6869;aeronautica_6893;lazio_289;marche_25;sicilia_11812;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919
1961;NA;20;1;33;29;75;35;1;10;NA;108;NA;80;117;46;NA;NA;NA;45;56;NA;35;33;22;67;38;32;27;16;NA;68;114;NA;23;19;16;NA;30;3;1;NA;6;24;1;3;171;186;NA
1962;NA;NA;3;42;52;88;60;8;23;NA;138;NA;NA;153;83;136;NA;NA;66;78;NA;40;77;35;81;60;NA;50;30;108;115;143;NA;55;41;32;NA;47;4;0;NA;10;48;0;NA;213;222;6
1963;NA;40;15;39;64;79;60;25;38;NA;102;NA;NA;129;75;115;NA;NA;70;77;NA;52;71;55;76;68;60;40;57;84;83;142;NA;48;38;24;NA;43;7;3;NA;15;47;2;4;178;195;12
1964;48;NA;2;44;52;79;57;12;18;NA;99;74;93;112;58;103;NA;NA;48;63;NA;34;72;40;70;42;28;NA;33;68;82;141;0;33;31;34;9;37;2;0;NA;9;45;3;0;192;207;9
1965;NA;NA;NA;48;40;84;51;2;13;155;NA;102;115;144;70;122;103;72;70;75;45;22;66;20;72;NA;30;NA;42;NA;109;137;0;36;21;27;11;44;4;2;8;6;50;0;0;208;NA;14
1966;50;31;3;56;41;88;54;5;19;139;98;87;101;153;65;123;91;66;60;68;42;37;60;30;69;26;28;28;20;NA;91;125;0;37;22;17;10;33;2;2;3;8;39;0;0;191;206;6
1967;49;38;8;60;42;82;57;10;20;144;95;90;NA;137;65;116;81;55;51;57;48;39;56;41;71;32;35;41;32;75;85;122;1;35;28;22;8;45;3;0;11;9;43;0;0;183;194;7
1968;48;32;9;32;46;80;52;8;23;148;108;77;105;150;64;115;87;57;55;62;52;32;69;38;63;40;32;38;35;90;98;129;1;31;30;17;13;45;2;2;4;8;38;0;1;193;197;1
1969;43;24;3;17;36;98;69;3;NA;152;96;100;125;155;NA;133;101;78;67;61;46;36;63;39;71;56;45;46;44;104;95;138;0;36;23;14;5;34;1;0;6;5;33;0;0;181;190;2
1970;52;25;2;14;29;89;55;4;33;158;113;96;126;154;67;114;98;60;50;60;38;20;53;29;72;62;32;NA;37;103;NA;158;2;30;21;15;3;43;0;0;2;4;35;0;0;206;204;0
1971;56;31;7;18;46;94;45;18;22;145;98;93;94;161;75;104;NA;NA;58;69;NA;31;60;NA;72;36;29;45;40;86;83;144;3;40;28;22;6;39;1;0;NA;6;37;0;1;194;199;3
