yy;anom
1961;10.93
1962;8.16
1963;-3.18
1964;5.25
1965;-7.25
1966;3.16
1967;2.02
1968;-10.92
1969;-8.81
1970;3.15
1971;-2.6
1972;-16.91
1973;9.07
1974;-2.5
1975;0.48
1976;-14.27
1977;-9.36
1978;-16.97
1979;0.53
1980;-8.26
1981;-1.04
1982;14.99
1983;8.07
1984;-11.84
1985;16.79
1986;10.35
1987;12.55
1988;11.34
1989;-4.69
1990;10.24
1991;11.96
1992;11.17
1993;15.39
1994;20.31
1995;-2.21
1996;-2.81
1997;18.42
1998;13.88
1999;21.29
2000;27.16
2001;28.15
2002;12.2
2003;40.63
2004;18.09
2005;16.4
2006;23.24
2007;24.75
2008;17.31
2009;33.79
2010;14.37
2011;33.69
2012;30.66
2013;20.6
2014;16.62
2015;29.25
2016;19.84
2017;29.07
2018;35.16
2019;29.13
2020;21.74
