yy;anom.originale;anom
1961;11.27;11.27
1962;6.88;6.88
1963;-6.09;-6.09
1964;3.91;3.91
1965;-8.23;-8.23
1966;1.97;1.97
1967;2.81;2.81
1968;-8.53;-8.53
1969;-7.59;-7.59
1970;2.17;2.17
1971;-2.01;-2.01
1972;-15.57;-15.57
1973;10.2;10.2
1974;-2.8;-2.8
1975;1.53;1.53
1976;-13.68;-13.68
1977;-8.15;-8.15
1978;-14.06;-14.06
1979;2.09;2.09
1980;-9.5;-9.5
1981;2;2
1982;13.48;13.48
1983;5.6;5.6
1984;-11.65;-11.65
1985;17.24;17.24
1986;10.11;10.11
1987;9.69;9.69
1988;6.45;6.45
1989;-6.4;-6.4
1990;10.97;10.97
1991;7.14;7.14
1992;9.09;9.09
1993;13.02;13.02
1994;15.21;15.21
1995;-5.3;-5.3
1996;-6.35;-6.35
1997;14.23;14.23
1998;9.58;9.58
1999;17.11;17.11
2000;18.56;18.56
2001;18.76;18.76
2002;2.81;2.81
2003;30.89;30.89
2004;9.54;9.54
2005;8.02;8.02
2006;14.51;14.51
2007;14.98;14.98
2008;8.02;8.02
2009;21.4;21.4
2010;4.71;4.71
2011;22.85;22.85
2012;21.32;21.32
2013;11.93;11.93
2014;7.63;7.63
2015;20.08;20.08
2016;11.84;12.01
2017;19.33;19.69
2018;24.42;24.91
2019;18.19;18.72
2020;13.17;13.17
