yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,bolzano_39,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,emiliaromagna_9224,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6919,aeronautica_6922
1961,NA,15.829999999999998,15.620000000000005,18.11,7.1299999999999955,5.969999999999999,1.9699999999999989,18.879999999999995,12.030000000000001,NA,5.739999999999998,28.27,-0.54,NA,NA,NA,32.3,1.3799999999999955,NA,21.400000000000006,32.83,-16.92,-5.460000000000001,23.930000000000007,1.8599999999999994,-11.659999999999997,19.619999999999997,-14.329999999999998,NA,16.689999999999998,10.37,NA,21.97,6.819999999999993,12.86,NA,15.14,22.17,17.040000000000006,5.170000000000002,8.61,20,17.209999999999994,NA,NA,11.299999999999997,14.36,-1.9300000000000068,18.14,-0.1700000000000017,NA,12.189999999999998,NA,6.299999999999997
1962,NA,NA,1.6200000000000045,12.11,3.1299999999999955,-2.030000000000001,-2.030000000000001,1.8799999999999955,2.030000000000001,NA,-0.26000000000000156,41.269999999999996,12.46,-4.11,NA,NA,23.299999999999997,-1.6200000000000045,NA,12.400000000000006,10.829999999999998,-4.920000000000002,21.54,12.930000000000007,9.86,NA,27.619999999999997,17.67,-0.9199999999999999,18.689999999999998,7.369999999999999,NA,13.969999999999999,-5.180000000000007,4.859999999999999,NA,9.14,13.170000000000002,9.040000000000006,12.170000000000002,10.61,6,6.209999999999994,16.78,NA,NA,7.359999999999999,-0.9300000000000068,10.14,-4.170000000000002,3.25,NA,5.109999999999999,4.299999999999997
1963,NA,-2.1700000000000017,-6.3799999999999955,3.1099999999999994,5.1299999999999955,-23.03,-13.030000000000001,0.8799999999999955,-24.97,NA,3.7399999999999984,NA,-6.54,-4.11,NA,NA,-1.7000000000000028,-10.620000000000005,NA,-2.5999999999999943,0.8299999999999983,-5.920000000000002,-7.460000000000001,0.9300000000000068,-12.14,-6.659999999999997,14.619999999999997,-5.329999999999998,-0.9199999999999999,-7.3100000000000005,-2.630000000000001,NA,1.9699999999999989,3.819999999999993,-6.140000000000001,NA,5.140000000000001,0.1700000000000017,-6.959999999999994,13.170000000000002,13.61,-10,0.20999999999999375,-3.219999999999999,NA,8.299999999999997,2.3599999999999994,2.069999999999993,2.1400000000000006,-24.17,0.25,-16.810000000000002,-11.89,-2.700000000000003
1964,3.7099999999999937,NA,12.620000000000005,-4.890000000000001,12.129999999999995,17.97,-14.030000000000001,6.8799999999999955,4.030000000000001,NA,-2.2600000000000016,13.27,-1.54,-2.1100000000000003,NA,NA,26.299999999999997,4.3799999999999955,NA,15.400000000000006,11.829999999999998,16.08,-16.46,7.930000000000007,-2.1400000000000006,-12.659999999999997,NA,-9.329999999999998,2.08,5.6899999999999995,-1.6300000000000008,24.560000000000002,37.97,15.819999999999993,16.86,8.730000000000004,1.1400000000000006,11.170000000000002,-7.959999999999994,-0.8299999999999983,0.6099999999999994,4,3.2099999999999937,15.780000000000001,NA,-8.700000000000003,-1.6400000000000006,12.069999999999993,5.140000000000001,-9.170000000000002,6.25,-17.810000000000002,22.11,14.299999999999997
1965,NA,NA,NA,-4.890000000000001,-22.870000000000005,-8.030000000000001,-4.030000000000001,-15.120000000000005,-18.97,-2.1999999999999993,NA,0.2699999999999996,2.46,1.8899999999999997,-10.579999999999998,-5.459999999999994,-10.700000000000003,-23.620000000000005,-21.290000000000006,-3.5999999999999943,-14.170000000000002,-19.92,1.5399999999999991,-11.069999999999993,NA,-4.659999999999997,NA,2.6700000000000017,NA,-5.3100000000000005,-0.6300000000000008,-17.439999999999998,-10.030000000000001,-14.180000000000007,-14.14,-5.269999999999996,-4.859999999999999,-15.829999999999998,-22.959999999999994,3.1700000000000017,0.6099999999999994,-12,NA,8.780000000000001,-18.42,7.299999999999997,0.35999999999999943,-4.930000000000007,-11.86,36.83,-10.75,-10.810000000000002,-10.89,-7.700000000000003
1966,2.7099999999999937,14.829999999999998,11.620000000000005,1.1099999999999994,17.129999999999995,17.97,22.97,7.8799999999999955,-17.97,-6.199999999999999,-17.26,-2.7300000000000004,-1.54,-6.11,5.420000000000002,3.5400000000000063,-5.700000000000003,1.3799999999999955,0.7099999999999937,5.400000000000006,NA,11.079999999999998,12.54,-1.0699999999999932,-5.140000000000001,4.340000000000003,3.6199999999999974,-4.329999999999998,NA,-12.31,-4.630000000000001,-8.439999999999998,-0.030000000000001137,8.819999999999993,16.86,8.730000000000004,-0.8599999999999994,-1.8299999999999983,2.0400000000000063,8.170000000000002,5.609999999999999,-8,3.2099999999999937,9.780000000000001,-4.420000000000002,NA,-5.640000000000001,21.069999999999993,12.14,4.829999999999998,4.25,-4.810000000000002,12.11,18.299999999999997
1967,2.7099999999999937,0.8299999999999983,-5.3799999999999955,18.11,14.129999999999995,20.97,14.969999999999999,-9.120000000000005,17.03,-3.1999999999999993,6.739999999999998,NA,3.46,-3.1100000000000003,-2.5799999999999983,6.540000000000006,-2.700000000000003,-1.6200000000000045,5.709999999999994,1.4000000000000057,-9.170000000000002,5.079999999999998,-2.460000000000001,6.930000000000007,1.8599999999999994,3.3400000000000034,12.619999999999997,2.6700000000000017,0.08000000000000007,-6.3100000000000005,-4.630000000000001,5.560000000000002,5.969999999999999,1.8199999999999932,-1.1400000000000006,-6.269999999999996,1.1400000000000006,-5.829999999999998,-21.959999999999994,0.1700000000000017,-4.390000000000001,-6,-12.790000000000006,9.780000000000001,1.5799999999999983,14.299999999999997,1.3599999999999994,6.069999999999993,15.14,-9.170000000000002,-13.75,3.1899999999999977,15.11,12.299999999999997
1968,-21.290000000000006,-27.17,-17.379999999999995,-32.89,-5.8700000000000045,-3.030000000000001,2.969999999999999,-23.120000000000005,-15.969999999999999,-3.1999999999999993,-14.260000000000002,-7.73,-2.54,-0.11000000000000032,-14.579999999999998,-6.459999999999994,-29.700000000000003,-31.620000000000005,-24.290000000000006,-23.599999999999994,-16.17,-0.9200000000000017,-9.46,-26.069999999999993,-6.140000000000001,-18.659999999999997,-22.380000000000003,-21.33,-6.92,-6.3100000000000005,-4.630000000000001,-21.439999999999998,-14.030000000000001,2.819999999999993,-17.14,4.730000000000004,-0.8599999999999994,-21.83,-14.959999999999994,-7.829999999999998,-24.39,-18,-18.790000000000006,-0.21999999999999886,-2.4200000000000017,-10.700000000000003,-8.64,7.069999999999993,-4.859999999999999,-1.1700000000000017,5.25,-0.8100000000000023,10.11,9.299999999999997
1969,-14.290000000000006,-21.17,-7.3799999999999955,-20.89,2.1299999999999955,-5.030000000000001,-1.0300000000000011,-21.120000000000005,NA,1.8000000000000007,-4.260000000000002,5.27,NA,-0.11000000000000032,-12.579999999999998,-9.459999999999994,-10.700000000000003,-6.6200000000000045,-12.290000000000006,-11.599999999999994,-2.1700000000000017,2.0799999999999983,-1.4600000000000009,-15.069999999999993,3.8599999999999994,-6.659999999999997,-0.38000000000000256,-11.329999999999998,4.08,0.6899999999999995,2.369999999999999,-6.439999999999998,-0.030000000000001137,-1.1800000000000068,-5.140000000000001,6.730000000000004,-3.8599999999999994,-19.83,-20.959999999999994,-21.83,-21.39,-36,-22.790000000000006,-18.22,-33.42,-21.700000000000003,-18.64,11.069999999999993,-2.8599999999999994,-9.170000000000002,0.25,-1.8100000000000023,-10.89,-26.700000000000003
1970,10.709999999999994,8.829999999999998,9.620000000000005,1.1099999999999994,-2.8700000000000045,6.969999999999999,8.969999999999999,9.879999999999995,15.030000000000001,-6.199999999999999,3.7399999999999984,15.27,-2.54,-4.11,14.420000000000002,3.5400000000000063,13.299999999999997,2.3799999999999955,11.709999999999994,3.4000000000000057,3.8299999999999983,-5.920000000000002,14.54,4.930000000000007,18.86,16.340000000000003,NA,8.670000000000002,-2.92,NA,1.3699999999999992,19.560000000000002,-22.03,5.819999999999993,3.8599999999999994,4.730000000000004,-12.86,3.1700000000000017,-2.9599999999999937,5.170000000000002,5.609999999999999,-4,-5.790000000000006,-7.219999999999999,-9.420000000000002,-15.700000000000003,-6.640000000000001,0.06999999999999318,8.14,-2.1700000000000017,-0.75,2.1899999999999977,6.109999999999999,6.299999999999997
