yy;anom
1961;9.14
1962;6.19
1963;-5.99
1964;3.7
1965;-7.57
1966;2.22
1967;2.85
1968;-9.46
1969;-8.3
1970;2.12
1971;-1.91
1972;-15.49
1973;10.05
1974;-1.11
1975;2.81
1976;-12.78
1977;-9.67
1978;-17.58
1979;0.38
1980;-10.55
1981;-0.15
1982;14.76
1983;6.33
1984;-12.19
1985;18.49
1986;10.95
1987;10.5
1988;10.79
1989;-3.96
1990;11.96
1991;11.39
1992;10.91
1993;13
1994;17.37
1995;-3.7
1996;-4.11
1997;18.68
1998;11.48
1999;20.52
2000;25.66
2001;24.33
2002;6.75
2003;35.99
2004;13.37
2005;11.64
2006;18.66
2007;18.88
2008;11.19
2009;28.22
2010;8.27
2011;26.68
2012;23.31
2013;13.76
2014;8.65
2015;20.86
2016;11.26
2017;21.23
2018;25.91
2019;20.06
2020;13.1
