SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;regione;id
6691;PASSO ROLLE;160210;46.3;11.783;2006;aeronautica;aeronautica_6691
6692;PAGANELLA;160220;46.15;11.033;2129;aeronautica;aeronautica_6692
6693;DOBBIACO;160330;46.733;12.217;1226;aeronautica;aeronautica_6693
6697;TARVISIO;160400;46.5;13.583;778;aeronautica;aeronautica_6697
6707;TORINO/CASELLE;160590;45.217;7.65;287;aeronautica;aeronautica_6707
6709;TORINO/BRIC DELLA C;160610;45.033;7.733;710;aeronautica;aeronautica_6709
6718;MILANO/LINATE;160800;45.433;9.283;103;aeronautica;aeronautica_6718
6720;PIACENZA;160840;44.917;9.733;138;aeronautica;aeronautica_6720
6721;BRESCIA/GHEDI;160880;45.417;10.283;97;aeronautica;aeronautica_6721
6723;VERONA/VILLAFRANCA;160900;45.383;10.867;68;aeronautica;aeronautica_6723
6729;TREVISO/ISTRANA;160980;45.683;12.1;46;aeronautica;aeronautica_6729
6730;TREVISO/S. ANGELO;160990;45.65;12.183;23;aeronautica;aeronautica_6730
6733;VENEZIA/TESSERA;161050;45.5;12.333;6;aeronautica;aeronautica_6733
6769;RIMINI;161490;44.033;12.617;13;aeronautica;aeronautica_6769
6771;CAPO MELE;161530;43.95;8.167;221;aeronautica;aeronautica_6771
6773;PISA/S. GIUSTO;161580;43.683;10.383;6;aeronautica;aeronautica_6773
6779;AREZZO;161720;43.467;11.85;249;aeronautica;aeronautica_6779
6782;FRONTONE;161790;43.517;12.733;574;aeronautica;aeronautica_6782
6794;GROSSETO;162060;42.75;11.067;7;aeronautica;aeronautica_6794
6797;VITERBO;162160;42.433;12.05;308;aeronautica;aeronautica_6797
6803;VIGNA DI VALLE;162240;42.083;12.217;266;aeronautica;aeronautica_6803
6817;ROMA/CIAMPINO;162390;41.783;12.583;105;aeronautica;aeronautica_6817
6826;CAMPOBASSO;162520;41.567;14.65;807;aeronautica;aeronautica_6826
6827;GRAZZANISE;162530;41.05;14.067;10;aeronautica;aeronautica_6827
6834;AMENDOLA;162610;41.533;15.717;60;aeronautica;aeronautica_6834
6841;PONZA;162800;40.917;12.95;185;aeronautica;aeronautica_6841
6851;GIOIA DEL COLLE;163120;40.767;16.933;350;aeronautica;aeronautica_6851
6856;BRINDISI;163200;40.65;17.95;10;aeronautica;aeronautica_6856
6865;MONTE SCURO;163440;39.333;16.4;1720;aeronautica;aeronautica_6865
6869;S. MARIA DI LEUCA;163600;39.817;18.35;112;aeronautica;aeronautica_6869
6874;USTICA;164000;38.7;13.183;251;aeronautica;aeronautica_6874
6881;MESSINA;164200;38.2;15.55;51;aeronautica;aeronautica_6881
6883;TRAPANI/BIRGI;164290;37.917;12.5;14;aeronautica;aeronautica_6883
6893;CATANIA/FONTANAROSS;164600;37.467;15.05;17;aeronautica;aeronautica_6893
6897;PANTELLERIA;164700;36.817;11.967;170;aeronautica;aeronautica_6897
6901;COZZO SPADARO;164800;36.683;15.133;51;aeronautica;aeronautica_6901
6919;DECIMOMANNU;165460;39.35;8.967;28;aeronautica;aeronautica_6919
6922;CAPO BELLAVISTA;165500;39.933;9.717;150;aeronautica;aeronautica_6922
6923;CAGLIARI/ELMAS;165600;39.25;9.067;5;aeronautica;aeronautica_6923
39;Plata;20900MS;46.82249293;11.17808117;1118;bolzano;bolzano_39
94;Dobbiaco;41000MS;46.72997843;12.21915906;1219;bolzano;bolzano_94
176;Fi� allo Sciliar;75600MS;46.51340578;11.50595194;804;bolzano;bolzano_176
203;Bolzano;83200MS;46.49768516;11.31283145;246;bolzano;bolzano_203
223;Sesto;91500MS;46.70305366;12.34996391;1490;bolzano;bolzano_223
12702;Bologna Urbana;0811842;44.500754;11.328789;44;emiliaromagna;emiliaromagna_12702
