yy;anom.originale;anom
1961;-3.55;-3.55
1962;3.18;3.18
1963;1.84;1.84
1964;-1.84;-1.84
1965;2.07;2.07
1966;-1.38;-1.38
1967;-0.47;-0.47
1968;-0.41;-0.41
1969;0.64;0.64
1970;1.29;1.29
1971;1.77;1.77
1972;0.48;0.48
1973;0.81;0.81
1974;1.02;1.02
1975;-2.62;-2.62
1976;2.55;2.55
1977;-1.03;-1.03
1978;3.25;3.25
1979;-0.27;-0.27
1980;3.99;3.99
1981;2.85;2.85
1982;-3.97;-3.97
1983;-1;-1
1984;-0.94;-0.94
1985;-0.42;-0.42
1986;-1.61;-1.61
1987;1.41;1.41
1988;-3.42;-3.42
1989;-1.35;-1.35
1990;-4.08;-4.08
1991;3.63;3.63
1992;-4.64;-4.64
1993;-1.03;-1.03
1994;-5.66;-5.66
1995;-0.14;-0.14
1996;-0.14;-0.14
1997;-3.91;-3.91
1998;-1.51;-1.51
1999;-3.13;-3.13
2000;-5.12;-5.12
2001;-2.76;-2.76
2002;-4.38;-4.38
2003;-2.47;-2.47
2004;-3.6;-3.6
2005;-0.25;-0.25
2006;-2.66;-2.66
2007;-2.9;-2.9
2008;-4.27;-4.27
2009;-3.66;-3.66
2010;-2.81;-2.81
2011;-4.89;-4.89
2012;-2.96;-2.96
2013;-5.19;-5.19
2014;-7.43;-7.43
2015;-7.42;-7.42
2016;-5.43;-5.3
2017;-4.08;-4.02
2018;-6.1;-6.05
2019;-5.55;-5.52
2020;-6.24;-6.24
