yy;anom
1961;-3.59
1962;3.72
1963;2.15
1964;-1.6
1965;2.91
1966;-1.11
1967;-0.32
1968;0.15
1969;0.3
1970;1.6
1971;2.11
1972;1.01
1973;1.35
1974;1.23
1975;-2.51
1976;2.26
1977;-0.83
1978;3.28
1979;-0
1980;3.8
1981;2.57
1982;-4.39
1983;-1.51
1984;-1.43
1985;-1.15
1986;-2.46
1987;0.75
1988;-4.1
1989;-1.86
1990;-3.77
1991;3.13
1992;-4.57
1993;-1.33
1994;-5.96
1995;-0.86
1996;-0.99
1997;-4.26
1998;-2.53
1999;-4.66
2000;-5.81
2001;-3.29
2002;-5.22
2003;-3.26
2004;-4.1
2005;-0.74
2006;-3.06
2007;-3.47
2008;-4.94
2009;-4.37
2010;-3.62
2011;-5.46
2012;-3.32
2013;-4.96
2014;-7.45
2015;-7.37
2016;-6.06
2017;-5.15
2018;-6.55
2019;-6.94
2020;-6.4
