yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2014;aeronautica_6803;aeronautica;6803;1;6803;VIGNA DI VALLE;162240;42.083;12.217;266
2014;aeronautica_6817;aeronautica;6817;1;6817;ROMA/CIAMPINO;162390;41.783;12.583;105
2014;aeronautica_6893;aeronautica;6893;1;6893;CATANIA/FONTANAROSS;164600;37.467;15.05;17
2014;lazio_289;lazio;289;1;289;Latina;201600;41.4714;12.9058;17
2014;marche_701;marche;701;1;701;Ancona Torrette;701;43.610954;13.449807;5
2014;sicilia_11882;sicilia;11882;1;11882;Caltagirone;193050;37.239686;14.517966;428
2014;aeronautica_6693;aeronautica;6693;2;6693;DOBBIACO;160330;46.733;12.217;1226
2014;aeronautica_6697;aeronautica;6697;2;6697;TARVISIO;160400;46.5;13.583;778
2014;aeronautica_6865;aeronautica;6865;2;6865;MONTE SCURO;163440;39.333;16.4;1720
2014;bolzano_39;bolzano;39;2;39;Plata;20900MS;46.82249293;11.17808117;1118
2014;lazio_388;lazio;388;2;388;Monte Terminillo;481000;42.4556;12.9928;1594
2014;trentino_6511;trentino;6511;2;6511;Pontarso;14;46.115589;11.494414;925
2014;trentino_6640;trentino;6640;2;6640;Cavalese (meteotrentino);367;46.284762;11.451794;958
2014;aeronautica_6709;aeronautica;6709;3;6709;TORINO/BRIC DELLA C;160610;45.033;7.733;710
2014;aeronautica_6718;aeronautica;6718;3;6718;MILANO/LINATE;160800;45.433;9.283;103
2014;aeronautica_6720;aeronautica;6720;3;6720;PIACENZA;160840;44.917;9.733;138
2014;aeronautica_6723;aeronautica;6723;3;6723;VERONA/VILLAFRANCA;160900;45.383;10.867;68
2014;aeronautica_6733;aeronautica;6733;3;6733;VENEZIA/TESSERA;161050;45.5;12.333;6
2014;aeronautica_6773;aeronautica;6773;3;6773;PISA/S. GIUSTO;161580;43.683;10.383;6
2014;aeronautica_6782;aeronautica;6782;3;6782;FRONTONE;161790;43.517;12.733;574
2014;aeronautica_6794;aeronautica;6794;3;6794;GROSSETO;162060;42.75;11.067;7
2014;aeronautica_6797;aeronautica;6797;3;6797;VITERBO;162160;42.433;12.05;308
2014;aeronautica_6826;aeronautica;6826;3;6826;CAMPOBASSO;162520;41.567;14.65;807
2014;aeronautica_6827;aeronautica;6827;3;6827;GRAZZANISE;162530;41.05;14.067;10
2014;aeronautica_6834;aeronautica;6834;3;6834;AMENDOLA;162610;41.533;15.717;60
2014;aeronautica_6851;aeronautica;6851;3;6851;GIOIA DEL COLLE;163120;40.767;16.933;350
2014;emiliaromagna_12702;emiliaromagna;12702;3;12702;Bologna Urbana;0811842;44.500754;11.328789;44
2014;friuliveneziagiulia_20;friuliveneziagiulia;20;3;20;Fossalon;FOS;45.714768;13.458865;0
2014;friuliveneziagiulia_39;friuliveneziagiulia;39;3;39;Pordenone;POR;45.953618;12.681257;23
2014;marche_104;marche;104;3;104;Urbino;104;43.723278;12.636861;471
2014;marche_110;marche;110;3;110;Jesi;110;43.531944;13.229972;100
2014;marche_152;marche;152;3;152;Fano;152;43.826328;13.053796;7
2014;marche_25;marche;25;3;25;Ascoli Piceno;25;42.852242;13.651516;78
2014;toscana_72;toscana;72;3;72;S. Miniato (Cimitero);TOS01001491;43.684031;10.831479;42
2014;aeronautica_6707;aeronautica;6707;4;6707;TORINO/CASELLE;160590;45.217;7.65;287
2014;aeronautica_6779;aeronautica;6779;4;6779;AREZZO;161720;43.467;11.85;249
2014;marche_108;marche;108;4;108;Pergola;108;43.568672;12.844062;242
2014;marche_605;marche;605;4;605;Fabriano;605;43.330273;12.904034;354
2014;toscana_25;toscana;25;4;25;Vallombrosa;TOS01000901;43.731367;11.556821;1050
2014;trentino_6509;trentino;6509;4;6509;Centa;9;45.970184;11.234123;815
2014;trentino_6564;trentino;6564;4;6564;Sant'Orsola;139;46.107105;11.3022;930
2014;aeronautica_6691;aeronautica;6691;5;6691;PASSO ROLLE;160210;46.3;11.783;2006
2014;aeronautica_6692;aeronautica;6692;5;6692;PAGANELLA;160220;46.15;11.033;2129
2014;aeronautica_6771;aeronautica;6771;6;6771;CAPO MELE;161530;43.95;8.167;221
2014;aeronautica_6841;aeronautica;6841;6;6841;PONZA;162800;40.917;12.95;185
2014;aeronautica_6850;aeronautica;6850;6;6850;CAPO PALINURO;163100;40.017;15.283;185
2014;aeronautica_6856;aeronautica;6856;6;6856;BRINDISI;163200;40.65;17.95;10
2014;aeronautica_6869;aeronautica;6869;6;6869;S. MARIA DI LEUCA;163600;39.817;18.35;112
2014;aeronautica_6874;aeronautica;6874;6;6874;USTICA;164000;38.7;13.183;251
2014;aeronautica_6881;aeronautica;6881;6;6881;MESSINA;164200;38.2;15.55;51
2014;aeronautica_6883;aeronautica;6883;6;6883;TRAPANI/BIRGI;164290;37.917;12.5;14
2014;aeronautica_6897;aeronautica;6897;6;6897;PANTELLERIA;164700;36.817;11.967;170
2014;aeronautica_6901;aeronautica;6901;6;6901;COZZO SPADARO;164800;36.683;15.133;51
2014;sicilia_11812;sicilia;11812;6;11812;Marsala;191120;37.810158;12.456187;5
2014;sicilia_11825;sicilia;11825;6;11825;Sciacca;191400;37.511873;13.126871;110
2014;aeronautica_6919;aeronautica;6919;7;6919;DECIMOMANNU;165460;39.35;8.967;28
2014;aeronautica_6922;aeronautica;6922;7;6922;CAPO BELLAVISTA;165500;39.933;9.717;150
