yy;anom
1961;4.54
1962;1.78
1963;0.55
1964;-1
1965;-3
1966;2.01
1967;1.41
1968;0.35
1969;-0.15
1970;0.07
1971;-1.72
1972;-0.89
1973;-0.19
1974;-1.26
1975;-2.6
1976;-3.77
1977;1.73
1978;-3.46
1979;0.06
1980;-5.7
1981;0.07
1982;2.27
1983;0.4
1984;-4.51
1985;1.05
1986;0.69
1987;4.87
1988;3.4
1989;1.23
1990;4.13
1991;0.95
1992;4.12
1993;4.05
1994;11.21
1995;0.62
1996;1.9
1997;4.8
1998;5.69
1999;6.75
2000;10.5
2001;9.26
2002;7.99
2003;15.65
2004;5.42
2005;3.98
2006;7.81
2007;9.32
2008;9.08
2009;10.88
2010;7.32
2011;9.2
2012;12.37
2013;8.78
2014;11.89
2015;12.64
2016;10.12
2017;9.07
2018;15.54
2019;13.87
2020;10.12
