yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1961,NA,4.439995276334434,2.897316957959374,8.086769012753894,5.185366084081249,2.3055030703826205,-0.540354274917334,2.0603731695795897,4.541204534718945,NA,4.602914501653283,NA,13.311832782239016,6.152328767123285,5.350307038261693,NA,NA,NA,7.522744449692961,3.7059187529522912,NA,3.764917335852619,20.7037222484648,-2.435847897968827,2.2750023618327777,12.963249881908352,9.955630609352852,3.3574208786017987,13.837982994803967,NA,10.412314596126592,11.977808219178085,NA,1.0117713745866794,-0.6098535663674998,2.4222390174775636,NA,0.6633774208786001,5.688752952290974,1.1873500236183272,-0.7410628247520084,2.573845063769486,-0.3775909305621159,1.547453944260747,NA,NA,1.9036891828058575,-0.13990552668870748,-2.3325838450637697,1.0290080302314575,-0.15743504959848487,NA,5.189702409069444,6.062224846480868,8.156268304204065,NA,5.761015588096367
1962,NA,NA,2.6516863486065194,7.595507794048181,-0.1807179971657984,2.7684222957014644,3.446419461502124,3.1562635805384947,0.8284034010392052,NA,-2.869924421350971,NA,NA,7.4182711384034,-0.9888521492678315,0.24854038734057582,NA,NA,1.7220831365139357,-4.6360746339159205,NA,-0.6280916391119504,1.1382994803967836,-1.2454841757203567,2.2088710439300883,2.212187057156356,NA,2.837817666509215,5.722725555030701,1.9564005668398714,1.6829806329711854,0.07417099669343408,NA,0.48272083136514077,-1.828559282002832,3.1780255077940485,NA,0.5877987718469537,1.4374539442607457,0.535484175720363,-3.9531554085970706,1.7519272555503047,1.719716580066132,0.9806140765233842,-0.9936372224846473,NA,NA,0.6820122815304686,1.503032593292394,4.789045819555977,15.307846008502603,7.403745866792628,NA,-0.8248795465281056,-0.0062257912139802585,1.8747945205479493,4.986334435521968
1963,NA,2.550529050543222,2.3966084081247043,7.274298535663672,-0.020113367973547014,3.1274208786017983,4.353363249881909,1.096745394426076,2.5761596598960814,NA,4.215573925366083,NA,NA,-1.5944827586206873,0.3526688710439334,-0.9607179971657978,NA,NA,1.1646905999055264,-0.16748700991969656,NA,0.7795606991025039,1.459508738781297,-0.6314076523382148,1.3208219178082192,-3.456211620217289,0.4988521492678313,0.34372224846481103,0.22437883797826963,-2.984553613604157,-4.845125177137461,-5.726490316485592,NA,7.076957959376481,3.9721020311761936,1.6758998582900357,NA,2.2599763816721747,0.5210628247520042,-0.9760888049126137,0.6288001889466202,2.044794520547949,-3.0511856400566852,0.3759848842701956,-0.9369532357109094,NA,-1.0911147850732146,0.7953802550779443,2.561133679735473,1.7658998582900356,-3.4451062824751997,-2.5253991497402,0.456589513462454,-4.566022673594711,-5.34396787907416,9.82,0.5177468115257486
1964,-1.7680723572639927,NA,0.03524024872809761,1.1302035048049746,-5.0750292067081215,-5.200065950631243,-3.365183719615602,-1.345673638590542,2.380785754663652,NA,2.0935123421895625,-3.5755153570755622,4.639466742038817,-0.24343697003956954,-3.5295647258338043,-0.47534200113057956,NA,NA,3.4032692670058413,0.5964820048991921,NA,0.4660693423779918,-3.1968381383078945,-3.1175786696815537,-3.7141925758432253,0.9340870548332401,-0.7931091011871079,NA,-5.49543810062182,4.3736009044658,-1.3823685698134547,-5.502464669304692,1.6668174109666491,8.018903335217638,4.168973054456378,-0.8631091011871082,4.6123629169022085,1.6507009609949126,-1.4303014885999605,-3.6956811758055403,-3.9131204070096093,-6.1189127567363855,-6.292549462973431,-4.222129263237233,3.4311984171848486,NA,-5.770150744299981,-4.329900131901263,-1.477987563595251,-2.0450141322781246,-4.556922931976634,-4.120062182023744,-2.8512153759185983,-0.05938760128132614,-1.542449594874693,5.1205464480874365,2.1746693046919194
1965,NA,NA,NA,-0.4441709966934333,-7.398478979688238,-0.3303023145961266,0.3288001889466212,-2.6632923948984404,-1.22166745394426,-5.374728389230044,NA,-5.087888521492679,-5.11046291922532,-1.2543788379782708,-0.8093528578176645,-6.383486065186585,-3.9705479452054773,-4.887940481813889,-6.903330184222958,-5.278493150684932,-6.937907416154937,-4.1613934813415225,-5.7771469059990554,-1.6044827586206871,0.9996126594237147,NA,1.2924279641001455,NA,-5.434572508266414,NA,-7.452588568729334,-6.057146905999055,-5.866887104393009,-4.25039206424185,0.9111667453944232,-0.4025129900802984,1.5919272555503046,-0.14909305621162083,-4.051445441662732,0.14814359943315658,-5.247439773264054,-2.7355550307038277,-2.8811336797354734,NA,-1.4848984411903645,0.4242749173358522,-3.774156825696741,-2.747368918280584,-0.8776948512045362,-2.9105290505432224,-7.998719886632026,-4.292050070854985,-3.813604156825696,-5.992569674067076,NA,3.6603401039206425,0.7633774208786015
1966,5.084572508266417,0.7460888049126133,2.283240434577232,-4.043604156825697,2.738507321681624,0.7655880963627784,2.454449692961738,4.696178554558337,3.6059187529522916,4.970099196976854,11.083783656117141,-3.4535002361832774,5.952361832782239,-4.2775247992442145,2.2137931034482765,-0.1671421823334871,2.1418752952291005,5.9859376476145485,3.1864194615021226,3.573656117146907,7.667666509211147,6.183434104865372,6.476041568256971,12.916065186584788,2.520632971185643,-0.518091639111951,4.32502125649504,0.4948795465281055,10.899863013698633,NA,3.496868209730751,4.240444024563063,0.17940481813887743,0.6905621162021731,2.999026924893716,3.026868209730752,6.693486065186585,8.230689655172416,-0.7637742087860175,-1.9302692489371758,-3.0934482758620696,-3.897576759565423,-4.883967879074161,-2.127557864903163,-4.23407179971658,-0.09532829475673132,NA,-4.495125177137459,1.2290599905526705,1.5675059045819566,1.467505904581957,-3.2245016532829496,1.297401983939535,-0.05964572508266208,-1.6500614076523341,2.9234482758620715,2.4072130373169554
1967,5.16015115729806,-2.3809777987718466,1.1401133679735445,-0.207987718469532,-2.2496835144071783,2.5889230042512974,3.739286726499765,-0.225880963627775,2.3777657061880006,0.7849315068493166,1.730925838450636,4.038233349078883,NA,2.6190269248937152,0.022012281530468414,-0.09156353330184253,2.349716580066133,-0.3248795465281056,0.6261927255550308,1.4385592820028315,0.6388521492678301,4.841913084553616,5.125073216816251,-1.4155361360415686,3.2008408124704744,5.802172886159655,6.403434104865372,4.132102031176194,2.2461076995748677,2.693292394898444,-0.5276948512045365,6.31885687293339,-0.17014643363249782,0.17095890410958958,2.555002361832779,-0.20411903637222295,4.227732640529053,1.9009777987718444,2.495555030703825,-4.698337269721303,-2.073136513934812,-2.3860037789324533,-0.43427491733585555,2.7661596598960827,-2.656367501180916,-2.230425129900804,-1.3745347189418986,-1.0751913084553593,0.23709022201228436,-1.9469012753897026,1.2029806329711867,-0.4186443079829978,4.2355219650448745,5.16472838923004,4.2167312234293846,1.459111950873874,5.373675011809167
1968,1.1997060486150382,-1.3091445260976062,1.0998718673450139,0.6873921236103229,-0.3360052760504999,-2.3170812134916146,1.5151629922743552,-1.4210457885811199,-5.627505181835313,2.2254946297343157,4.637322404371581,0.8337554173732808,2.9907009609949124,-0.30938760128132614,0.08829847371396049,3.302687017147168,-0.9988976823063851,-0.6334407386470691,-0.39360278876955057,1.3973110985490838,-0.11608253250424205,-1.003687582438289,-2.3583229696627095,-2.674767288486903,1.0342528735632204,-0.8088939136988884,-1.2830280761258752,1.8887996985114004,-5.043205200678349,1.1891275673638582,0.12507442999811502,0.593257961183344,-3.1946862634256634,-1.5910457885811198,2.3129338609383847,-0.08112304503485923,0.7683832673827027,4.11913887318636,2.0368174109666484,0.5251592236668561,0.9012756736385885,-0.5225306199359334,1.4048313548143962,1.8830148859996232,-1.656421707179196,-0.3671584699453536,-0.7673242886753329,3.8573996608253243,1.8854946297343158,-0.7542660636894674,5.411043904277369,2.1169832296966256,4.092443941963447,-2.1415432447710554,-1.419969851140003,2.2940908234407402,0.6012756736385896
1969,1.664638639584318,1.8986632026452526,-0.9760888049126137,1.152427964100145,-1.7678696268304206,-1.3128247520075593,0.37603684459140574,-5.09125649504015,NA,3.090080302314597,2.1560557392536612,-0.9121681624940923,3.5243977326405282,-3.8240529050543213,NA,-0.46000944733112625,2.368611242324045,-0.02256495040150952,-0.6680916391119514,-1.8302172886159624,-1.316745394426075,-1.6295087387812934,-3.7743127066603677,-2.190217288615962,0.13990552668871103,-2.0863486065186567,-2.2030845536136034,-0.8182994803967834,-4.669338686820972,-2.7389230042512995,-1.576348606518657,2.7005290505432225,-2.002928672649979,-0.27306565895134405,-0.6004062352385446,-0.22301369863013498,1.308507321681624,4.914676428908834,-1.0755361360415687,0.02532829475673104,4.029839395370811,-2.055347189418989,-1.27508738781294,-0.2853282947567308,3.6544496929617374,5.591965044874819,-0.15582900330656635,2.203032593292395,1.0590080302314568,-1.5501133679735464,0.9856920170052028,-0.1068823807274466,1.8075578649031652,-3.300080302314596,-2.5097685403873395,2.281029759093057,0.36658951346245416
1970,2.4298724610297597,0.8405621162021735,-0.5037222484648112,4.789650448748231,-0.9553991497401997,-0.44367028814360054,0.4988521492678313,-0.31090694378838,0.885087387812943,-1.8036372224846478,0.0776428908833271,2.366055739253662,-1.5582664147378358,-1.7361927255550285,3.073500236183282,-1.9432404345772305,1.1310108644307988,-1.789215871516296,-3.9746575342465746,-1.2255880963627792,-1.930821917808224,0.9496126594237158,-1.4786112423240425,2.344501653282949,-0.8898535663675009,-1.0471421823334879,-0.0963297118563986,NA,-6.738304204062352,-3.211289560699104,NA,-4.101549362305149,-1.454983467170523,-0.30140765233821476,1.5157959376476189,-0.4025129900802984,-1.1383514407179955,6.360118091639112,-1.7179546528105796,-0.2580916391119512,0.997246102975911,2.12037316957959,-0.39648559282002793,1.547453944260747,5.336074633915921,0.08417099669343386,-1.3272980632971176,-0.12101086443079545,-1.75629664619745,-0.8793528578176648,7.872796410014169,0.7055880963627779,1.5902692489371741,-2.657661785545584,-1.8295606991025029,5.493122342938118,0.8861927255550324
