yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919;aeronautica_6922
1961;NA;14.529995276334434;13.037316957959376;18.516769012753898;13.925366084081247;12.555503070382617;9.749645725082665;12.130373169579594;14.851204534718942;NA;14.992914501653281;NA;22.361832782239016;16.71232876712329;15.55030703826169;NA;NA;NA;18.072744449692962;13.915918752952292;NA;14.27491733585262;30.363722248464807;8.134152102031177;12.73500236183278;23.36324988190836;20.245630609352858;13.377420878601795;24.307982994803968;NA;20.302314596126596;21.91780821917808;NA;11.25177137458668;9.570146433632498;12.782239017477561;NA;11.053377420878602;15.918752952290976;11.327350023618328;9.248937175247992;12.583845063769486;9.702409069437884;11.667453944260746;NA;NA;12.073689182805857;9.40009447331129;7.9074161549362305;11.299008030231459;10.212564950401513;NA;15.38970240906944;16.37222484648087;18.69626830420406;NA;16.051015588096362
1962;NA;NA;12.791686348606518;18.02550779404818;8.5592820028342;13.018422295701464;13.736419461502125;13.226263580538497;11.138403401039207;NA;7.520075578649031;NA;NA;17.9782711384034;9.211147850732168;9.768540387340577;NA;NA;12.272083136513935;5.573925366084081;NA;9.88190836088805;10.798299480396787;9.324515824279642;12.668871043930091;12.612187057156355;NA;12.857817666509211;16.192725555030705;11.856400566839868;11.572980632971186;10.014170996693435;NA;10.72272083136514;8.351440717997166;13.53802550779405;NA;10.977798771846953;11.667453944260746;10.67548417572036;6.036844591402929;11.761927255550306;11.799716580066132;11.100614076523382;8.096362777515353;NA;NA;10.222012281530468;11.743032593292394;15.059045819555974;25.6778460085026;17.71374586679263;NA;9.485120453471895;10.533774208786017;12.054794520547945;15.276334435521965
1963;NA;12.640529050543222;12.536608408124705;17.704298535663675;8.719886632026451;13.377420878601795;14.643363249881908;11.166745394426075;12.88615965989608;NA;14.605573925366084;NA;NA;8.96551724137931;10.55266887104393;8.5592820028342;NA;NA;11.714690599905527;10.042512990080303;NA;11.289560699102504;11.119508738781295;9.938592347661785;11.78082191780822;6.943788379782712;10.788852149267832;10.363722248464809;10.694378837978272;6.9154463863958435;5.044874822862541;4.213509683514407;NA;17.316957959376474;14.152102031176192;12.035899858290033;NA;12.649976381672179;10.751062824752006;9.163911195087387;10.618800188946622;12.054794520547945;7.028814359943316;10.495984884270193;8.153046764289089;NA;9.078885214926784;10.33538025507794;12.801133679735473;12.035899858290033;6.9248937175247995;7.784600850259801;10.656589513462448;5.7439773264052905;5.196032120925839;20;10.807746811525744
1964;8.11192764273601;NA;10.175240248728095;11.560203504804974;3.6649707932918787;5.049934049368758;6.924816280384398;8.72432636140946;12.690785754663652;NA;12.483512342189561;6.604484642924439;13.689466742038817;10.31656302996043;6.670435274166196;9.044657998869418;NA;NA;13.95326926700584;10.80648200489919;NA;10.97606934237799;6.463161861692105;7.452421330318447;6.745807424156775;11.334087054833239;9.49689089881289;NA;4.9745618993781795;14.2736009044658;8.507631430186546;4.437535330695308;12.266817410966647;18.25890333521764;14.34897305445638;9.49689089881289;14.782362916902207;12.040700960994913;8.799698511400038;6.44431882419446;6.07687959299039;3.8910872432636143;3.7874505370265688;5.8978707367627665;12.52119841718485;NA;4.399849255700019;5.210099868098737;8.762012436404747;8.224985867721877;5.813077068023365;6.189937817976258;7.348784624081402;10.250612398718674;8.997550405125306;15.300546448087433;12.464669304691917
1965;NA;NA;NA;9.985829003306566;1.3415210203117618;9.919697685403873;10.618800188946622;7.406707605101559;9.08833254605574;4.525271610769957;NA;5.092111478507322;3.9395370807746812;9.30562116202173;9.390647142182333;3.1365139348134154;5.47945205479452;4.922059518186113;3.6466698157770425;4.931506849315069;3.2120925838450636;6.348606518658478;3.8828530940009447;8.96551724137931;11.459612659423712;NA;11.582427964100143;NA;5.035427491733585;NA;2.4374114312706663;3.8828530940009447;4.7331128956069914;5.989607935758149;11.091166745394426;9.957487009919697;11.761927255550306;10.24090694378838;6.17855455833727;10.288143599433159;4.7425602267359475;7.274444969296173;7.198866320264526;NA;7.605101558809636;10.354274917335852;6.395843174303259;6.792631081719415;9.362305148795464;7.359470949456778;2.3712801133679737;6.017949929145017;6.386395843174303;4.317430325932924;NA;13.840340103920642;11.053377420878602
1966;14.964572508266416;10.836088804912611;12.423240434577231;6.386395843174303;11.478507321681624;11.015588096362777;12.744449692961737;14.766178554558337;13.915918752952292;14.870099196976854;21.473783656117146;6.726499763816722;15.002361832782238;6.282475200755787;12.413793103448276;9.352857817666509;11.591875295229098;15.795937647614549;13.736419461502125;13.783656117146906;17.817666509211147;16.693434104865375;16.136041568256967;23.48606518658479;12.98063297118564;9.88190836088805;14.615021256495039;10.514879546528105;21.36986301369863;NA;13.386868209730752;14.18044402456306;10.779404818138875;10.930562116202173;13.179026924893716;13.386868209730752;16.863486065186585;18.620689655172416;9.466225791213983;8.209730751062825;6.896551724137931;6.112423240434577;5.196032120925839;7.992442135096835;4.85592820028342;9.834671705243268;NA;5.044874822862541;11.469059990552669;11.837505904581956;11.837505904581956;7.085498346717052;11.497401983939536;10.250354274917337;8.889938592347661;13.10344827586207;12.697213037316956
1967;15.040151157298062;7.709022201228153;11.280113367973547;10.222012281530468;6.49031648559282;12.8389230042513;14.029286726499764;9.844119036372225;12.687765706188001;10.684931506849315;12.120925838450637;14.218233349078885;NA;13.179026924893716;10.222012281530468;9.428436466698157;11.799716580066132;9.485120453471895;11.176192725555032;11.648559282002834;10.788852149267832;15.351913084553615;14.785073216816249;9.154463863958432;13.660840812470475;16.20217288615966;16.693434104865375;14.152102031176192;12.716107699574868;12.593292394898443;9.362305148795464;16.258856872933396;10.429853566367502;10.41095890410959;12.73500236183278;10.155880963627775;14.397732640529052;12.290977798771847;12.725555030703825;5.441662730278696;7.916863486065187;7.623996221067548;9.645725082664146;12.88615965989608;6.433632498819083;7.699574870099197;8.795465281058101;8.464808691544638;10.477090222012283;8.323098724610297;11.572980632971186;9.891355692017004;14.435521965044876;15.474728389230041;14.756731223429382;11.639111950873877;15.663675011809165
1968;11.079706048615037;8.780855473902394;11.239871867345016;11.117392123610326;8.4039947239495;7.9329187865083846;11.805162992274354;8.648954211418882;4.682494818164688;12.125494629734314;15.027322404371585;11.01375541737328;12.040700960994913;10.250612398718674;10.288298473713962;12.822687017147164;8.451102317693612;9.17655926135293;10.15639721123045;11.607311098549086;10.03391746749576;9.50631241756171;7.301677030337291;7.8952327115130965;11.494252873563218;9.591106086301112;9.006971923874127;11.9087996985114;5.426794799321651;11.089127567363859;10.015074429998116;10.533257961183343;7.405313736574335;8.648954211418882;12.492933860938384;10.27887695496514;10.938383267382703;14.509138873186359;12.266817410966647;10.665159223666855;10.89127567363859;9.487469380064066;11.484831354814396;12.003014885999622;7.433578292820803;9.562841530054644;9.402675711324665;13.397399660825323;12.125494629734314;9.515733936310532;15.78104390427737;12.426983229696626;14.292443941963445;8.168456755228942;9.120030148859996;12.474090823440738;10.89127567363859
1969;11.544638639584317;11.988663202645252;9.163911195087387;11.582427964100143;6.97213037316958;8.937175247992442;10.666036844591403;4.978743504959849;NA;12.990080302314597;12.546055739253662;9.267831837505906;12.57439773264053;6.735947094945678;NA;9.059990552668872;11.818611242324044;9.78743504959849;9.88190836088805;8.379782711384035;8.833254605573925;8.880491261218705;5.885687293339632;8.379782711384035;10.59990552668871;8.313651393481342;8.086915446386396;9.201700519603213;5.8006613131790274;7.161076995748701;8.313651393481342;12.640529050543222;8.597071327350024;9.966934341048654;9.579593764761455;10.136986301369863;11.478507321681624;15.304676428908834;9.154463863958432;10.165328294756732;14.01983939537081;7.954652810581011;8.804912612187058;9.834671705243268;12.744449692961737;15.521965044874822;10.014170996693435;11.743032593292394;11.299008030231459;8.719886632026451;11.355692017005197;10.203117619272556;12.007557864903164;7.009919697685405;8.03023145961266;12.461029759093057;10.656589513462448
1970;12.30987246102976;10.930562116202173;9.636277751535191;15.21965044874823;7.784600850259801;9.8063297118564;10.788852149267832;9.75909305621162;11.195087387812942;8.096362777515353;10.467642890883326;12.546055739253662;7.491733585262163;8.82380727444497;13.273500236183278;7.576759565422768;10.581010864430798;8.020784128483703;6.575342465753424;8.984411903637222;8.21917808219178;11.459612659423712;8.181388757675958;12.914501653282947;9.570146433632498;9.352857817666509;10.1936702881436;NA;3.731695795937648;6.688710439300897;NA;5.838450637694851;9.145016532829475;9.938592347661785;11.695795937647615;9.957487009919697;9.031648559282003;16.750118091639113;8.512045347189419;9.88190836088805;10.98724610297591;12.130373169579594;9.683514407179972;11.667453944260746;14.42607463391592;10.014170996693435;8.842701936702882;9.418989135569202;8.48370335380255;9.390647142182333;18.24279641001417;11.015588096362777;11.790269248937175;7.652338214454417;8.710439300897496;15.67312234293812;11.176192725555032
