yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2014;aeronautica_6803;aeronautica;6803;1;6803;VIGNA DI VALLE;162240;42.083;12.217;266
2014;sicilia_11882;sicilia;11882;1;11882;Caltagirone;193050;37.239686;14.517966;428
2014;aeronautica_6771;aeronautica;6771;6;6771;CAPO MELE;161530;43.95;8.167;221
2014;aeronautica_6841;aeronautica;6841;6;6841;PONZA;162800;40.917;12.95;185
2014;aeronautica_6850;aeronautica;6850;6;6850;CAPO PALINURO;163100;40.017;15.283;185
2014;aeronautica_6856;aeronautica;6856;6;6856;BRINDISI;163200;40.65;17.95;10
2014;aeronautica_6869;aeronautica;6869;6;6869;S. MARIA DI LEUCA;163600;39.817;18.35;112
2014;aeronautica_6874;aeronautica;6874;6;6874;USTICA;164000;38.7;13.183;251
2014;aeronautica_6881;aeronautica;6881;6;6881;MESSINA;164200;38.2;15.55;51
2014;aeronautica_6883;aeronautica;6883;6;6883;TRAPANI/BIRGI;164290;37.917;12.5;14
2014;aeronautica_6897;aeronautica;6897;6;6897;PANTELLERIA;164700;36.817;11.967;170
2014;aeronautica_6901;aeronautica;6901;6;6901;COZZO SPADARO;164800;36.683;15.133;51
2014;sicilia_11812;sicilia;11812;6;11812;Marsala;191120;37.810158;12.456187;5
2014;sicilia_11825;sicilia;11825;6;11825;Sciacca;191400;37.511873;13.126871;110
2014;aeronautica_6922;aeronautica;6922;7;6922;CAPO BELLAVISTA;165500;39.933;9.717;150
