yy;anom
1961;-1.44
1962;-2.01
1963;-2.5
1964;-0.28
1965;-1.18
1966;-0.93
1967;-0.53
1968;-1.93
1969;0.23
1970;0.63
1971;-1.03
1972;2.13
1973;-0.22
1974;2.3
1975;0.65
1976;1.03
1977;1.81
1978;0.94
1979;-1.71
1980;0.6
1981;-0.57
1982;1.29
1983;0.05
1984;1.03
1985;-1.05
1986;-0.73
1987;-1.55
1988;-0.34
1989;2.45
1990;2.18
1991;0.04
1992;0.61
1993;-1.19
1994;1.37
1995;0.28
1996;-0.37
1997;1.84
1998;0.8
1999;-2.84
2000;0.19
2001;-0.56
2002;0.02
2003;-0.64
2004;-0.16
2005;-0.82
2006;-0.57
2007;0.71
2008;-0.99
2009;-1.11
2010;-0.45
2011;0.79
2012;-0.72
2013;0.6
2014;-1.28
2015;-0.52
2016;0.44
2017;-1.5
2018;-0.14
2019;-0.65
2020;1.27
