yy;anom.originale;anom
1961;-0.33;-0.33
1962;-0.86;-0.86
1963;-3.6;-3.6
1964;0.1;0.1
1965;0.15;0.15
1966;-1.28;-1.28
1967;-0.86;-0.86
1968;-2.91;-2.91
1969;-0.24;-0.24
1970;0.27;0.27
1971;-1.51;-1.51
1972;3.26;3.26
1973;-0.3;-0.3
1974;3.47;3.47
1975;1.6;1.6
1976;0.33;0.33
1977;1.92;1.92
1978;1.1;1.1
1979;-2.56;-2.56
1980;-0.03;-0.03
1981;-1.14;-1.14
1982;1.36;1.36
1983;0.77;0.77
1984;1.31;1.31
1985;-4.28;-4.28
1986;-0.54;-0.54
1987;-1.76;-1.76
1988;0.99;0.99
1989;2.54;2.54
1990;2.06;2.06
1991;-1.89;-1.89
1992;1.39;1.39
1993;-0.63;-0.63
1994;1.96;1.96
1995;1.2;1.2
1996;-1.19;-1.19
1997;3.51;3.51
1998;1.45;1.45
1999;-0.25;-0.25
2000;0.14;0.14
2001;0.33;0.33
2002;0.52;0.52
2003;0.46;0.46
2004;0.92;0.92
2005;-1.18;-1.18
2006;0.17;0.17
2007;2.05;2.05
2008;0.92;0.92
2009;-0.83;-0.83
2010;-0.1;-0.1
2011;1.83;1.83
2012;-1.13;-1.13
2013;2.14;2.14
2014;1.76;1.76
2015;2.62;2.62
2016;1.87;1.87
2017;-0.28;-0.28
2018;-0.52;-0.52
2019;1.27;1.27
2020;3.13;3.13
