yy,aeronautica_6803,aeronautica_6771,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6897,aeronautica_6901,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6922
1961,-1.1800000000000002,NA,-1.62,-2.7,-2.5,-1.74,-1.27,-0.6900000000000004,NA,0.16000000000000014,1.12,-2.13,NA,-1.83,-2.89
1962,-0.8799999999999999,NA,-4.32,-1.9,-0.10000000000000009,0.06000000000000005,-3.9699999999999998,-3.5900000000000003,-1.92,NA,-2.2800000000000002,1.5699999999999998,-3.06,NA,-3.69
1963,-3.8800000000000003,NA,-3.92,-3.6,-2.4000000000000004,-1.8399999999999999,-2.77,-3.0900000000000003,-1.92,-1.7399999999999998,-2.7800000000000002,-2.23,-2.06,-1.53,-1.19
1964,-0.3799999999999999,-0.13,-1.22,-0.20000000000000018,-0.8,-0.94,1.2300000000000004,-0.0900000000000003,-0.92,0.2599999999999998,0.41999999999999993,-2.23,-0.16000000000000014,0.7699999999999999,0.2100000000000002
1965,NA,-0.22999999999999998,-2.12,-0.3999999999999999,-0.8,-2.84,-0.3700000000000001,NA,-1.32,-1.94,-1.38,-0.73,-1.56,0.37,-1.99
1966,-0.17999999999999994,-0.63,0.8799999999999999,-2.1,-1.2,-1.8399999999999999,-1.67,-2.29,-1.72,NA,-1.98,0.27000000000000013,-1.06,-0.53,1.01
1967,-0.5800000000000001,-0.83,-0.41999999999999993,-0.8999999999999999,-2,-0.5399999999999999,1.0300000000000002,-1.0900000000000003,-0.8200000000000001,-0.13999999999999968,-0.3799999999999999,-0.22999999999999998,0.040000000000000036,-0.030000000000000027,-0.99
1968,-1.88,-1.23,-1.42,-3.9,-1.5999999999999999,-5.640000000000001,-0.8700000000000001,-1.6900000000000004,-0.52,-1.7399999999999998,-2.48,-0.73,-1.86,-1.4300000000000002,-1.99
1969,0.020000000000000018,0.47,-0.6200000000000001,0.5999999999999996,-1,1.1600000000000001,0.9299999999999997,-0.29000000000000004,0.6800000000000002,0.45999999999999996,0.21999999999999975,1.0699999999999998,-0.45999999999999996,-0.53,0.8099999999999998
1970,-0.08000000000000007,-1.03,-0.21999999999999997,1,1.7,0.3600000000000001,-0.77,-0.29000000000000004,0.8799999999999999,0.6600000000000001,1.5199999999999996,2.07,1.2399999999999998,1.87,0.6100000000000001
