yy;anom
1961;-1.06
1962;-1.75
1963;-2.56
1964;-0.19
1965;-1.05
1966;-0.81
1967;-0.72
1968;-1.85
1969;0.24
1970;0.58
1971;-1.34
1972;2.13
1973;-0.39
1974;2.28
1975;0.56
1976;0.85
1977;1.65
1978;0.84
1979;-1.89
1980;0.64
1981;-0.73
1982;1
1983;-0.08
1984;1.29
1985;-0.96
1986;-0.57
1987;-1.46
1988;0.63
1989;2.79
1990;2.36
1991;0.25
1992;0.91
1993;-0.99
1994;1.58
1995;0.52
1996;-0.4
1997;1.9
1998;1.06
1999;-2.31
2000;0.21
2001;-0.09
2002;0.37
2003;-0.14
2004;0.02
2005;-1.09
2006;-0.36
2007;0.26
2008;-1.33
2009;-1.25
2010;-0.4
2011;0.98
2012;-0.45
2013;0.77
2014;-0.89
2015;-0.08
2016;0.45
2017;-0.92
2018;0.62
2019;-0.13
2020;1.37
