yy;aeronautica_6803;aeronautica_6771;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6897;aeronautica_6901;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6922
1961;-2.2;NA;0.4;0.8;-3.2;-0.3;2.9;3.3;NA;5;4.7;-1.3;NA;-1.2;-0.9
1962;-1.9;NA;-2.3;1.6;-0.8;1.5;0.2;0.4;-0.4;NA;1.3;2.4;-0.5;NA;-1.7
1963;-4.9;NA;-1.9;-0.1;-3.1;-0.4;1.4;0.9;-0.4;3.1;0.8;-1.4;0.5;-0.9;0.8
1964;-1.4;0.6;0.8;3.3;-1.5;0.5;5.4;3.9;0.6;5.1;4;-1.4;2.4;1.4;2.2
1965;NA;0.5;-0.1;3.1;-1.5;-1.4;3.8;NA;0.2;2.9;2.2;0.1;1;1;0
1966;-1.2;0.1;2.9;1.4;-1.9;-0.4;2.5;1.7;-0.2;NA;1.6;1.1;1.5;0.1;3
1967;-1.6;-0.1;1.6;2.6;-2.7;0.9;5.2;2.9;0.7;4.7;3.2;0.6;2.6;0.6;1
1968;-2.9;-0.5;0.6;-0.4;-2.3;-4.2;3.3;2.3;1;3.1;1.1;0.1;0.7;-0.8;0
1969;-1;1.2;1.4;4.1;-1.7;2.6;5.1;3.7;2.2;5.3;3.8;1.9;2.1;0.1;2.8
1970;-1.1;-0.3;1.8;4.5;1;1.8;3.4;3.7;2.4;5.5;5.1;2.9;3.8;2.5;2.6
1971;-2.7;-3.5;-2.3;3;-1.1;1.8;3;4.3;1.4;4.4;3.6;0.9;1.5;-0.3;0.6
1972;1.1;2.4;4.5;6.6;2;NA;NA;7.4;3.5;6.2;NA;2.2;3.6;3.5;3.4
1973;-0.7;-0.5;0.4;3.4;1.2;1.6;3.8;3.3;1;5;4;-0.9;2.2;NA;2.6
1974;1.9;3.4;5.6;6.8;2.3;4.3;6.4;6;3.6;6.1;6.4;1.2;3.8;2.6;4.2
1975;1.1;2.8;2;3.9;0.4;1.8;2.3;4.3;1.4;5.5;4.3;1.1;2.8;2.6;3.5
1976;NA;1.6;3.6;3.9;-0.6;2.9;5.1;5.8;3.9;6.1;4.2;1.7;3.4;1;2.9
1977;1.5;3.7;6.1;4.3;1.4;4.8;7.3;6.2;1.6;5.3;4.2;0.4;4.3;2.3;NA
1978;0.5;0.7;3;4.8;0;4.8;5.3;3.9;2.8;6.2;4.3;1.7;3.3;-1.3;4.2
1979;-4.4;-1.9;1;2.1;-6.1;-1.7;2.4;2.5;2.2;4;1.9;1.1;0.4;-0.9;1.9
1980;-2.1;2;2.8;3.4;0.4;1;5.8;3.7;2.2;7;2.8;0.6;4.2;NA;4
1981;-2.7;NA;2.8;3.5;1.2;1.8;NA;3.7;1.2;2.6;3.2;NA;NA;-1.9;0.1
1982;0;1.5;5.9;4.4;-0.2;3.1;4.9;5.4;2.6;5.5;5.5;3;3.3;1.1;3.4
1983;-0.6;1.5;2.6;3.4;-0.4;0;3.3;4.3;1.2;3.3;3.2;2.1;3;1.6;2.4
1984;0;0.9;3.8;NA;1;3.1;5.6;5.8;2.5;4.9;4.7;0.7;3.8;1.6;2.6
1985;NA;-3.3;-0.2;2.3;-3;0.6;3.5;3.7;1.4;2;3.6;1.7;2.4;0.7;NA
1986;-1.8;-1.9;1.4;4.3;0;2.9;3.5;3.4;0.2;2.7;1.8;0.9;1.5;-0.2;0.5
1987;-2.3;-1.5;0;2.7;-1.6;-0.9;2;2.2;0.2;4.7;1.2;-0.1;1;-1.6;0.9
1988;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6;3.1;-0.7;NA
