yy;anom.originale;anom
1961;0.15;0.15
1962;0.26;0.26
1963;0.03;0.03
1964;-0.68;-0.68
1965;0.33;0.33
1966;-0.69;-0.69
1967;0.51;0.51
1968;0.46;0.46
1969;0.17;0.17
1970;0.15;0.15
1971;0.69;0.69
1972;-0.46;-0.46
1973;0.06;0.06
1974;-0.21;-0.21
1975;-0.36;-0.36
1976;-1.62;-1.62
1977;-1.13;-1.13
1978;-0.84;-0.84
1979;-0.31;-0.31
1980;-0.31;-0.31
1981;-0.39;-0.39
1982;0.82;0.82
1983;1.8;1.8
1984;-0.58;-0.58
1985;0.21;0.21
1986;0.26;0.26
1987;1.53;1.53
1988;1.16;1.16
1989;-0.4;-0.4
1990;-0.26;-0.26
1991;0.06;0.06
1992;0.4;0.4
1993;1.02;1.02
1994;1.68;1.68
1995;0.35;0.35
1996;-0.45;-0.45
1997;-0.43;-0.43
1998;1.87;1.87
1999;1.96;1.96
2000;1.57;1.57
2001;0.81;0.81
2002;0.77;0.77
2003;2.54;2.54
2004;0.65;0.65
2005;1.02;1.02
2006;1.22;1.22
2007;1.88;1.88
2008;0.86;0.86
2009;1.25;1.25
2010;0.98;0.98
2011;0.84;0.84
2012;1.69;1.69
2013;0.99;0.99
2014;-0.15;-0.15
2015;2.08;2.08
2016;0.07;0.07
2017;2.39;2.39
2018;0.51;0.51
2019;1.84;1.84
2020;1.09;1.09
