yy;anom
1961;0.22
1962;0.15
1963;-0.11
1964;-0.59
1965;0.31
1966;-0.78
1967;0.44
1968;0.35
1969;0.28
1970;0.14
1971;0.56
1972;-0.5
1973;-0.16
1974;-0.17
1975;-0.46
1976;-1.42
1977;-1.03
1978;-0.98
1979;-0.68
1980;-0.08
1981;-0.12
1982;0.89
1983;1.94
1984;-0.46
1985;0.31
1986;0.32
1987;1.18
1988;1.35
1989;-0.2
1990;-0.19
1991;0.21
1992;0.65
1993;0.88
1994;2.03
1995;0.68
1996;-0.46
1997;-0.35
1998;1.61
1999;1.71
2000;1.34
2001;0.8
2002;1
2003;2.66
2004;0.67
2005;1.09
2006;1.33
2007;1.66
2008;0.88
2009;1.29
2010;1.16
2011;0.99
2012;1.69
2013;1.34
2014;0.05
2015;2.08
2016;0.2
2017;2.34
2018;0.84
2019;2.11
2020;1.16
