yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919;aeronautica_6922
1961;NA;22.9;21.3;23.3;21;21.5;25.2;24.1;24.3;NA;16.8;NA;19.6;17.6;20;NA;NA;NA;21;21;NA;23.5;22.6;25.4;20.8;22.2;25.2;24.5;26.5;NA;16.7;15.4;NA;21.5;21.1;21.6;NA;24.8;25.5;24.5;23.6;24.6;24.1;25;NA;NA;24.6;25.7;23.7;23.7;22.4;NA;22.5;12.7;11.5;NA;25.4
1962;NA;NA;21.9;23.3;22;24;25.7;27.5;24.9;NA;16.6;NA;NA;17.6;17.2;14.5;NA;NA;21.5;20.6;NA;24.2;20.6;25.5;23.1;22.8;NA;24;25.5;17.6;18.5;15.4;NA;21.6;19.7;21.4;NA;24;24.4;24.5;24.6;25.2;23.9;26.4;23.5;NA;NA;26.1;21.7;24.4;23.4;26.8;NA;11.6;11.9;24;25.5
1963;NA;21;21.9;23.9;21;23;25.5;25.7;24.3;NA;17.2;NA;NA;14.6;18;14.5;NA;NA;21.5;21.7;NA;24.1;20.6;23.2;21.4;21.3;23.2;23.2;24.3;17.6;16.7;14.5;NA;24.8;22;21.6;NA;26.3;25.7;25.8;24.8;24.1;25.1;26.2;25;NA;24.8;25.9;22.7;22.2;23.5;24.1;25.4;11.4;11.1;25.5;24.6
1964;18.1;NA;21.3;22.2;21;19.9;21.8;25.5;23.2;NA;17.6;18.2;16.6;14.6;18;15.4;NA;NA;23.9;21.2;NA;23.8;19.7;24.5;19.3;23.2;21.9;NA;24.7;17.6;16.7;13.5;25.6;21.5;20.2;21.7;22.7;24;25.5;24.5;24.3;23.5;23.9;24.9;24.8;NA;24.1;24.3;23.7;22;23.3;23.7;21.6;11.4;11.7;25.1;25.2
1965;NA;NA;NA;22.2;21;24.2;27.2;25.7;22.1;12.5;NA;21.6;15.2;17.4;21;13.6;21.9;21.7;21.6;21.5;21.2;24.4;19.7;24;24.4;NA;24.6;NA;23.6;NA;15.8;17.3;23.6;20.3;20.8;21.6;22.2;25.8;24.4;25.8;24.1;24.3;25.6;NA;25.2;22.3;27;25.1;24.7;28.3;21;25.8;24.2;12.8;NA;26.8;33
1966;18.3;20;20.6;21;22;19.5;23.1;24.6;22.1;14;16.4;18.6;16.1;15.4;20;14.5;20.8;21.7;20.9;21.9;22.9;23.7;19.7;23.3;21.6;22.4;22;21.2;23.6;NA;16.7;14.5;25.5;19.8;19.5;20.2;21.4;25.4;24.6;23.8;24.5;22.7;23.9;24.6;22.5;21.3;NA;24.1;21.1;22;23.4;21.3;23.4;13;14.2;24.2;26.7
1967;19.9;21.8;22.1;23.7;21;21.7;27.2;24.7;22.2;14.3;16.5;19.5;NA;18.2;19.1;14.5;23.6;23.4;21.8;22.3;22.8;24.5;22.4;25.9;23.5;22.2;25;25;26.3;18.8;16.7;16.8;24;21.1;20.9;22.2;22.2;25.7;25.2;24.8;24.8;26.5;25.3;26.1;24.1;20.7;24.1;26.1;22.7;23.4;24.4;24.1;24.4;12;12.1;24.5;25.4
1968;19.3;21.9;22.1;21.2;23;22.7;27.2;26.8;22.1;15;17.2;19.9;18.9;20.1;18;16.3;23;24.5;22.3;22.9;22.8;24.6;21.5;24;24;22.6;26.6;24.6;25.9;15.9;15.8;15;23.8;19.9;19.2;21.8;22.2;27.4;26.1;24.9;25.2;24.3;24.7;25.6;24.1;22.3;24.6;25.1;22.7;23.1;25.7;24;24.2;12.2;12.3;24.7;27.5
1969;19.3;23.7;21.9;22.5;23;23.1;23.9;23.2;NA;15.2;16.7;18.4;17.9;15.6;NA;15.4;23;23.4;22.2;22.2;23.9;23.7;20.5;24;23;22.6;22;22.6;23.3;20.8;15.8;17.7;24.3;22.8;21.6;23.2;21.6;29.3;25.4;24.8;24.3;23.9;25.1;27.3;24.9;24.4;26.5;25.2;24.1;22;26.2;21.2;25.4;11.8;12.1;25.7;26.5
1970;20.3;21.2;21;23.1;22;21.7;23.4;25.3;28.7;13.8;17.1;20.1;17.9;16.2;17.8;14.5;20.8;22.8;21.2;21.6;21.2;25.1;19.5;27.2;21.9;21.9;23.8;NA;22.6;18.8;NA;17.7;22.9;20.3;21.1;22;22.2;29.5;24.2;25.5;24.1;25.6;25.1;26.8;25.7;21.3;25.4;24.7;24.1;25.4;23.6;22.5;25;12;12.3;25.5;25
