yy;anom
1961;2.34
1962;7.62
1963;3
1964;0.4
1965;-2.78
1966;-3.36
1967;1.76
1968;-5.48
1969;-4.78
1970;0.17
1971;2.29
1972;-6.27
1973;2.59
1974;-1.79
1975;-1.98
1976;-8.29
1977;-5.42
1978;-8.34
1979;-1.67
1980;-5.59
1981;-2.91
1982;11.22
1983;4.45
1984;-6.67
1985;4.62
1986;3.68
1987;12.14
1988;10.03
1989;0.39
1990;5.54
1991;9.57
1992;8.81
1993;9.02
1994;21.49
1995;6.01
1996;-1.95
1997;5.1
1998;14.45
1999;13.57
2000;9.6
2001;13.76
2002;8.74
2003;36.55
2004;10.33
2005;9.54
2006;15.88
2007;7.71
2008;16.36
2009;20.48
2010;13.52
2011;14.01
2012;26.79
2013;13.08
2014;6.42
2015;25.67
2016;11.37
2017;21.52
2018;19.03
2019;28.39
2020;18.41
