yy;anom.originale;anom
1961;-0.09;-0.09
1962;7.23;7.23
1963;2.47;2.47
1964;-1.85;-1.85
1965;-2.42;-2.42
1966;-3.33;-3.33
1967;1.84;1.84
1968;-4.69;-4.69
1969;-4.67;-4.67
1970;0.17;0.17
1971;2.58;2.58
1972;-7.53;-7.53
1973;3.58;3.58
1974;-1.73;-1.73
1975;-2.22;-2.22
1976;-9;-9
1977;-5.29;-5.29
1978;-9.12;-9.12
1979;-0.61;-0.61
1980;-6.34;-6.34
1981;-2.04;-2.04
1982;10.6;10.6
1983;3.4;3.4
1984;-6.22;-6.22
1985;4.8;4.8
1986;3.95;3.95
1987;14.13;14.13
1988;10.43;10.43
1989;1.14;1.14
1990;7.19;7.19
1991;9.03;9.03
1992;7.06;7.06
1993;8.49;8.49
1994;19.25;19.25
1995;3.6;3.6
1996;-2.31;-2.31
1997;4.77;4.77
1998;14.75;14.75
1999;10.85;10.85
2000;7.27;7.27
2001;11.61;11.61
2002;7.22;7.22
2003;33.39;33.39
2004;8.93;8.93
2005;8.38;8.38
2006;12.89;12.89
2007;7.35;7.35
2008;13.42;13.42
2009;14.29;14.29
2010;8.82;8.82
2011;10.57;10.57
2012;21.91;21.91
2013;8.55;8.55
2014;3.48;3.48
2015;20.94;20.94
2016;7.33;7.68
2017;17.1;17.1
2018;13.76;13.76
2019;23.52;23.31
2020;15.43;15.43
