yy;anom
1961;0.65
1962;5.6
1963;1.97
1964;-1.26
1965;-3.44
1966;-2.19
1967;1.76
1968;-5.52
1969;-5.09
1970;-0.23
1971;1.87
1972;-6.51
1973;2.69
1974;-1.51
1975;-2.78
1976;-10.49
1977;-4.79
1978;-10.03
1979;-1.74
1980;-6.6
1981;-3.47
1982;11.38
1983;4.09
1984;-6.43
1985;5.84
1986;4.76
1987;14.53
1988;13.95
1989;3.65
1990;7.87
1991;9.33
1992;10.06
1993;7.21
1994;19.99
1995;5.74
1996;-1.47
1997;4.25
1998;14.82
1999;14.32
2000;13.99
2001;15.34
2002;10.21
2003;37.32
2004;11.64
2005;11.29
2006;15.26
2007;7.27
2008;15.41
2009;18.87
2010;12.99
2011;12.58
2012;23.73
2013;11.35
2014;5.26
2015;24.97
2016;9.26
2017;19.72
2018;18.41
2019;26.24
2020;17.52
