yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6865;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6919;aeronautica_6922
1961;NA;1;5;17;12;3;21;32;25;NA;NA;NA;3;4;NA;22;11;18;4;16;15;5;30;NA;9;3;8;NA;23;96;74;47;65;97;101;NA;NA;69;102;12;17;14;NA;12;NA;102
1962;NA;NA;6;16;22;10;44;62;23;NA;NA;NA;11;1;NA;45;2;39;12;14;NA;19;60;NA;5;0;9;NA;38;75;82;56;77;86;98;24;NA;NA;86;20;32;26;34;NA;22;86
1963;NA;5;6;17;13;5;35;49;17;NA;NA;NA;10;5;NA;40;3;23;5;7;19;11;33;NA;17;3;7;NA;27;76;74;56;66;79;92;36;NA;70;93;28;28;23;10;22;49;70
1964;0;NA;6;11;9;0;7;41;20;0;NA;NA;10;7;NA;36;0;12;0;7;16;NA;22;40;15;3;3;5;21;85;73;45;56;91;96;35;NA;50;92;23;11;21;10;8;37;82
1965;NA;NA;NA;12;2;7;28;37;11;1;5;5;2;3;13;29;0;23;10;NA;25;NA;17;13;1;2;7;3;19;61;78;35;53;76;NA;30;11;65;84;24;13;2;10;24;40;65
1966;0;0;2;4;7;0;21;46;4;0;1;8;3;5;18;25;0;40;1;2;11;8;31;8;0;0;1;3;36;87;81;45;67;104;102;19;4;NA;81;13;13;33;4;20;24;78
1967;0;5;6;11;15;3;26;39;22;0;8;15;8;11;22;38;10;18;11;11;26;17;37;37;4;2;8;8;33;80;69;48;65;83;89;34;3;51;83;23;18;40;11;27;30;75
1968;0;4;5;6;9;1;17;25;8;0;4;10;4;8;13;15;7;15;6;8;8;5;16;15;0;0;6;5;21;59;61;33;47;93;75;33;4;44;80;13;9;42;11;12;29;66
1969;0;3;1;2;15;3;12;19;NA;0;8;16;4;6;24;30;3;16;1;8;9;6;14;31;7;3;6;1;33;60;61;46;52;77;73;37;9;44;79;20;8;35;5;15;25;60
1970;1;2;3;6;10;2;39;37;14;1;8;15;3;9;20;48;0;40;3;8;19;NA;13;34;2;1;8;1;40;75;62;49;76;93;87;42;7;52;80;15;20;45;15;28;39;86
1971;1;5;18;10;12;5;33;39;14;0;NA;NA;6;15;NA;37;7;NA;5;9;26;11;27;55;7;2;10;4;40;67;67;50;63;81;79;40;NA;60;75;22;21;38;11;23;31;75
1972;1;NA;5;3;9;0;14;31;7;0;NA;NA;1;7;NA;27;4;9;1;6;10;NA;19;12;1;1;3;3;7;51;57;41;NA;NA;86;30;NA;50;NA;9;15;21;7;18;19;56
1973;2;2;6;7;18;6;11;30;9;2;9;7;3;8;20;32;NA;8;3;14;20;NA;28;55;8;0;12;12;12;83;92;69;62;104;93;47;9;77;98;17;13;45;20;NA;24;100
1974;0;1;10;6;16;4;22;51;5;0;7;12;2;12;20;31;NA;18;1;15;28;14;28;27;1;1;9;4;17;78;77;67;62;78;79;24;0;63;66;21;21;17;11;24;9;77
1975;0;1;2;8;9;3;11;41;6;0;10;8;2;8;12;27;NA;10;3;7;9;4;41;40;4;0;6;0;15;77;77;55;75;87;96;18;5;56;86;12;15;17;9;14;21;84
1976;1;NA;NA;0;12;0;3;23;3;NA;3;12;5;2;17;20;NA;4;0;4;3;1;19;24;0;0;2;0;0;59;45;41;35;90;83;23;0;51;56;14;2;31;6;0;9;57
1977;0;1;0;12;9;2;9;44;1;0;3;2;0;6;9;15;2;42;2;0;3;3;16;8;1;1;4;0;10;77;75;51;71;81;89;21;1;54;76;7;8;25;39;9;11;NA
1978;0;1;1;4;10;2;8;NA;8;0;5;5;4;3;4;13;0;1;1;3;7;5;13;17;5;0;1;0;4;45;46;22;38;89;77;14;1;53;46;5;12;17;43;20;23;48
1979;0;2;4;2;6;2;21;35;5;0;4;14;5;1;12;28;4;16;6;2;9;4;21;28;6;3;8;0;12;75;72;41;55;105;103;43;4;59;91;20;25;33;16;31;24;53
1980;0;0;2;NA;8;3;13;31;3;NA;8;10;5;6;9;24;6;NA;3;7;11;7;20;12;2;0;8;1;12;71;63;36;46;87;90;17;0;40;58;11;20;27;1;NA;8;57
1981;0;3;6;2;9;3;12;24;6;1;6;12;6;4;17;23;7;11;1;3;6;6;24;NA;3;NA;9;1;7;89;68;34;81;NA;96;26;1;50;80;17;11;NA;NA;17;15;58
1982;NA;4;16;16;20;3;35;38;18;3;9;23;10;13;29;31;2;35;7;2;21;18;38;47;6;3;25;3;27;102;94;69;90;100;109;47;16;87;99;33;NA;29;27;27;67;92
1983;1;6;14;12;16;5;NA;NA;17;1;17;21;19;17;24;31;9;25;8;18;15;13;18;42;4;1;14;8;17;76;80;50;59;82;92;42;4;85;81;30;31;29;13;18;NA;78
1984;0;0;2;5;14;5;17;17;1;0;1;2;2;2;6;19;NA;14;3;0;13;9;16;14;0;0;0;0;5;62;NA;32;46;71;84;36;0;62;73;2;14;26;3;24;8;52
1985;2;1;NA;7;22;18;18;NA;16;0;8;17;8;13;30;44;9;24;3;9;26;18;43;35;5;NA;NA;1;18;86;71;45;60;94;114;43;1;59;82;32;30;39;13;32;12;NA
1986;1;2;13;9;17;3;8;58;11;0;13;16;2;14;21;39;NA;NA;1;3;15;10;8;32;4;1;5;1;16;97;77;66;71;112;111;47;6;62;85;12;18;36;17;20;44;76
1987;4;5;13;6;22;5;12;66;26;7;11;19;NA;3;21;49;7;NA;7;7;23;22;42;53;11;3;16;4;24;94;95;78;93;102;105;66;22;96;110;54;5;61;37;26;40;94
1988;NA;NA;NA;NA;30;4;31;57;11;NA;8;18;NA;NA;21;36;12;45;7;NA;23;NA;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;NA;NA;43;22;48;46;38;NA;NA
1989;0;5;12;1;19;3;21;29;19;0;9;8;8;15;11;39;4;23;3;1;11;4;27;41;7;0;17;2;14;52;77;60;51;87;90;46;7;79;87;17;12;54;31;25;27;65
1990;0;0;4;2;13;2;18;NA;11;0;6;5;NA;13;16;30;2;20;2;7;12;7;23;31;2;1;5;0;7;92;105;55;72;122;110;NA;6;106;118;31;15;59;20;NA;37;82
1991;0;1;14;5;21;NA;33;NA;20;0;15;27;7;13;37;46;12;26;2;9;23;15;41;63;7;0;15;2;14;99;92;56;76;102;105;58;11;NA;113;51;17;51;21;37;35;80
1992;0;17;33;6;13;NA;21;46;24;0;16;27;14;19;26;41;15;26;5;22;26;20;33;41;10;0;23;3;18;93;102;62;62;101;102;41;5;79;107;45;45;53;37;NA;50;58
