yy;anom.originale;anom
1961;-4.74;-4.74
1962;2.76;2.76
1963;3.07;3.07
1964;-2.51;-2.51
1965;0.57;0.57
1966;-0.41;-0.41
1967;-0.61;-0.61
1968;-0.12;-0.12
1969;2.61;2.61
1970;-0.94;-0.94
1971;0.84;0.84
1972;2.39;2.39
1973;-0.07;-0.07
1974;1.16;1.16
1975;-1.98;-1.98
1976;4.35;4.35
1977;-1.26;-1.26
1978;3.11;3.11
1979;0.43;0.43
1980;5.02;5.02
1981;0.99;0.99
1982;-3.81;-3.81
1983;-1.74;-1.74
1984;1.74;1.74
1985;0.25;0.25
1986;-1.13;-1.13
1987;-0.13;-0.13
1988;-3.71;-3.71
1989;-3.26;-3.26
1990;-4.79;-4.79
1991;2.11;2.11
1992;-3.19;-3.19
1993;-1.92;-1.92
1994;-5.09;-5.09
1995;-1.61;-1.61
1996;-0.38;-0.38
1997;-5.06;-5.06
1998;-2.67;-2.67
1999;-2.93;-2.93
2000;-5.78;-5.78
2001;-4.38;-4.38
2002;-3.86;-3.86
2003;-2.97;-2.97
2004;-3.07;-3.07
2005;0.54;0.54
2006;-4.23;-4.23
2007;-3.38;-3.38
2008;-5.23;-5.23
2009;-3.94;-3.94
2010;-1.31;-1.31
2011;-5.44;-5.44
2012;-3.73;-3.73
2013;-4.11;-4.11
2014;-6.25;-6.25
2015;-6.58;-6.58
2016;-6.33;-6.37
2017;-6.36;-6.39
2018;-6.18;-6.19
2019;-5.25;-5.31
2020;-6.66;-6.66
