yy;anom
1961;-4.3
1962;3.01
1963;3.53
1964;-2.36
1965;1.29
1966;-0.31
1967;-1
1968;0.06
1969;2.21
1970;-0.61
1971;0.96
1972;2.57
1973;-0.28
1974;1.48
1975;-2.05
1976;3.31
1977;-1.02
1978;3.48
1979;0.26
1980;4.73
1981;1.15
1982;-3.68
1983;-2.01
1984;1.66
1985;-0.11
1986;-1.15
1987;-0.59
1988;-4.25
1989;-3.37
1990;-4.82
1991;1.92
1992;-3.47
1993;-2.23
1994;-5.17
1995;-2.64
1996;-1.33
1997;-5.49
1998;-3.49
1999;-3.37
2000;-6.08
2001;-5.21
2002;-4.4
2003;-3.4
2004;-3.22
2005;0.37
2006;-4.29
2007;-3.82
2008;-5.23
2009;-4.09
2010;-1.4
2011;-5.78
2012;-3.39
2013;-3.32
2014;-5.81
2015;-6.45
2016;-5.98
2017;-6.09
2018;-5.89
2019;-5.26
2020;-6.35
