yy;anom
1961;8.78
1962;3.88
1963;-1.01
1964;-2.36
1965;-1.24
1966;-0.61
1967;2.26
1968;-0.92
1969;-2.65
1970;-0.27
1971;-1
1972;-3.63
1973;-1.27
1974;-2.06
1975;-2.29
1976;-2.49
1977;0.23
1978;-4.49
1979;-1.38
1980;-5.64
1981;0.97
1982;1.23
1983;3.06
1984;-4.01
1985;2.91
1986;-0.26
1987;3.61
1988;4.11
1989;3.61
1990;6.78
1991;1.36
1992;4.83
1993;5.75
1994;12.71
1995;2.02
1996;-0.22
1997;7.27
1998;8.72
1999;7.95
2000;12.78
2001;14.81
2002;9.28
2003;20.94
2004;8.37
2005;6
2006;13.64
2007;16.57
2008;13.14
2009;14.28
2010;6.6
2011;16.54
2012;20.21
2013;11.63
2014;13.37
2015;17.95
2016;13.17
2017;17.71
2018;17.61
2019;20.25
2020;16.92
