yy;anom
1961;-1.15
1962;-1.77
1963;-3.75
1964;0.14
1965;-0.1
1966;-0.72
1967;-0.88
1968;-2.09
1969;0.26
1970;0.43
1971;-1.14
1972;1.88
1973;0.13
1974;3.29
1975;1.61
1976;0.81
1977;1.92
1978;0.79
1979;-1.32
1980;0.15
1981;-0.9
1982;1.08
1983;0.64
1984;0.77
1985;-3.02
1986;-0.97
1987;-1.23
1988;0.64
1989;2.07
1990;1.81
1991;-1.42
1992;0.88
1993;-1.11
1994;0.89
1995;0.31
1996;-2.29
1997;2.34
1998;0.71
1999;-0.67
2000;0.37
2001;-0.32
2002;0.2
2003;-0.16
2004;-0.46
2005;-1.07
2006;-0.59
2007;0.22
2008;0.19
2009;-1.66
2010;-1.34
2011;0.46
2012;-2.39
2013;0.35
2014;-1.16
2015;1.28
2016;0.79
2017;-1.88
2018;-1.82
2019;-0.29
2020;1.82
