yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,emiliaromagna_9224,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6782,marche_104,trentino_6509,trentino_6564,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6919,aeronautica_6922
1961,NA,-2.6799999999999997,-2.3,-3.4699999999999998,-0.78,0.79,0.3799999999999999,0.2400000000000002,-1.1800000000000002,NA,NA,-1.07,0.54,NA,-0.6599999999999999,0.1499999999999999,-1.9,-0.75,-0.9199999999999999,-0.71,0.8300000000000001,NA,0.6699999999999999,NA,-0.3700000000000001,-3.2099999999999995,-2.61,NA,-2.16,-2.66,-2.12,-2.59,-0.5899999999999999,-0.7200000000000006,-1.5099999999999998,NA,NA,-2.299999999999999,0.47000000000000064,-1.08,-1.0900000000000003,-3.33,NA,-0.7400000000000002,NA,-0.7999999999999998
1962,NA,NA,-2.8,-0.47,-3.6799999999999997,-1.9100000000000001,-2.32,-2.26,-0.18000000000000016,NA,NA,-2.0700000000000003,1.4400000000000002,NA,-1.06,0.25,-0.8999999999999999,-3.75,-1.92,NA,-2.07,-0.6699999999999999,-1.63,NA,-1.4700000000000006,-2.6099999999999994,-2.61,NA,-2.16,-2.7600000000000002,-0.019999999999999574,-0.3899999999999997,0.5099999999999998,-4.0200000000000005,-1.9100000000000001,-2.4700000000000006,NA,NA,-0.33000000000000007,-0.08000000000000007,-1.3900000000000006,-4.130000000000001,-4.1899999999999995,NA,-1.5599999999999996,-4.4
1963,NA,-5.38,-4.2,-1.17,-6.58,-4.909999999999999,-4.22,-4.96,-4.18,NA,NA,-3.37,-2.06,NA,-2.66,-3.55,-4.8,-3.05,-6.82,-4.81,-4.970000000000001,-3.0700000000000003,-2.4299999999999997,NA,-5.17,-6.51,-3.8099999999999996,NA,-4.16,-4.26,-3.7199999999999998,-4.29,-1.6900000000000004,-3.3200000000000003,-2.21,-2.17,NA,-3.5999999999999996,-1.129999999999999,-3.5799999999999996,-2.0900000000000003,-3.630000000000001,-5.09,-2.24,-3.36,-3.0999999999999996
1964,0.9899999999999998,NA,3.1000000000000005,0.5299999999999998,-1.6800000000000002,1.39,-3.62,-2.96,2.82,NA,NA,-3.67,-0.76,NA,-1.5599999999999998,-1.9500000000000002,-0.8999999999999999,-3.05,-0.42,1.99,2.83,0.83,-0.1299999999999999,-0.5800000000000001,0.9299999999999997,1.8900000000000006,3.290000000000001,-0.08000000000000007,-0.2600000000000007,0.13999999999999968,1.58,-0.4900000000000002,-1.4900000000000002,0.879999999999999,0.8900000000000006,0.33000000000000007,NA,-2.6999999999999993,0.370000000000001,1.92,3.21,0.2699999999999996,-1.2899999999999991,-1.1400000000000006,2.74,1.4000000000000004
1965,NA,NA,NA,0.1299999999999999,2.12,0.39,1.1800000000000002,1.7400000000000002,2.02,-0.53,1.3000000000000003,0.030000000000000027,2.14,2.3200000000000003,1.0400000000000003,-0.55,3.0000000000000004,1.85,-1.72,-0.81,-1.57,NA,1.4700000000000002,1.42,0.7299999999999995,-0.40999999999999925,-0.41000000000000014,-0.28000000000000025,-1.2600000000000002,-0.8600000000000003,-1.3199999999999994,-2.99,-2.79,-0.41999999999999993,NA,-1.2700000000000014,-0.5,-2.6999999999999993,-0.5299999999999994,-0.08000000000000007,0.009999999999999787,-0.23000000000000043,-1.9900000000000002,-0.8400000000000007,-1.1600000000000001,-1.5999999999999996
1966,-1.7100000000000002,-0.6799999999999997,0.20000000000000018,-3.97,0.22000000000000008,0.19,-1.6199999999999999,-1.8599999999999999,-1.08,1.57,-1.3,0.13,-2.46,1.2200000000000002,-0.6599999999999999,NA,0.10000000000000009,-1.45,-0.8200000000000001,-0.6099999999999999,-0.27,NA,-0.83,-0.47999999999999954,-1.4700000000000006,-0.40999999999999925,0.8900000000000006,-1.2800000000000002,-1.2600000000000002,0.13999999999999968,-4.32,-1.5899999999999999,-3.19,-0.41999999999999993,-1.1099999999999994,-0.27000000000000135,-1.3999999999999986,NA,-0.629999999999999,0.7200000000000006,-0.9900000000000002,-1.0300000000000011,-0.08999999999999986,0.15999999999999925,1.9399999999999995,0.9000000000000004
1967,-0.31000000000000005,-3.38,-1.2999999999999998,-2.17,1.2200000000000002,0.39,-1.8199999999999998,-0.3599999999999999,-0.18000000000000016,1.57,-0.7,-0.77,0.54,-2.08,0.3400000000000001,-0.75,1,-1.45,-0.8200000000000001,-0.6099999999999999,0.03,0.13,-0.83,-2.38,-1.2700000000000005,-1.1099999999999994,-3.9099999999999997,-1.08,-0.3600000000000003,-0.45999999999999996,-2.12,-0.8899999999999997,-1.4900000000000002,-0.019999999999999574,0.08999999999999986,-0.27000000000000135,-1.799999999999999,-0.40000000000000036,-0.129999999999999,-1.6799999999999997,-0.5900000000000003,-0.23000000000000043,-2.09,-0.9400000000000004,-4.56,-0.5999999999999996
1968,-2.71,-2.1799999999999997,-3.5,-5.17,-2.68,1.19,-2.7199999999999998,-2.0599999999999996,-1.2800000000000002,-0.53,-2.3,0.73,-1.9599999999999997,-2.6799999999999997,-0.15999999999999992,-1.65,-2.2,-1.45,-0.8200000000000001,-3.01,-1.37,-4.67,-0.83,-1.88,-3.47,-2.3099999999999996,-3.01,-4.28,-2.7600000000000002,-3.2600000000000002,-4.32,-3.9899999999999998,-4.09,-1.0199999999999996,-1.9100000000000001,-1.0700000000000003,-1.3999999999999986,0.40000000000000036,-1.33,-3.6799999999999997,-1.4900000000000002,-1.0300000000000011,-2.99,-1.7400000000000002,-0.45999999999999996,-1.2000000000000002
1969,1.79,0.2200000000000002,0.5,-0.27,2.12,0.5900000000000001,1.08,-0.7599999999999998,NA,-2.13,-0.7,-0.07000000000000006,0.54,1.2200000000000002,0.5400000000000003,-1.65,0.6000000000000001,1.0500000000000003,0.98,1.19,-0.27,0.13,1.4700000000000002,0.6200000000000001,0.7299999999999995,1.5900000000000007,0.8900000000000006,0.5199999999999996,-3.2600000000000002,-1.2599999999999998,-0.1200000000000001,-0.3899999999999997,0.71,-0.22000000000000064,0.4900000000000002,-0.27000000000000135,2.200000000000001,0.5999999999999996,1.67,0.22000000000000064,-0.5900000000000003,-0.6300000000000008,-0.08999999999999986,0.15999999999999925,-0.2599999999999998,0.2999999999999998
1970,1.29,-0.17999999999999972,-1.0999999999999996,1.83,1.2200000000000002,-0.51,-0.11999999999999988,-1.0599999999999996,-2.18,-1.03,-1.3,0.13,-0.15999999999999998,1.2200000000000002,-0.5599999999999998,-1.65,3.4,-0.6499999999999999,-0.42,0.79,0.03,3.23,NA,-1.4799999999999995,2.0299999999999994,0.9900000000000002,0.8900000000000006,0.9199999999999999,1.9399999999999995,0.54,-0.7199999999999998,1.4100000000000001,1.3099999999999996,1.58,0.6899999999999995,1.33,0.40000000000000036,0.5999999999999996,1.9700000000000006,-0.08000000000000007,0.3099999999999996,0.8699999999999992,0.41000000000000014,0.96,-0.96,1.1000000000000005
