yy;anom
1961;-0.95
1962;-1.42
1963;-3.65
1964;0.62
1965;0.11
1966;-0.71
1967;-0.88
1968;-2.27
1969;0.27
1970;0.57
1971;-1.25
1972;1.68
1973;0.19
1974;3.2
1975;1.63
1976;0.92
1977;2.25
1978;0.67
1979;-1.56
1980;-0.02
1981;-1.25
1982;1.36
1983;0.49
1984;0.46
1985;-3.33
1986;-1.02
1987;-1.33
1988;0.4
1989;2.32
1990;2.09
1991;-1.08
1992;0.94
1993;-1.03
1994;1.6
1995;0.81
1996;-1.62
1997;3.21
1998;1.56
1999;-0.04
2000;1.74
2001;0.85
2002;1.17
2003;1.13
2004;0.63
2005;-0.23
2006;0.3
2007;1.56
2008;1.33
2009;-0.38
2010;-0.32
2011;1.44
2012;-1.26
2013;1.64
2014;-0.16
2015;2.71
2016;2.2
2017;-0.56
2018;-0.22
2019;1.09
2020;3.31
