yy;anom
1961;0.13
1962;0.84
1963;-0.28
1964;-0.7
1965;0.51
1966;-0.5
1967;0.33
1968;0.48
1969;-0.77
1970;0.06
1971;0.9
1972;-0.58
1973;-0.03
1974;0.73
1975;-0.19
1976;-1.99
1977;-2.01
1978;-1.32
1979;-0.87
1980;-0.29
1981;0.08
1982;1.58
1983;2.75
1984;0.21
1985;0.24
1986;-0.4
1987;1.19
1988;1.51
1989;-0.98
1990;-0.15
1991;0.22
1992;0.62
1993;1.27
1994;1.94
1995;0.33
1996;0.25
1997;-0.36
1998;3.05
1999;2.04
2000;2.51
2001;1.35
2002;1.98
2003;4.21
2004;1.55
2005;2.58
2006;3.04
2007;4
2008;1.6
2009;2.8
2010;2.25
2011;2.84
2012;3.89
2013;3.13
2014;1.17
2015;3.68
2016;1.31
2017;4.66
2018;2.27
2019;4.12
2020;2.87
