yy;anom.originale;anom
1961;0.02;0.02
1962;1.08;1.08
1963;-0.29;-0.29
1964;-0.97;-0.97
1965;0.79;0.79
1966;-0.42;-0.42
1967;0.48;0.48
1968;0.61;0.61
1969;-0.86;-0.86
1970;0.21;0.21
1971;1.26;1.26
1972;-0.72;-0.72
1973;0.06;0.06
1974;0.72;0.72
1975;0.02;0.02
1976;-2.24;-2.24
1977;-1.85;-1.85
1978;-0.98;-0.98
1979;-0.83;-0.83
1980;-0.4;-0.4
1981;0.03;0.03
1982;1.28;1.28
1983;2.89;2.89
1984;0.09;0.09
1985;0.16;0.16
1986;-0.73;-0.73
1987;1.38;1.38
1988;1.29;1.29
1989;-1.31;-1.31
1990;-0.41;-0.41
1991;-0.3;-0.3
1992;-0.06;-0.06
1993;1.05;1.05
1994;1.62;1.62
1995;-0.16;-0.16
1996;-0.46;-0.46
1997;-0.77;-0.77
1998;2.69;2.69
1999;1.37;1.37
2000;2.24;2.24
2001;0.93;0.93
2002;0.94;0.94
2003;3.08;3.08
2004;0.64;0.64
2005;1.68;1.68
2006;1.98;1.98
2007;3.14;3.14
2008;0.47;0.47
2009;1.74;1.74
2010;0.94;0.94
2011;1.56;1.56
2012;2.66;2.66
2013;1.77;1.77
2014;-0.44;-0.44
2015;2.29;2.29
2016;0.01;0.01
2017;3.32;3.32
2018;0.46;0.46
2019;2.19;2.19
2020;1.32;1.32
