yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,emiliaromagna_9224,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1961,NA,1.1200000000000045,0.9299999999999997,0.5900000000000034,0,0.8800000000000026,1.0500000000000043,0.9600000000000009,-0.3499999999999943,NA,2.0100000000000016,2.4800000000000004,-0.48999999999999844,0.40000000000000213,NA,NA,NA,0.8200000000000003,-0.48999999999999844,NA,1.1799999999999997,1.3499999999999943,-1.3100000000000023,1.009999999999998,2.1099999999999994,-0.5999999999999979,0.10000000000000142,2.210000000000001,0.8500000000000014,NA,1.1400000000000006,-0.19000000000000128,NA,0.11999999999999744,1.4799999999999969,1.4399999999999977,NA,1.4200000000000017,0.879999999999999,0.20000000000000284,-1.2700000000000031,-0.4399999999999977,-1.240000000000002,-1.1500000000000021,NA,NA,-0.11999999999999744,-1.0700000000000003,0.6299999999999955,1.0600000000000023,-1.870000000000001,NA,-0.8499999999999943,-0.3999999999999986,0.6499999999999986,NA,-1.6099999999999994
1962,NA,NA,0.7299999999999969,-0.10999999999999943,2,0.980000000000004,-0.25,0.9600000000000009,-1.0499999999999972,NA,-0.48999999999999844,2.4800000000000004,0.8100000000000023,0.9000000000000021,0.16000000000000014,NA,NA,2.520000000000003,0.8100000000000023,NA,1.2800000000000011,1.6499999999999986,0.5899999999999963,3.009999999999998,2.9099999999999966,1.6999999999999993,NA,2.210000000000001,0.9499999999999957,0.8399999999999999,1.9400000000000013,1.4100000000000001,NA,-1.5799999999999983,1.8799999999999955,0.5399999999999991,NA,1.8200000000000003,1.0800000000000018,1.2000000000000028,-0.7700000000000031,-1.139999999999997,2.960000000000001,1.25,2.4399999999999977,NA,NA,3.9299999999999997,2.1299999999999955,1.5600000000000023,2.9299999999999997,1.3399999999999963,NA,0.5,0.4499999999999993,-1.7800000000000011,-1.9099999999999966
1963,NA,-1.2800000000000011,-1.8700000000000045,2.0900000000000034,1,-1.7199999999999989,-0.04999999999999716,0.060000000000002274,-4.049999999999997,NA,0.010000000000001563,NA,-1.5899999999999999,-2.5,-1.4399999999999977,NA,NA,1.0200000000000031,-1.4899999999999984,NA,-0.3200000000000003,-0.8500000000000014,0.5899999999999963,0.509999999999998,-0.5900000000000034,-1.3000000000000007,-2.1000000000000014,-0.18999999999999773,-0.75,0.8399999999999999,-0.4599999999999973,-0.19000000000000128,NA,0.4200000000000017,-0.5200000000000031,-1.2600000000000051,NA,2.019999999999996,-0.7199999999999989,3.200000000000003,1.6299999999999955,3.3599999999999994,0.1599999999999966,1.0499999999999972,2.240000000000002,NA,0.0799999999999983,3.030000000000001,-0.37000000000000455,-0.9399999999999977,2.3299999999999983,0.9399999999999977,-0.6499999999999986,-0.1999999999999993,-0.8500000000000014,-1.3800000000000026,-2.1099999999999994
1964,-1.6300000000000026,NA,-2.1700000000000017,-4.109999999999999,1,-0.7199999999999989,-4.449999999999996,-2.84,-2.8499999999999943,NA,-0.889999999999997,1.1799999999999997,-1.0899999999999999,-0.7999999999999972,-1.4399999999999977,NA,NA,3.020000000000003,-0.389999999999997,NA,-0.519999999999996,0.6499999999999986,0.5899999999999963,-1.3900000000000006,-1.990000000000002,1.6999999999999993,-2.6000000000000014,NA,-2.3500000000000014,0.8399999999999999,0.33999999999999986,-0.19000000000000128,1.3200000000000003,1.9200000000000017,1.0799999999999983,-0.5600000000000023,-0.2700000000000031,-2.1799999999999997,-0.3200000000000003,-0.20000000000000284,-2.3700000000000045,-2.8399999999999963,-0.240000000000002,-2.3500000000000014,-2.3599999999999994,NA,3.3800000000000026,-3.270000000000003,-0.8700000000000045,-0.5399999999999991,-0.7700000000000031,-2.5600000000000023,-4.149999999999999,0.6999999999999993,-0.4499999999999993,0.11999999999999744,-1.009999999999998
1965,NA,NA,NA,1.8900000000000006,-0.8999999999999986,0.28000000000000114,0.8500000000000014,0.1599999999999966,-0.3499999999999943,-0.9699999999999989,NA,0.379999999999999,1.9100000000000001,0.9000000000000021,-0.6400000000000006,0.6499999999999986,1.2100000000000009,1.5200000000000031,0.5100000000000051,-0.3999999999999986,0.6799999999999997,0.25,0.5899999999999963,1.6099999999999994,0.30999999999999517,NA,0.6000000000000014,NA,1.0499999999999972,NA,-0.4599999999999973,0.6099999999999994,-1.5800000000000018,0.11999999999999744,-0.4200000000000017,-0.060000000000002274,-0.2700000000000031,0.3200000000000003,-0.120000000000001,0.6000000000000014,3.029999999999994,-0.03999999999999915,1.6599999999999966,NA,1.3399999999999963,1.7999999999999972,4.079999999999998,-0.46999999999999886,-0.37000000000000455,0.35999999999999943,4.93,1.0399999999999991,-0.25,0.6999999999999993,NA,2.8200000000000003,7.090000000000003
1966,1.3699999999999974,1.8200000000000003,0.22999999999999687,-0.9099999999999966,-0.8999999999999986,-0.01999999999999602,-0.3499999999999943,-0.3400000000000034,-2.4499999999999957,0.5300000000000011,-0.6899999999999977,2.580000000000002,0.9100000000000001,0.9000000000000021,-2.2399999999999984,-1.0499999999999972,0.21000000000000085,1.0200000000000031,-0.7899999999999991,0.19999999999999574,0.5800000000000054,NA,0.5899999999999963,0.509999999999998,-1.490000000000002,-0.3999999999999986,-2.1000000000000014,-1.5899999999999999,-1.8500000000000014,NA,-1.1600000000000001,0.6099999999999994,1.2199999999999989,2.719999999999999,1.6799999999999997,0.03999999999999915,-0.6700000000000017,-0.0799999999999983,-1.3200000000000003,-2.8999999999999986,-0.970000000000006,-1.3399999999999963,-2.9400000000000013,-0.05000000000000426,-0.46000000000000085,0,NA,0.8299999999999983,-0.8700000000000045,-0.5399999999999991,-1.0700000000000003,-2.5600000000000023,-1.9499999999999957,NA,1.8500000000000014,-0.480000000000004,-2.509999999999998
1967,1.6700000000000017,-0.0799999999999983,1.4299999999999997,2.490000000000002,-0.8999999999999986,1.1799999999999997,3.0500000000000043,-0.6400000000000006,3.3500000000000014,-0.16999999999999815,0.610000000000003,NA,1.3100000000000023,0.9000000000000021,-1.4399999999999977,0.05000000000000426,0.21000000000000085,0.019999999999999574,-0.6899999999999977,-0.3999999999999986,-0.3200000000000003,-1.2500000000000036,0.990000000000002,-0.28999999999999915,1.1099999999999994,0.3000000000000007,1.2999999999999972,2.009999999999998,0.14999999999999858,-0.6600000000000001,-0.4599999999999973,0.6099999999999994,-0.17999999999999972,0.9200000000000017,0.17999999999999972,1.3399999999999963,-0.6700000000000017,0.01999999999999602,-1.120000000000001,-1.1999999999999993,-2.770000000000003,1.3599999999999994,0.6599999999999966,-0.8500000000000014,-0.46000000000000085,0.8999999999999986,0.6799999999999997,0.12999999999999545,0.6299999999999955,0.6600000000000037,3.030000000000001,1.0399999999999991,0.5500000000000043,0.5,2.25,2.9199999999999946,5.790000000000006
1968,-0.4299999999999997,0.8200000000000003,0.22999999999999687,0.09000000000000341,1,0.980000000000004,4.450000000000003,2.259999999999998,-0.5499999999999972,1.0300000000000011,1.0100000000000016,2.580000000000002,1.9100000000000001,0.40000000000000213,-0.6400000000000006,0.6499999999999986,0.21000000000000085,0.5200000000000031,0.010000000000005116,0.19999999999999574,1.0800000000000054,3.1499999999999986,0.990000000000002,3.8100000000000023,0.7100000000000009,0.6999999999999993,1.2999999999999972,1.6099999999999994,1.0499999999999972,-1.4600000000000009,-0.4599999999999973,1.4100000000000001,0.019999999999999574,1.8200000000000003,2.0799999999999983,0.3399999999999963,-1.8700000000000045,-0.38000000000000256,0.4800000000000004,-2,-0.5700000000000003,0.35999999999999943,-1.0400000000000027,-0.5500000000000043,0.14000000000000057,-2.3000000000000043,0.38000000000000256,-0.6700000000000017,0.8299999999999983,3.460000000000001,-0.2700000000000031,1.5399999999999991,-1.0499999999999972,2.6000000000000014,0.6499999999999986,2.1199999999999974,-0.00999999999999801
1969,-0.9299999999999997,-1.3799999999999955,-0.47000000000000597,0.09000000000000341,-0.8999999999999986,-2.219999999999999,-0.75,-1.3400000000000034,NA,-0.5700000000000003,0.3100000000000023,0.379999999999999,-1.6899999999999977,NA,0.9600000000000009,-1.0499999999999972,-0.7899999999999991,-0.5799999999999983,-0.0899999999999963,0.19999999999999574,0.0800000000000054,-0.3500000000000014,-0.00999999999999801,0.509999999999998,-1.6900000000000013,0,-1.3999999999999986,-0.18999999999999773,-1.25,0.03999999999999915,0.33999999999999986,0.6099999999999994,0.3200000000000003,0.4200000000000017,-1.0200000000000031,-2.0600000000000023,-1.470000000000006,-1.5799999999999983,-1.5199999999999996,-0.3999999999999986,0.7299999999999969,-1.8399999999999963,-2.4400000000000013,-0.3500000000000014,-0.5600000000000023,-0.9000000000000057,-1.6199999999999974,-1.4700000000000024,-1.7700000000000031,-2.3399999999999963,-0.9700000000000024,-1.759999999999998,-2.4499999999999957,-0.3000000000000007,0.14999999999999858,3.1199999999999974,-1.7099999999999937
1970,-0.030000000000001137,0.7199999999999989,0.22999999999999687,1.1899999999999977,-0.8999999999999986,0.480000000000004,-0.25,1.1599999999999966,0.9500000000000028,-1.2699999999999996,-1.1899999999999977,0.379999999999999,0.5100000000000016,-0.5999999999999979,-1.4399999999999977,0.6499999999999986,0.21000000000000085,-0.7800000000000011,0.10999999999999943,0.19999999999999574,-1.2199999999999989,0.5499999999999972,-0.9100000000000001,-0.990000000000002,0.30999999999999517,2.3000000000000007,0.3999999999999986,NA,0.34999999999999787,0.03999999999999915,NA,-0.19000000000000128,1.3200000000000003,-2.0799999999999983,-1.220000000000006,-0.5600000000000023,0.7299999999999969,0.7199999999999989,-0.3200000000000003,2.3999999999999986,1.2299999999999969,0.5600000000000023,0.1599999999999966,1.0499999999999972,-0.1600000000000037,2.1999999999999957,-0.9200000000000017,-0.9700000000000024,0.4299999999999997,-0.03999999999999915,-1.4700000000000024,-2.16,0.25,-1.5,-1.8499999999999996,2.719999999999999,2.5900000000000034
