yy;anom.originale;anom
1961;10.97;11.13
1962;1.92;1.97
1963;-2.42;-2.5
1964;-3.83;-3.85
1965;-2.29;-2.42
1966;-2.52;-2.53
1967;-0.99;-0.98
1968;1.79;1.82
1969;-1.17;-1.17
1970;-2.46;-2.47
1971;-3.05;-3.07
1972;-3.55;-3.57
1973;-0.21;-0.19
1974;-1.85;-1.85
1975;-3.87;-3.89
1976;-0.86;-0.85
1977;-2.91;-2.91
1978;-3.4;-3.42
1979;-0.46;-0.45
1980;-3.97;-3.99
1981;0.54;0.56
1982;-0.16;-0.19
1983;3.1;3.04
1984;-4.19;-4.21
1985;3.06;3.06
1986;-0.18;-0.25
1987;9.48;9.57
1988;-0.13;-0.13
1989;8.3;8.39
1990;7.5;7.58
1991;1.25;1.27
1992;4.52;4.43
1993;6.44;6.51
1994;12.86;12.88
1995;-0.33;-0.37
1996;4.02;4.07
1997;7.1;7.18
1998;18.17;18.21
1999;10.91;10.91
2000;11.54;11.54
2001;14.93;14.72
2002;13.3;13.36
2003;45.39;45.32
2004;6.92;6.87
2005;11.76;11.83
2006;22.66;22.76
2007;33.1;33.16
2008;11.43;11.54
2009;17.41;17.58
2010;5.39;5.4
2011;30.59;30.54
2012;31.17;31.37
2013;17.65;17.77
2014;18.87;18.99
2015;37.43;37.81
2016;12.57;13.15
2017;28.76;28.55
2018;20.35;20.66
2019;27.8;28.58
2020;17.22;17.22
