yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,emiliaromagna_9224,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1961,NA,46.62,24.31,19.57,20.13,2.73,-4.1,-2.12,31.52,NA,12.93,40.65,8.58,18.79,NA,NA,NA,62.89,25.72,NA,25.17,67.92,6.04,-2.12,8.93,27.82,8.34,4.38,-3.87,NA,47.38,13.2,NA,20.03,40.25,22.62,NA,21.1,9.24,-2.82,5.28,15,-2.63,-1.75,NA,NA,5.3,-3.32,9.53,23.03,-10.93,NA,-3.8499999999999996,16.46,26.93,NA,-2.52
1962,NA,NA,1.3099999999999996,9.57,-3.87,2.73,1.9000000000000004,3.88,16.52,NA,1.9299999999999997,6.65,1.58,0.79,-7.54,NA,NA,28.89,0.7199999999999998,NA,8.17,7.92,1.04,9.879999999999999,6.93,-4.18,NA,3.38,4.13,0.2400000000000002,12.38,3.2,NA,-2.97,2.25,1.62,NA,11.1,10.24,3.18,-0.72,-4,-2.63,-1.75,-1.44,NA,NA,-3.32,-3.47,11.030000000000001,-10.93,9.75,NA,-0.54,-1.0700000000000003,-3.22,-2.52
1963,NA,-7.38,-4.69,2.5700000000000003,-3.87,-3.27,-4.1,-2.12,10.52,NA,-5.07,NA,-7.42,-6.21,-7.54,NA,NA,-6.11,-6.28,NA,-3.83,-0.08000000000000007,-6.96,6.88,0.9299999999999997,-4.18,-3.66,1.38,-3.87,-5.76,-11.62,-6.8,NA,-2.97,1.25,-5.38,NA,3.1,-4.76,4.18,-0.72,-4,-2.63,6.25,-1.44,NA,4.3,-3.32,-3.47,-4.97,-10.93,-1.25,-9.85,-7.54,-7.07,2.78,9.48
1964,-4.25,NA,-4.69,-4.43,-3.87,-3.27,-4.1,-2.12,-6.48,NA,-5.07,-1.3499999999999996,-7.42,-6.21,-7.54,NA,NA,-0.11000000000000032,-6.28,NA,-3.83,-6.08,-6.96,-2.12,-5.07,2.8200000000000003,-3.66,NA,-3.87,-5.76,-5.619999999999999,-6.8,11.2,4.029999999999999,1.25,-5.38,-1.69,2.1,-4.76,-2.82,-0.72,-4,-2.63,-1.75,-1.44,NA,-2.7,-3.32,-3.47,-4.97,-10.93,-1.25,-9.85,-7.54,-7.07,-3.22,-2.52
1965,NA,NA,NA,1.5700000000000003,-3.87,6.73,1.9000000000000004,-2.12,-6.48,-5.52,NA,6.65,5.58,-6.21,-1.54,-3.33,5.88,-6.11,-6.28,-3.25,-3.83,-6.08,-6.96,-2.12,0.9299999999999997,NA,-3.66,NA,-3.87,NA,-11.62,-0.7999999999999998,-2.8,-2.97,-4.75,0.6200000000000001,-1.69,-3.9,1.2400000000000002,-2.82,-0.72,4,-2.63,NA,-1.44,-1.42,-2.7,-3.32,-3.47,-4.97,147.07,-7.25,-9.85,-1.54,NA,3.78,8.48
1966,-4.25,0.6200000000000001,-4.69,1.5700000000000003,2.13,-3.27,1.9000000000000004,-2.12,-6.48,-5.52,-5.07,0.6500000000000004,7.58,0.79,-7.54,-3.33,-4.12,-6.11,-6.28,2.75,-3.83,NA,10.04,-2.12,0.9299999999999997,-4.18,-3.66,1.38,-3.87,NA,-11.62,0.20000000000000018,-2.8,4.029999999999999,-4.75,0.6200000000000001,-1.69,-3.9,-4.76,-2.82,-0.72,-4,-2.63,-1.75,-1.44,-1.42,NA,-3.32,-3.47,-4.97,-10.93,-7.25,-9.85,NA,-7.07,-3.22,-2.52
1967,-4.25,1.62,-4.69,4.57,-3.87,8.73,7.9,-2.12,11.52,-5.52,-5.07,NA,-1.42,0.79,-7.54,-3.33,-4.12,0.8899999999999997,-6.28,2.75,-3.83,-6.08,5.04,-2.12,-5.07,-4.18,-3.66,-4.62,12.129999999999999,9.24,-11.62,-6.8,-2.8,-2.97,1.25,9.620000000000001,-1.69,-3.9,-4.76,-2.82,-0.72,-4,-2.63,-1.75,-1.44,-1.42,4.3,-3.32,-3.47,-4.97,-10.93,-1.25,-1.8499999999999996,7.46,5.93,4.779999999999999,-2.52
1968,8.75,6.62,2.3099999999999996,-4.43,-3.87,2.73,2.9000000000000004,-2.12,0.5199999999999996,2.4800000000000004,2.9299999999999997,0.6500000000000004,1.58,7.79,-1.54,2.67,3.88,0.8899999999999997,8.719999999999999,3.75,12.17,1.92,8.04,-2.12,-5.07,-4.18,9.34,1.38,2.13,15.24,-5.619999999999999,-0.7999999999999998,-2.8,3.03,-4.75,1.62,-1.69,-3.9,3.24,-2.82,-0.72,-4,3.37,-1.75,-1.44,-1.42,-2.7,-3.32,9.53,1.0300000000000002,-10.93,-1.25,3.1500000000000004,0.45999999999999996,-0.07000000000000028,-3.22,-2.52
1969,-4.25,-7.38,-4.69,-4.43,-3.87,-3.27,-4.1,3.88,NA,0.4800000000000004,-5.07,0.6500000000000004,-7.42,NA,-7.54,-3.33,-4.12,-6.11,2.7199999999999998,-3.25,2.17,-0.08000000000000007,-6.96,3.88,-5.07,-4.18,-3.66,1.38,-3.87,-5.76,7.380000000000001,-6.8,-2.8,-2.97,-4.75,-5.38,-1.69,9.1,-4.76,3.18,-0.72,2,3.37,-1.75,-1.44,-1.42,-2.7,3.68,-3.47,8.030000000000001,-10.93,-7.25,-9.85,-7.54,-7.07,-3.22,-2.52
1970,-4.25,-1.38,2.3099999999999996,-4.43,-3.87,-3.27,3.9000000000000004,-2.12,5.52,-5.52,-5.07,-7.35,-1.42,-6.21,-7.54,-3.33,-4.12,-6.11,-6.28,-3.25,-3.83,-6.08,-6.96,3.88,1.9299999999999997,-4.18,-3.66,NA,-3.87,0.2400000000000002,NA,-6.8,-2.8,-2.97,1.25,0.6200000000000001,-1.69,-3.9,-4.76,-2.82,-0.72,-4,-2.63,-1.75,-1.44,-1.42,-2.7,-3.32,-3.47,3.0300000000000002,-10.93,-7.25,-9.85,-7.54,-7.07,-3.22,-2.52
1971,-4.25,-7.38,-4.69,-4.43,-3.87,2.73,9.9,-2.12,-6.48,-5.52,-5.07,-7.35,0.5800000000000001,-6.21,-7.54,NA,NA,-6.11,-6.28,NA,-3.83,-6.08,-6.96,NA,-5.07,2.8200000000000003,2.34,1.38,-3.87,-5.76,-3.619999999999999,0.20000000000000018,6.2,-2.97,-4.75,-5.38,-1.69,-3.9,-4.76,-2.82,-0.72,-4,-2.63,-1.75,-1.44,NA,-2.7,-3.32,-3.47,-4.97,-10.93,1.75,-9.85,-0.54,-1.0700000000000003,-3.22,-2.52
1972,-4.25,NA,-4.69,-4.43,3.13,-3.27,-4.1,-2.12,-6.48,-5.52,NA,-7.35,-7.42,-6.21,-7.54,NA,NA,-6.11,-6.28,NA,-3.83,-6.08,-6.96,-2.12,-5.07,-4.18,-3.66,NA,-3.87,-5.76,-5.619999999999999,-6.8,-2.8,-2.97,-4.75,-5.38,-1.69,-3.9,-4.76,-2.82,-0.72,NA,NA,-1.75,-1.44,NA,-2.7,NA,-3.47,-4.97,-10.93,-7.25,-9.85,-7.54,-7.07,-3.22,-2.52
1973,3.75,-1.38,-4.69,3.5700000000000003,-3.87,-3.27,-4.1,-2.12,-0.4800000000000004,NA,1.9299999999999997,-7.35,-7.42,0.79,-7.54,-3.33,3.88,-6.11,0.7199999999999998,2.75,-3.83,-6.08,NA,-2.12,-5.07,-4.18,-3.66,NA,-3.87,-5.76,-11.62,1.2000000000000002,3.2,-2.97,-4.75,-5.38,4.3100000000000005,-3.9,-4.76,-2.82,-0.72,-4,-2.63,4.25,-1.44,-1.42,3.3,2.68,-3.47,-4.97,-10.93,-7.25,NA,0.45999999999999996,-0.07000000000000028,-3.22,-2.52
1974,-4.25,-7.38,3.3099999999999996,-4.43,-3.87,-3.27,1.9000000000000004,-2.12,-6.48,-5.52,-5.07,-0.34999999999999964,0.5800000000000001,-6.21,5.46,2.67,1.88,-0.11000000000000032,13.719999999999999,-3.25,-3.83,-6.08,NA,-2.12,-5.07,-4.18,-3.66,-4.62,-3.87,-5.76,1.3800000000000008,-0.7999999999999998,-2.8,-2.97,-4.75,-5.38,-1.69,-3.9,-4.76,-2.82,-0.72,-4,-2.63,-1.75,-1.44,-1.42,-2.7,-3.32,-3.47,-4.97,-10.93,-7.25,-9.85,-0.54,-0.07000000000000028,-3.22,-2.52
