yy;anom
1961;11.65
1962;2.01
1963;-2.57
1964;-3.66
1965;1.12
1966;-1.24
1967;-0.77
1968;1.13
1969;-2.27
1970;-3.08
1971;-3.6
1972;-4.21
1973;-1.41
1974;-2.78
1975;-4.21
1976;-1.28
1977;-1.89
1978;-3.76
1979;-0.2
1980;-4.51
1981;0.68
1982;1.25
1983;3.57
1984;-4.39
1985;2.43
1986;0.89
1987;6.77
1988;0.74
1989;7.92
1990;8.02
1991;2.59
1992;5.97
1993;6.51
1994;13.7
1995;0.69
1996;4.34
1997;11.58
1998;18.89
1999;13.72
2000;18.89
2001;22.81
2002;14.07
2003;49.61
2004;9.35
2005;12.85
2006;26.46
2007;33.33
2008;16.19
2009;21.66
2010;7.25
2011;30.44
2012;31.96
2013;18.69
2014;20.11
2015;32.24
2016;11.28
2017;22.68
2018;15.85
2019;23.16
2020;12.82
