yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;emiliaromagna_9224;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919;aeronautica_6922
1961;NA;54;29;24;24;6;0;0;38;NA;18;48;16;25;NA;NA;NA;69;32;NA;29;74;13;0;14;32;12;9;0;NA;59;20;NA;23;45;28;NA;25;14;0;6;19;0;0;NA;NA;8;0;13;28;0;NA;6;24;34;NA;0
1962;NA;NA;6;14;0;6;6;6;23;NA;7;14;9;7;0;NA;NA;35;7;NA;12;14;8;12;12;0;NA;8;8;6;24;10;NA;0;7;7;NA;15;15;6;0;0;0;0;0;NA;NA;0;0;16;0;17;NA;7;6;0;0
1963;NA;0;0;7;0;0;0;0;17;NA;0;NA;0;0;0;NA;NA;0;0;NA;0;6;0;9;6;0;0;6;0;0;0;0;NA;0;6;0;NA;7;0;7;0;0;0;8;0;NA;7;0;0;0;0;6;0;0;0;6;12
1964;0;NA;0;0;0;0;0;0;0;NA;0;6;0;0;0;NA;NA;6;0;NA;0;0;0;0;0;7;0;NA;0;0;6;0;14;7;6;0;0;6;0;0;0;0;0;0;0;NA;0;0;0;0;0;6;0;0;0;0;0
1965;NA;NA;NA;6;0;10;6;0;0;0;NA;14;13;0;6;0;10;0;0;0;0;0;0;0;6;NA;0;NA;0;NA;0;6;0;0;0;6;0;0;6;0;0;8;0;NA;0;0;0;0;0;0;158;0;0;6;NA;7;11
1966;0;8;0;6;6;0;6;0;0;0;0;8;15;7;0;0;0;0;0;6;0;NA;17;0;6;0;0;6;0;NA;0;7;0;7;0;6;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;NA;0;0;0
1967;0;9;0;9;0;12;12;0;18;0;0;NA;6;7;0;0;0;7;0;6;0;0;12;0;0;0;0;0;16;15;0;0;0;0;6;15;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;6;8;15;13;8;0
1968;13;14;7;0;0;6;7;0;7;8;8;8;9;14;6;6;8;7;15;7;16;8;15;0;0;0;13;6;6;21;6;6;0;6;0;7;0;0;8;0;0;0;6;0;0;0;0;0;13;6;0;6;13;8;7;0;0
1969;0;0;0;0;0;0;0;6;NA;6;0;8;0;NA;0;0;0;0;9;0;6;6;0;6;0;0;0;6;0;0;19;0;0;0;0;0;0;13;0;6;0;6;6;0;0;0;0;7;0;13;0;0;0;0;0;0;0
1970;0;6;7;0;0;0;8;0;12;0;0;0;6;0;0;0;0;0;0;0;0;0;0;6;7;0;0;NA;0;6;NA;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
1971;0;0;0;0;0;6;14;0;0;0;0;0;8;0;0;NA;NA;0;0;NA;0;0;0;NA;0;7;6;6;0;0;8;7;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;9;0;7;6;0;0
1972;0;NA;0;0;7;0;0;0;0;0;NA;0;0;0;0;NA;NA;0;0;NA;0;0;0;0;0;0;0;NA;0;0;6;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0
1973;8;6;0;8;0;0;0;0;6;NA;7;0;0;7;0;0;8;0;7;6;0;0;NA;0;0;0;0;NA;0;0;0;8;6;0;0;0;6;0;0;0;0;0;0;6;0;0;6;6;0;0;0;0;NA;8;7;0;0
