yy;anomAnnualePesata;anomAnnuale
1961;-0.32349256055972003;-0.3002971021276015
1962;-1.230296566545986;-1.2273801517016436
1963;-1.5412820602122983;-1.5428800801795908
1964;-1.0669016970798342;-1.0568174944609088
1965;-1.4638382079933896;-1.4761095290833584
1966;-1.1201420812021359;-1.0932483478336477
1967;-0.7800931903331784;-0.7825342997727351
1968;-1.2070794270554128;-1.196048396331865
1969;-1.5213958013708078;-1.5228682566565093
1970;-1.0743323637957867;-1.063710534410618
1971;-1.0755857033377074;-1.0721613932118814
1972;-1.5072898852868344;-1.4993986126492564
1973;-1.006292962438052;-1.0035231638829742
1974;-1.1605756982546807;-1.1507569991515527
1975;-1.0323460679841399;-1.0272822475173622
1976;-1.5435248008038087;-1.5357243117128967
1977;-0.9908302570283578;-0.9779683760814684
1978;-1.638398681221591;-1.63442348678601
1979;-1.2547890648527509;-1.2499305103061593
1980;-1.7926766204360793;-1.7795281895582342
1981;-1.1093551731064475;-1.107166895496295
1982;-0.5655037660497995;-0.5643673149218491
1983;-0.6510606660840973;-0.6652765155930833
1984;-1.597839512117442;-1.598088533124401
1985;-0.8029292401890877;-0.7995526286956447
1986;-0.8963735603547296;-0.9140561070998945
1987;-0.8574106155148564;-0.8493508238008411
1988;-0.462736850097072;-0.4687689690527763
1989;-0.4565309340403198;-0.44897561408081627
1990;-0.18368444313202756;-0.16497814005278974
1991;-1.1170134000199123;-1.1208790612958368
1992;-0.4641966081293936;-0.4618913662116722
1993;-0.5252116080668248;-0.5270917738912286
1994;0.2555660593391111;0.23974391997643407
1995;-0.8960606889981335;-0.8845697110043478
1996;-1.172945766805221;-1.1741601735702039
1997;-0.03286888891907812;-0.02535056333932385
1998;-0.15212645308678482;-0.13480312015734042
1999;-0.145868741398077;-0.1529861855444689
2000;0.34096400062407234;0.3451034008073834
2001;0.16578911065031993;0.1608281085762614
2002;-0.061829775974840635;-0.04685702391469932
2003;0.5542590504583321;0.5309722086024576
2004;-0.4202424849565611;-0.41731671966871664
2005;-0.8039746198416206;-0.8171719305353223
2006;0.10175167132641309;0.10075122017251067
2007;0.4279548778449241;0.43760056724489343
2008;0.0625810833027621;0.06245884248354576
2009;0.09488801383555831;0.08645164925747723
2010;-0.8482298444880506;-0.8441153438778093
2011;0.46255167980536177;0.4701405804900969
2012;0.5150991562874148;0.49891432675748704
2013;-0.1604693935703588;-0.17217259713037447
2014;0.3810082032796056;0.3951211602683604
2015;0.6765684812469194;0.6645049982017742
2016;0.32174077698913384;0.33177866909865283
2017;0.6399952962467357;0.642037141191886
2018;0.4798260406915237;0.46327438848261066
2019;0.6229925003450849;0.6346661396741349
2020;0.6384891618953171;0.6514943231353442
