yy;anomAnnualePesata;anomAnnuale
1961;-0.23470378400587763;-0.21545172296687573
1962;-1.1033757214904925;-1.1020286962645158
1963;-1.229925481512174;-1.231483092538897
1964;-0.824033381696229;-0.8156588771488132
1965;-1.3318197420653812;-1.3448995164679927
1966;-0.8150473163263697;-0.7867798552970494
1967;-0.6689927072248353;-0.669340308179859
1968;-0.9824389750692184;-0.9686880831544787
1969;-1.1995556164356627;-1.1992446527866931
1970;-0.9740543901110417;-0.9634265405358198
1971;-0.9870023780976033;-0.9840707197060781
1972;-1.1115979820971174;-1.102615598338576
1973;-0.9341749041389414;-0.9327241410785739
1974;-1.0167705722566605;-1.0026868209087536
1975;-0.8862748730550352;-0.8827878216650823
1976;-1.3376218947300607;-1.3298815254444614
1977;-0.7871385940465221;-0.7738891216418157
1978;-1.445573247660732;-1.441072750090849
1979;-1.0072994197752776;-0.9983996444986538
1980;-1.5737265022380809;-1.5632684712969123
1981;-1.1013910241903158;-1.10074656709518
1982;-0.42761094597089067;-0.42774404765724244
1983;-0.6670796556365959;-0.6804628171963338
1984;-1.3559828045886808;-1.3558790832342016
1985;-0.7417384352524455;-0.7391416610004307
1986;-0.7415281388812515;-0.7534184669669565
1987;-0.7024911588548618;-0.692369798406662
1988;-0.3701095516784678;-0.37756581780399867
1989;-0.5416009931149391;-0.5339940611035021
1990;-0.2240884450108248;-0.20780736357569102
1991;-1.0575236987569694;-1.0623240567347112
1992;-0.31457617289364553;-0.314539796862642
1993;-0.5161517697852915;-0.5215499173383361
1994;0.3118356489574615;0.3004087569897539
1995;-0.8234251475458274;-0.8131764978590322
1996;-0.9475869567126072;-0.9500592459518887
1997;-0.09839300310949428;-0.09191164952794473
1998;-0.23580665140235216;-0.2225444269253586
1999;-0.10610434808514686;-0.11695137014470071
2000;0.3083133592311945;0.31149469115086625
2001;0.11879578861556607;0.11159420808987754
2002;0.08632569390015057;0.10141381756927142
2003;0.3816067685026622;0.358663648404751
2004;-0.30182098785079375;-0.2996234050995852
2005;-0.7256490073105363;-0.7373528487323215
2006;0.00460070188264764;0.003498403832452198
2007;0.25042851528065513;0.2613039190645334
2008;0.08368236026299816;0.0828700994866682
2009;0.10838617519712175;0.10184714583732096
2010;-0.6230749500891405;-0.6178551077697838
2011;0.30099189522786635;0.3089197837843092
2012;0.3166097379514942;0.3043396990480604
2013;-0.055640370398464305;-0.06683079421842181
2014;0.5455603585761208;0.5620244000199244
2015;0.6026083355373819;0.5929475333190397
2016;0.35563291374760764;0.3678518454609474
2017;0.3065307499590087;0.31496608072698457
2018;0.6049372352182698;0.5916983479212898
2019;0.5657991682528766;0.5740329033492321
2020;0.518429706351789;0.5279538591726599
