yy;anomAnnualePesata;anomAnnuale
1961;0.541706882450193;0.5521738150645007
1962;-0.2636325074513335;-0.26923026029918007
1963;-0.1464763679498587;-0.15247005775355685
1964;0.21287912495939923;0.21667184065325615
1965;-0.41244236392534606;-0.43238944995340434
1966;0.24895333455403332;0.27452044019095484
1967;0.20289716449110742;0.19794095326614708
1968;-0.03590834215793022;-0.022252730322796132
1969;-0.1815405840901927;-0.18586999704094287
1970;-0.16619626151568023;-0.1605484989099596
1971;-0.16394902315718707;-0.16769663622391942
1972;0.058114196777013925;0.06576821957881564
1973;-0.0849693046638742;-0.091435248725837
1974;-0.06558940686556952;-0.052972173887755616
1975;0.0708462125169716;0.06545200792136391
1976;-0.35233984622665404;-0.3487699891896939
1977;0.2694488387052255;0.2778578621222287
1978;-0.4741761388060843;-0.4758069807341911
1979;-0.00248800988066336;0.003927771065327108
1980;-0.6633010468470901;-0.6589152719651934
1981;-0.3126137421234988;-0.3208401759124458
1982;0.517869768770186;0.5098281584896732
1983;0.0845045034260024;0.06475899304753506
1984;-0.3688698137303077;-0.37254497818929255
1985;0.0413652723322465;0.03742218141122563
1986;0.14252032339932927;0.12910944745342398
1987;0.23259155376415944;0.23902197978142375
1988;0.5147239549700743;0.5018587131714753
1989;0.14507878101855168;0.14792862281344474
1990;0.5349707445281047;0.5438602495401614
1991;-0.22430144518928727;-0.2368476088468824
1992;0.6330125617264433;0.6275187488927915
1993;0.29550008447482756;0.2792520018752938
1994;1.177348376267114;1.1641294179817254
1995;0.010359051437237303;0.014644400084684312
1996;0.034845590639953114;0.027113870766178324
1997;0.6420376343752506;0.6423197962509598
1998;0.43049974101278066;0.43465382583564177
1999;0.6532745360588388;0.6333456357495718
2000;0.9925408999873566;0.9914042608739785
2001;0.8374901704070232;0.8221086224015797
2002;1.0303158978400533;1.0415368306409984
2003;1.0042929879665667;0.9746873989481223
2004;0.6524557975730559;0.6510677419831531
2005;0.144309129714035;0.1282533006416696
2006;0.7189565565996977;0.7131262544539423
2007;0.8923922565652981;0.8992541049216218
2008;0.9236713461751664;0.9177168842509882
2009;0.9594271245413801;0.9496157364350936
2010;0.47745426223265997;0.47842737693502096
2011;0.9919612462234353;0.9946556426846161
2012;0.9101599466078014;0.8984046238246275
2013;0.9032952059308925;0.886406006908951
2014;1.5805008830011518;1.5937314573503758
2015;1.375924922743369;1.3633552555892507
2016;1.281390524194687;1.2933366541918179
2017;0.8677031140734094;0.8777573666983158
2018;1.7212198401559344;1.7068229173654386
2019;1.4119140290124266;1.4119517517408555
2020;1.251149766302266;1.254212659931703
