yy;anomAnnualePesata;anomAnnuale
1961;0.5952532779846713;0.6050842278683295
1962;-0.27365822001185375;-0.27970874807735746
1963;-0.10778646882530764;-0.11397130863442018
1964;0.24265429180006182;0.24616061720466295
1965;-0.48392284365801325;-0.504448785271676
1966;0.19347497091474644;0.21732717728468037
1967;0.1306237987574857;0.12592548147262367
1968;-0.0794350668094479;-0.06658132516706944
1969;-0.11194890405088383;-0.11671563305630915
1970;-0.10497576469159844;-0.10020157784266459
1971;-0.17132279997785102;-0.17457426177260132
1972;0.07091265138120958;0.07771823002661848
1973;-0.09787813357994007;-0.10436259582467233
1974;-0.12429466106505743;-0.11225426511727657
1975;0.01374542404436803;0.008885010532527696
1976;-0.3736375665001207;-0.3698985034816459
1977;0.18448496278411267;0.19126828947726607
1978;-0.4452229832357402;-0.4474127187054088
1979;-0.009348013953082924;-0.0029593001924828563
1980;-0.5705794792056642;-0.5661171729613563
1981;-0.32261647301277424;-0.32983202191626326
1982;0.5549070718008442;0.547276812483857
1983;0.12244647768194546;0.10360628032164053
1984;-0.346439502149343;-0.3502015270656861
1985;0.1298113569699846;0.1259863761004491
1986;0.1533283204759513;0.14017733882791353
1987;0.238029912819748;0.24452825005780265
1988;0.49361681687514786;0.4816154101896998
1989;0.12902435063341533;0.13184029318648732
1990;0.5207241210890298;0.5293306487687939
1991;-0.25326037648423894;-0.26440839472694766
1992;0.597364984832913;0.5917871027224623
1993;0.2786029952167058;0.2629868776562384
1994;1.0981222532661092;1.0850284121284004
1995;-0.008103598310094285;-0.005414942623498539
1996;0.02912714432476107;0.021785657008314308
1997;0.6189083877791409;0.6189629855870196
1998;0.41088852473024423;0.41590457906688366
1999;0.6388891438390104;0.6187441106864271
2000;0.9534304474652643;0.9529326700681968
2001;0.7789988736028566;0.7644673714637059
2002;0.9714279224178132;0.9813065457171156
2003;0.9655565488931396;0.9370264608507081
2004;0.5842340956003591;0.5819426727660328
2005;0.13300051273819022;0.1173607513534025
2006;0.7245633851619828;0.7180563583594134
2007;0.9123391728729212;0.9183147262335808
2008;0.9469681298393251;0.9415371971785225
2009;1.0232179178170053;1.0120601760519385
2010;0.4389231949141541;0.4390936627416857
2011;0.966775720863675;0.9695233855679728
2012;0.9423196088541671;0.9300711923662871
2013;0.8555670424274283;0.8388619492817122
2014;1.535119330960133;1.5478041538746414
2015;1.4053786887206374;1.3918352038689796
2016;1.2388933581649106;1.249654735458602
2017;0.8288760104678999;0.8379085160180424
2018;1.5221099701200558;1.5066252083112524
2019;1.353196920510555;1.351975119460541
2020;1.2644240206540074;1.267444317085983
