yy;anomAnnualePesata;anomAnnuale
1961;-0.14591500747038424;-0.13060634382600164
1962;-0.9764548764511322;-0.9766772408439023
1963;-0.9185689027360366;-0.9200861048211644
1964;-0.5811650663114898;-0.5745002598350285
1965;-1.1998012761378423;-1.2136895038511553
1966;-0.5099525514812505;-0.4803113627895515
1967;-0.5578922241155926;-0.55614631658494
1968;-0.7577985231081271;-0.7413277700018891
1969;-0.87771543143271;-0.875621048848303
1970;-0.8737764163686237;-0.8631425466046316
1971;-0.8984190528406708;-0.8959800461842803
1972;-0.7159060789992254;-0.70583258411925065
1973;-0.8620568458107666;-0.8619251182464686
1974;-0.872965446353227;-0.8546166427598344
1975;-0.7402036781682055;-0.7382933958536149
1976;-1.1317189887120158;-1.124038739231451
1977;-0.5834469309892205;-0.5698098671285281
1978;-1.2527478140708643;-1.2477220133680011
1979;-0.7598097747395778;-0.7468687787322499
1980;-1.3547763840004396;-1.347008752994004
1981;-1.0934268752388367;-1.0943262386598018
1982;-0.289718125897118;-0.29112078039697153
1983;-0.683098645188793;-0.6956491188004341
1984;-1.1141260971690345;-1.1136696334520038
1985;-0.6805476303123449;-0.6787306933027717
1986;-0.5866827174175245;-0.5927808268437982
1987;-0.5475717022627141;-0.5353887730792725
1988;-0.2774822533078148;-0.2863626666031471
1989;-0.6266710522345168;-0.6190125081731992
1990;-0.26449244687212015;-0.2506365870788635
1991;-0.9980339975688844;-1.0037690522473481
1992;-0.16495573761545246;-0.1671882274717926
1993;-0.5070919315079968;-0.5160080607901023
1994;0.3681052386250131;0.36107359405083217
1995;-0.750789606124319;-0.7417832847466466
1996;-0.7222281466160353;-0.7259583183294526
1997;-0.16391711731282502;-0.15847273573036724
1998;-0.3194868497351478;-0.31028573371092016
1999;-0.0663399547587383;-0.08091655472987333
2000;0.2756627178354876;0.27788598149182003
2001;0.0718024665754674;0.06236030759933075
2002;0.23448116375979877;0.24968465903982445
2003;0.20895448658917226;0.18635508825006294
2004;-0.1833994907685058;-0.1819300905538216
2005;-0.6473233948137712;-0.6575337669628634
2006;-0.09255026752810251;-0.0937544124760039
2007;0.07290215271604178;0.08500727088325981
2008;0.10478363724181362;0.10328135650925403
2009;0.12188433653838258;0.11724264239791554
2010;-0.39792005563277366;-0.3915948716037313
2011;0.13943211065515623;0.14769898708281554
2012;0.11812031963181167;0.1097650713536454
2013;0.04918865282015601;0.03851100874067544
2014;0.7101125139181257;0.7289276398162359
2015;0.5286481897943012;0.5213900684027113
2016;0.3895250504715865;0.4039250217865981
2017;-0.02693379633563876;-0.01210497974593813
2018;0.730048429766544;0.7201223073817976
2019;0.5086058362014411;0.513399667064685
2020;0.39837025075979365;0.4044133951600394
