yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2013;abruzzo_2;abruzzo;2;4;2;TERAMO;100;42.65472222;13.71722222;264
2013;abruzzo_2258;abruzzo;2258;4;2258;SULMONA;810;42.06861111;13.91444444;365
2013;aeronautica_6794;aeronautica;6794;4;6794;GROSSETO;162060;42.75;11.067;7
2013;aeronautica_6814;aeronautica;6814;4;6814;GUIDONIA;162340;42;12.733;89
2013;aeronautica_6815;aeronautica;6815;4;6815;ROMA/URBE;162350;41.95;12.5;24
2013;aeronautica_6817;aeronautica;6817;4;6817;ROMA/CIAMPINO;162390;41.783;12.583;105
2013;aeronautica_6820;aeronautica;6820;4;6820;LATINA;162430;41.55;12.9;26
2013;aeronautica_6827;aeronautica;6827;4;6827;GRAZZANISE;162530;41.05;14.067;10
2013;aeronautica_6834;aeronautica;6834;4;6834;AMENDOLA;162610;41.533;15.717;60
2013;aeronautica_6844;aeronautica;6844;4;6844;"NAPOLI/CAPODICHINO";162890;40.85;14.3;72
2013;aeronautica_6847;aeronautica;6847;4;6847;CAPRI;162940;40.55;14.2;161
2013;aeronautica_6857;aeronautica;6857;4;6857;GROTTAGLIE;163240;40.517;17.4;69
2013;aeronautica_6858;aeronautica;6858;4;6858;MARINA DI GINOSA;163250;40.433;16.883;12
2013;aeronautica_6859;aeronautica;6859;4;6859;LECCE;163320;40.233;18.15;61
2013;aeronautica_6870;aeronautica;6870;4;6870;LAMEZIA TERME;163620;38.9;16.25;15
2013;aeronautica_6876;aeronautica;6876;4;6876;PALERMO/PUNTA RAISI;164050;38.183;13.1;21
2013;aeronautica_6881;aeronautica;6881;4;6881;MESSINA;164200;38.2;15.55;51
2013;aeronautica_6882;aeronautica;6882;4;6882;REGGIO CALABRIA;164220;38.067;15.65;21
2013;aeronautica_6883;aeronautica;6883;4;6883;TRAPANI/BIRGI;164290;37.917;12.5;14
2013;aeronautica_6889;aeronautica;6889;4;6889;GELA;164530;37.083;14.217;65
2013;aeronautica_6891;aeronautica;6891;4;6891;CATANIA/SIGONELLA;164590;37.4;14.917;22
2013;aeronautica_6893;aeronautica;6893;4;6893;CATANIA/FONTANAROSS;164600;37.467;15.05;17
2013;aeronautica_6901;aeronautica;6901;4;6901;COZZO SPADARO;164800;36.683;15.133;51
2013;aeronautica_6902;aeronautica;6902;4;6902;LAMPEDUSA;164900;35.5;12.6;20
2013;basilicata_2;basilicata;2;4;2;Torre Accio;177000;40.3925;16.6539;21
2013;calabria_107;calabria;107;4;107;Crotone - Papanice;1675;39.0725;17.02777778;118
2013;calabria_111;calabria;111;4;111;Crotone - Salica;1695;39.01222222;17.12611111;145
2013;calabria_112;calabria;112;4;112;Isola di Capo Rizzuto - Campolongo;1700;38.94305556;17.0088;151
2013;calabria_18;calabria;18;4;18;Torano Scalo;1130;39.49388889;16.21;93
2013;calabria_196;calabria;196;4;196;Gioiosa Ionica;2160;38.30111111;16.32972222;18
2013;calabria_2;calabria;2;4;2;Cosenza;1010;39.28694444;16.26527778;269
2013;calabria_20;calabria;20;4;20;Tarsia;1140;39.61722222;16.27277778;203
2013;calabria_202;calabria;202;4;202;Antonimina;2200;38.25972222;16.18055556;126
2013;calabria_208;calabria;208;4;208;Plati';2230;38.22222222;16.04444444;329
2013;calabria_233;calabria;233;4;233;Reggio Calabria;2450;38.10786111;15.65094444;72
