yy;id;regione;SiteId;cluster;SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation
2013;aeronautica_6686;aeronautica;6686;6;6686;S. VALENTINO ALLA M;160080;46.75;10.533;1461
2013;aeronautica_6687;aeronautica;6687;6;6687;RESIA PASS;160083;46.833;10.5;1800
2013;aeronautica_6691;aeronautica;6691;6;6691;PASSO ROLLE;160210;46.3;11.783;2006
2013;aeronautica_6692;aeronautica;6692;6;6692;PAGANELLA;160220;46.15;11.033;2129
2013;aeronautica_6703;aeronautica;6703;6;6703;PIAN ROSA;160520;45.933;7.7;3488
2013;aeronautica_6865;aeronautica;6865;6;6865;MONTE SCURO;163440;39.333;16.4;1720
2013;bolzano_110;bolzano;110;6;110;Predoi;50500MS;47.03658867;12.09912721;1515
2013;bolzano_166;bolzano;166;6;166;Selva Gardena;73500MS;46.54555526;11.76842971;1713
2013;bolzano_206;bolzano;206;6;206;Nova Ponente;85120MS;46.42048615;11.42685821;1416
2013;bolzano_23;bolzano;23;6;23;Diga di Gioveretto Osservatore;11200BM;46.50906285;10.72507183;1896
2013;bolzano_28;bolzano;28;6;28;Vernago;15800MS;46.73565796;10.84927965;1823
2013;bolzano_83;bolzano;83;6;83;Ridanna;34500MS;46.90908292;11.30677415;1337
2013;calabria_14;calabria;14;6;14;Camigliatello - Monte Curcio;1092;39.31611111;16.42305556;1711
2013;lazio_388;lazio;388;6;388;Monte Terminillo;481000;42.4556;12.9928;1594
2013;piemonte_5608;piemonte;5608;6;5608;PONTECHIANALE;00283;44.613;7.054;1650
2013;piemonte_5630;piemonte;5630;6;5630;LAGO AGNEL;00237;45.469;7.14;2326
2013;piemonte_5644;piemonte;5644;6;5644;ALPE CHEGGIO;00160;46.086;8.117;1661
2013;piemonte_5651;piemonte;5651;6;5651;ALPE DEVERO;00154;46.317;8.261;1700
2013;trentino_6516;trentino;6516;6;6516;Passo Cereda;24;46.194016;11.906843;1375
2013;trentino_6525;trentino;6525;6;6525;Careser (Diga);65;46.42264;10.699326;2600
2013;trentino_6543;trentino;6543;6;6543;Paganella;99;46.143291;11.037444;2125
2013;trentino_6546;trentino;6546;6;6546;Passo Rolle;103;46.297214;11.787638;1995
2013;trentino_6547;trentino;6547;6;6547;Passo Valles;104;46.338417;11.799764;2032
2013;trentino_6585;trentino;6585;6;6585;Pradalago Rifugio Agostini;167;46.249712;10.813874;2084
2013;trentino_6636;trentino;6636;6;6636;Tremalzo;354;45.84185;10.683719;1520
2013;trentino_6638;trentino;6638;6;6638;Passo Tonale T0360;360;46.261915;10.635572;1880
2013;trentino_6639;trentino;6639;6;6639;Pejo Frana;366;46.364472;10.678177;1580
2013;trentino_6644;trentino;6644;6;6644;Malga Bissina;373;46.053933;10.514022;1750
2013;valledaosta_111;valledaosta;111;6;111;La Thuile - Les Granges;4050;45.7297;6.96684;1637
2013;valledaosta_20;valledaosta;20;6;20;Courmayeur - Mont de la Saxe;1200;45.817;6.98204;2076
2013;valledaosta_47;valledaosta;47;6;47;Pré-Saint-Didier - Plan Praz;1500;45.7549;6.95245;2044
2013;valledaosta_57;valledaosta;57;6;57;Valgrisenche - Menthieu;1620;45.6137;7.0525;1859
2013;veneto_5675;veneto;5675;6;5675;Arabba;00003;46.49926;11.87637;1653
