yy,aeronautica_6771,aeronautica_6773,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6822,aeronautica_6841,aeronautica_6850,aeronautica_6851,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6897,friuliveneziagiulia_51,lazio_276,marche_701,sicilia_6120,toscana_464,toscana_55,toscana_72,toscana_78,aeronautica_6693,aeronautica_6697,aeronautica_6709,bolzano_176,bolzano_223,bolzano_39,bolzano_94,friuliveneziagiulia_47,toscana_25,trentino_6509,trentino_6511,trentino_6564,trentino_6640,aeronautica_6782,aeronautica_6826,marche_104,marche_109,marche_123,marche_703,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6859,aeronautica_6876,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6901,lazio_240,lazio_278,lazio_289,marche_25,sicilia_11825,sicilia_11832,sicilia_11883,sicilia_11898,sicilia_11933,sicilia_11942,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6721,aeronautica_6723,aeronautica_6729,aeronautica_6730,aeronautica_6733,aeronautica_6769,bolzano_203,emiliaromagna_12702,emiliaromagna_14246,emiliaromagna_9224,friuliveneziagiulia_14,friuliveneziagiulia_20,friuliveneziagiulia_39,marche_108,marche_110,marche_605,trentino_6570,lazio_388,aeronautica_6919,aeronautica_6922,aeronautica_6923
1961,NA,7.969999999999999,NA,8.170000000000002,16.769999999999996,21.28,22.17,17.430000000000007,19.180000000000007,13.209999999999994,22.819999999999993,6.780000000000001,-7.260000000000005,13.170000000000002,4.6200000000000045,15.269999999999996,NA,11.230000000000004,8.040000000000006,11.14,1.1200000000000045,NA,5.780000000000001,4,-6.329999999999998,-5.4,10.58,9.920000000000002,8.3,8.36,NA,NA,-1.5200000000000031,9.8,-25.310000000000002,21.83,0.6000000000000014,2.8900000000000006,18.159999999999997,9.04,6.640000000000001,13.209999999999994,NA,7.280000000000001,8.14,NA,6.709999999999994,NA,NA,10.89,NA,NA,-7.329999999999998,21.659999999999997,NA,22.92,7.689999999999998,9.89,11.780000000000001,30.03,NA,NA,15,19.290000000000006,10.209999999999994,NA,NA,NA,-8.209999999999994,22.540000000000006,20.629999999999995,15.310000000000002,23.58,8.700000000000003,14.430000000000007,-2.2900000000000063,23.430000000000007,10.310000000000002,10.299999999999997,13.799999999999997,-0.85,NA,13.959999999999994,4.689999999999998
1962,NA,-1.0300000000000011,NA,NA,1.769999999999996,6.280000000000001,13.170000000000002,10.430000000000007,11.180000000000007,10.209999999999994,11.819999999999993,4.780000000000001,NA,12.170000000000002,-3.3799999999999955,-0.730000000000004,21.269999999999996,4.230000000000004,-1.9599999999999937,1.1400000000000006,9.120000000000005,NA,-0.21999999999999886,19,3.6700000000000017,-6.4,7.58,4.920000000000002,10.3,31.36,14.04,-0.03999999999999915,0.4799999999999969,18.8,NA,23.83,20.6,15.89,20.159999999999997,23.04,-4.359999999999999,-4.790000000000006,NA,3.280000000000001,0.14000000000000057,NA,-6.290000000000006,5.409999999999997,NA,2.8900000000000006,NA,NA,-10.329999999999998,9.659999999999997,23.78,19.92,8.689999999999998,NA,7.780000000000001,17.03,NA,NA,7,8.290000000000006,-0.7900000000000063,-10.650000000000006,2.3299999999999983,NA,-4.209999999999994,4.540000000000006,6.6299999999999955,5.310000000000002,1.5799999999999983,11.700000000000003,10.430000000000007,5.709999999999994,3.430000000000007,-2.6899999999999977,3.299999999999997,15.799999999999997,-0.85,7.3300000000000125,9.959999999999994,-3.3100000000000023
1963,NA,-11.030000000000001,NA,-18.83,-0.23000000000000398,-2.719999999999999,0.1700000000000017,-6.569999999999993,2.180000000000007,4.209999999999994,8.819999999999993,-7.219999999999999,-10.260000000000005,10.170000000000002,-2.3799999999999955,-2.730000000000004,0.269999999999996,-15.769999999999996,-9.959999999999994,-24.86,-11.879999999999995,NA,3.780000000000001,-14,-11.329999999999998,-6.4,NA,-1.0799999999999983,NA,-7.640000000000001,3.039999999999999,-10.04,-25.520000000000003,-5.199999999999999,-22.310000000000002,10.829999999999998,0.6000000000000014,-4.109999999999999,NA,-6.960000000000001,-2.3599999999999994,-9.790000000000006,NA,-0.7199999999999989,-9.86,NA,-7.290000000000006,-9.590000000000003,NA,-8.11,NA,NA,-15.329999999999998,-0.3400000000000034,24.78,-3.0799999999999983,NA,-1.1099999999999994,-20.22,-0.9699999999999989,NA,NA,-20,-6.709999999999994,-8.790000000000006,-6.650000000000006,10.329999999999998,NA,-5.209999999999994,-4.459999999999994,1.6299999999999955,-4.689999999999998,-5.420000000000002,1.7000000000000028,4.430000000000007,11.709999999999994,-0.5699999999999932,-8.689999999999998,-14.700000000000003,-16.200000000000003,-0.85,-12.669999999999987,-0.04000000000000625,-22.310000000000002
1964,27.72,23.97,0.0799999999999983,NA,19.769999999999996,26.28,11.170000000000002,-7.569999999999993,-3.819999999999993,3.2099999999999937,3.819999999999993,-2.219999999999999,-27.260000000000005,11.170000000000002,12.620000000000005,3.269999999999996,NA,21.230000000000004,18.040000000000006,4.140000000000001,-31.879999999999995,NA,-2.219999999999999,-6,-17.33,-5.4,-6.42,NA,NA,-4.640000000000001,7.039999999999999,5.960000000000001,-12.520000000000003,3.8000000000000007,-27.310000000000002,NA,2.6000000000000014,-12.11,12.159999999999997,-6.960000000000001,16.64,19.209999999999994,13,-8.719999999999999,-12.86,NA,-6.290000000000006,9.409999999999997,NA,2.8900000000000006,NA,12.379999999999995,0.6700000000000017,9.659999999999997,16.78,NA,-8.310000000000002,-2.1099999999999994,-6.219999999999999,7.030000000000001,NA,NA,4,10.290000000000006,6.209999999999994,3.3499999999999943,26.33,NA,-6.209999999999994,12.540000000000006,8.629999999999995,14.310000000000002,3.5799999999999983,-4.299999999999997,8.430000000000007,30.709999999999994,24.430000000000007,-2.6899999999999977,-7.700000000000003,12.799999999999997,-0.85,24.330000000000013,16.959999999999994,11.689999999999998
1965,-11.280000000000001,-21.03,NA,NA,NA,-26.72,-15.829999999999998,-23.569999999999993,-5.819999999999993,6.209999999999994,7.819999999999993,-16.22,-10.260000000000005,-11.829999999999998,-7.3799999999999955,-15.730000000000004,NA,-24.769999999999996,-9.959999999999994,-17.86,-27.879999999999995,-0.35999999999999943,NA,NA,-24.33,-3.4000000000000004,-9.42,NA,-9.7,2.3599999999999994,NA,-2.039999999999999,-23.520000000000003,-8.2,-14.310000000000002,NA,0.6000000000000014,-2.1099999999999994,NA,6.039999999999999,-13.36,-2.7900000000000063,-3,4.280000000000001,-3.8599999999999994,-8.170000000000002,NA,-2.5900000000000034,-13.039999999999992,-3.1099999999999994,-5.75,-31.620000000000005,-13.329999999999998,-2.3400000000000034,0.7800000000000011,5.920000000000002,NA,1.8900000000000006,-8.219999999999999,8.030000000000001,-23.709999999999994,-5.3799999999999955,-36,-26.709999999999994,-18.790000000000006,-31.650000000000006,-20.67,-21.5,-25.209999999999994,-23.459999999999994,-6.3700000000000045,-18.689999999999998,-1.4200000000000017,-10.299999999999997,-17.569999999999993,-1.2900000000000063,8.430000000000007,7.310000000000002,-15.700000000000003,-16.200000000000003,2.15,-11.669999999999987,-5.040000000000006,-24.310000000000002
1966,-1.2800000000000011,-7.030000000000001,6.079999999999998,-0.8299999999999983,19.769999999999996,-2.719999999999999,-1.8299999999999983,2.430000000000007,-2.819999999999993,13.209999999999994,9.819999999999993,-20.22,NA,12.170000000000002,5.6200000000000045,5.269999999999996,NA,-3.769999999999996,-5.959999999999994,-17.86,-39.879999999999995,-5.359999999999999,-17.22,-11,-26.33,-9.4,-12.42,NA,-12.7,-7.640000000000001,NA,-12.04,-30.520000000000003,-10.2,-7.310000000000002,1.8299999999999983,15.600000000000001,-9.11,NA,14.04,4.640000000000001,27.209999999999994,9,8.280000000000001,-0.8599999999999994,1.8299999999999983,2.7099999999999937,15.409999999999997,-6.039999999999992,-3.1099999999999994,10.25,9.379999999999995,5.670000000000002,20.659999999999997,5.780000000000001,5.920000000000002,NA,12.89,NA,10.030000000000001,-13.709999999999994,-2.3799999999999955,3,6.290000000000006,-2.7900000000000063,0.3499999999999943,5.329999999999998,0.5,-8.209999999999994,NA,2.6299999999999955,NA,NA,-16.299999999999997,3.430000000000007,26.709999999999994,26.430000000000007,22.310000000000002,8.299999999999997,-8.200000000000003,-0.85,12.330000000000013,22.959999999999994,5.689999999999998
1967,8.719999999999999,-8.030000000000001,2.0799999999999983,-0.8299999999999983,-5.230000000000004,-11.719999999999999,-5.829999999999998,-22.569999999999993,18.180000000000007,-5.790000000000006,1.8199999999999932,-16.22,19.739999999999995,16.17,-0.37999999999999545,-12.730000000000004,23.269999999999996,-4.769999999999996,3.0400000000000063,18.14,-26.879999999999995,0.6400000000000006,6.780000000000001,0,-16.33,-7.4,NA,4.920000000000002,NA,7.359999999999999,12.04,-0.03999999999999915,-24.520000000000003,-2.1999999999999993,-10.310000000000002,12.829999999999998,8.600000000000001,6.890000000000001,NA,26.04,-3.3599999999999994,11.209999999999994,-6,8.280000000000001,4.140000000000001,-5.170000000000002,-11.290000000000006,5.409999999999997,1.960000000000008,4.890000000000001,4.25,9.379999999999995,-3.3299999999999983,25.659999999999997,6.780000000000001,NA,20.689999999999998,-1.1099999999999994,-18.22,19.03,-7.709999999999994,3.6200000000000045,3,2.2900000000000063,3.2099999999999937,1.3499999999999943,2.3299999999999983,5.5,0.7900000000000063,-13.459999999999994,3.6299999999999955,-1.6899999999999977,-1.4200000000000017,2.700000000000003,11.430000000000007,4.709999999999994,36.43000000000001,19.310000000000002,3.299999999999997,-6.200000000000003,0.15000000000000002,17.330000000000013,15.959999999999994,0.6899999999999977
1968,-15.280000000000001,-15.030000000000001,-11.920000000000002,-16.83,-5.230000000000004,-17.72,-21.83,-15.569999999999993,-26.819999999999993,-3.7900000000000063,-18.180000000000007,-30.22,-4.260000000000005,-15.829999999999998,-4.3799999999999955,-27.730000000000004,4.269999999999996,-13.769999999999996,-5.959999999999994,-17.86,-56.879999999999995,-0.35999999999999943,-14.219999999999999,-16,-21.33,-6.4,-10.42,-8.079999999999998,-11.7,-9.64,-11.96,-3.039999999999999,-24.520000000000003,-15.2,-18.310000000000002,-24.17,-18.4,-23.11,-28.840000000000003,-27.96,0.6400000000000006,-4.790000000000006,1,11.280000000000001,0.14000000000000057,-6.170000000000002,-13.290000000000006,-9.590000000000003,4.960000000000008,-7.109999999999999,-1.75,-5.6200000000000045,2.6700000000000017,14.659999999999997,22.78,50.92,38.69,3.8900000000000006,-17.22,8.030000000000001,-25.709999999999994,-9.379999999999995,-17,-25.709999999999994,-20.790000000000006,-24.650000000000006,-23.67,-24.5,-27.209999999999994,-26.459999999999994,-12.370000000000005,-21.689999999999998,-4.420000000000002,-22.299999999999997,-17.569999999999993,-6.290000000000006,19.430000000000007,11.310000000000002,-24.700000000000003,-36.2,0.15000000000000002,10.330000000000013,6.959999999999994,5.689999999999998
1969,-1.2800000000000011,-6.030000000000001,-6.920000000000002,-17.83,-3.230000000000004,-32.72,-19.83,-19.569999999999993,-10.819999999999993,-13.790000000000006,-15.180000000000007,-34.22,-26.260000000000005,0.1700000000000017,-18.379999999999995,-22.730000000000004,1.269999999999996,-2.769999999999996,NA,NA,NA,2.6400000000000006,-4.219999999999999,-1,-12.329999999999998,1.5999999999999996,-9.42,2.9200000000000017,-10.7,NA,5.039999999999999,4.960000000000001,-17.520000000000003,-2.1999999999999993,-6.310000000000002,-20.17,-6.399999999999999,9.89,-24.840000000000003,-18.96,-5.359999999999999,-5.790000000000006,7,1.2800000000000011,-3.8599999999999994,-34.17,-12.290000000000006,-16.590000000000003,-24.039999999999992,-12.11,2.25,-3.6200000000000045,2.6700000000000017,18.659999999999997,8.780000000000001,-11.079999999999998,9.689999999999998,-2.1099999999999994,-18.22,-2.969999999999999,-20.709999999999994,-12.379999999999995,-11,-6.709999999999994,-2.7900000000000063,-7.650000000000006,-7.670000000000002,-12.5,-7.209999999999994,-5.459999999999994,-6.3700000000000045,-5.689999999999998,-0.4200000000000017,-10.299999999999997,-7.569999999999993,-3.2900000000000063,8.430000000000007,-6.689999999999998,-14.700000000000003,-12.200000000000003,-0.85,-7.6699999999999875,-25.040000000000006,-22.310000000000002
1970,30.72,8.969999999999999,5.079999999999998,11.170000000000002,7.769999999999996,10.280000000000001,3.1700000000000017,-3.569999999999993,-3.819999999999993,-4.790000000000006,-1.1800000000000068,-7.219999999999999,-15.260000000000005,7.170000000000002,13.620000000000005,8.269999999999996,12.269999999999996,1.230000000000004,11.040000000000006,14.14,5.1200000000000045,-5.359999999999999,3.780000000000001,21,-13.329999999999998,-3.4000000000000004,-11.42,-1.0799999999999983,-0.6999999999999993,-0.6400000000000006,-5.960000000000001,-0.03999999999999915,NA,-0.1999999999999993,9.689999999999998,NA,14.600000000000001,18.89,-0.8400000000000034,19.04,7.640000000000001,6.209999999999994,8,-11.719999999999999,-18.86,-10.170000000000002,-11.290000000000006,-10.590000000000003,-11.039999999999992,-7.109999999999999,9.25,NA,3.6700000000000017,17.659999999999997,-0.21999999999999886,2.9200000000000017,4.689999999999998,-1.1099999999999994,-5.219999999999999,19.03,0.29000000000000625,3.6200000000000045,12,2.2900000000000063,3.2099999999999937,1.3499999999999943,0.3299999999999983,11.5,2.7900000000000063,-6.459999999999994,-0.37000000000000455,-3.6899999999999977,12.579999999999998,-6.299999999999997,2.430000000000007,-11.290000000000006,3.430000000000007,1.3100000000000023,6.299999999999997,-2.200000000000003,-0.85,3.3300000000000125,2.9599999999999937,-0.3100000000000023
